variant,sample,r,ic1,ic2,ic3
drop_credito__imoveis,pre_covid,5,-0.08201363843268394,-0.028439346283724354,-0.2125577049419159
drop_credito__imoveis,pre_covid,6,-0.07370973515042234,-0.009420584571670831,-0.23036261496150068
drop_credito__imoveis,pre_covid,7,-0.059064718804163197,0.01593929020438023,-0.24182641191708787
drop_credito__imoveis,pre_covid,8,-0.03786462714395711,0.04785424029437835,-0.24673513355872817
drop_credito__imoveis,pre_covid,9,-0.017299003814670755,0.07913472205345662,-0.2522783235312883
drop_credito__imoveis,pre_covid,10,0.006356092875794861,0.11350467717371404,-0.25473204014266904
drop_credito__imoveis,pre_covid,11,0.032160993807649585,0.1500244365353608,-0.25503595251266065
drop_credito__imoveis,pre_covid,12,0.05784835644440545,0.18642665760190846,-0.25545740317775123
drop_credito__imoveis,pre_covid,13,0.0817767044247536,0.22106986401204864,-0.25763786849924963
drop_credito__imoveis,pre_covid,14,0.1069443985844134,0.25695241660150026,-0.25857898764143594
drop_credito__imoveis,pre_covid,15,0.13016034180035718,0.29088321824723606,-0.2614718577273387
drop_credito__imoveis,pre_covid,16,0.1545772941239254,0.3260150290005963,-0.2631637187056167
drop_credito__imoveis,pre_covid,17,0.17832703085448687,0.3604796241609496,-0.2655227952769017
drop_credito__imoveis,pre_covid,18,0.20432743232028328,0.397194884056538,-0.26563120711295185
drop_credito__imoveis,pre_covid,19,0.22914960783031324,0.4327319179963598,-0.2669178449047682
drop_credito__imoveis,pre_covid,20,0.25321617603746027,0.46751334463329863,-0.2689600899994675
drop_eua,full,1,-0.09774128110294024,-0.08909240798178353,-0.1204784910374787
drop_eua,full,2,-0.15581772838702038,-0.13851998214470695,-0.2012921482560973
drop_eua,full,3,-0.19342456820110737,-0.16747794883763725,-0.26163619800472276
drop_eua,full,4,-0.20370319517357027,-0.16910770268894343,-0.2946520349117241
drop_eua,full,5,-0.20882655682111168,-0.16558219121532813,-0.322512606493804
drop_eua,full,6,-0.20436907129697013,-0.1524758325700299,-0.3407923309042009
drop_eua,full,7,-0.19641841998372278,-0.1358763081356259,-0.35557888952549205
drop_eua,full,8,-0.18779793576632275,-0.11860695079706907,-0.3696956152426304
drop_eua,full,9,-0.17680675531100942,-0.09896689722059915,-0.38144164472185565
drop_eua,full,10,-0.16130242740998868,-0.0748136961984216,-0.3886745267553733
drop_eua,full,11,-0.14524336620774314,-0.05010576187501947,-0.3953526754876662
drop_eua,full,12,-0.1280116754269207,-0.024225197973040236,-0.4008581946413823
drop_eua,full,13,-0.11018640950381164,0.0022489410712255298,-0.40577013865281164
drop_eua,full,14,-0.0933643371978441,0.027719886498349666,-0.41168527628138263
drop_eua,full,15,-0.07436032471856024,0.05537277209879021,-0.4154184737366371
drop_eua,full,16,-0.05326698198948976,0.08511498794901762,-0.41706234094210504
drop_eua,full,17,-0.03257903237011117,0.1144518106895529,-0.4191116012572651
drop_eua,full,18,-0.012408937061586967,0.14327077911923358,-0.42167871588327943
drop_eua,full,19,0.008041640534175443,0.1723702298361527,-0.42396534822205545
drop_eua,full,20,0.028484916705644014,0.20146237912877818,-0.4262592819851252
drop_eua,pre_covid,1,-0.06646287526064407,-0.055532032193227734,-0.09297983395421586
drop_eua,pre_covid,2,-0.10420921525144539,-0.08234752911661272,-0.15724313263858897
drop_eua,pre_covid,3,-0.10631024690252733,-0.07351771770027832,-0.18586112298324264
drop_eua,pre_covid,4,-0.09886125105575244,-0.05513787878608711,-0.20492908583003958
drop_eua,pre_covid,5,-0.09238714189640201,-0.03773292655932031,-0.2249719353642609
drop_eua,pre_covid,6,-0.08663111545060442,-0.021046057046106403,-0.24573286761203506
drop_eua,pre_covid,7,-0.06758479702198739,0.008931104449926952,-0.25320350787698986
drop_eua,pre_covid,8,-0.05061464489836809,0.03683209964096257,-0.26275031444694236
drop_eua,pre_covid,9,-0.028263016830323284,0.0701145707764238,-0.26691564507246923
drop_eua,pre_covid,10,-0.005242051194038422,0.10406637948012498,-0.2704116381297562
drop_eua,pre_covid,11,0.018531914307167274,0.138771188048747,-0.27315463132212225
drop_eua,pre_covid,12,0.043826653554353334,0.17499677036334937,-0.27437685076850793
drop_eua,pre_covid,13,0.06693508096559542,0.2090360408420079,-0.2777853820508377
drop_eua,pre_covid,14,0.0909236896423018,0.24395549258613047,-0.28031373206770316
drop_eua,pre_covid,15,0.11406418337037327,0.2780268293816184,-0.2836901970332033
drop_eua,pre_covid,16,0.13933407180371238,0.3142275608823737,-0.28493726729343616
drop_eua,pre_covid,17,0.1649701888024917,0.35079452094856944,-0.28581810898822857
drop_eua,pre_covid,18,0.18880016506553954,0.3855553402790337,-0.28850509141875236
drop_eua,pre_covid,19,0.2129327192038699,0.4206187374847803,-0.29088949597399405
drop_eua,pre_covid,20,0.23740391854167076,0.45602077988999756,-0.29293525532976483
drop_eua__credito,full,1,-0.09949151403902011,-0.09087170169838335,-0.12214532137671469
drop_eua__credito,full,2,-0.15877946397236362,-0.1415398392910901,-0.20408707864775277
drop_eua__credito,full,3,-0.19209160304047482,-0.1662321660185645,-0.26005302505355854
drop_eua__credito,full,4,-0.20228571931950962,-0.16780646995696258,-0.29290094867028793
drop_eua__credito,full,5,-0.20819273568012442,-0.16509367397694064,-0.3214617723685973
drop_eua__credito,full,6,-0.20424070277971068,-0.15252182873589004,-0.3401635468058781
drop_eua__credito,full,7,-0.19552408229575458,-0.1351853959112972,-0.3541007336596166
drop_eua__credito,full,8,-0.1874807769715623,-0.11852227824646822,-0.368711235673119
drop_eua__credito,full,9,-0.17706782243125985,-0.09948951136552897,-0.38095208847051115
drop_eua__credito,full,10,-0.15931001158138447,-0.0731118881750169,-0.38584808495833023
drop_eua__credito,full,11,-0.14273335427290368,-0.0479154185258992,-0.391925234987544
drop_eua__credito,full,12,-0.12588781737248356,-0.022450069284842278,-0.3977335054248185
drop_eua__credito,full,13,-0.1084634111632441,0.0035941492650338747,-0.4029629065532735
drop_eua__credito,full,14,-0.09194628601400101,0.02873108675491376,-0.40909958874172503
