variant,r,q,p,variable,h,point,lo68,hi68,lo90,hi90
drop_eua,4,3,6,yield_6m,31,0.0053718012188030415,-3.3601732452357195e-4,0.010724481884912065,-0.0025236355405826977,0.01729574137039739
drop_eua,4,3,6,yield_6m,32,0.004817094294174161,-8.342106874605405e-4,0.010192819294016782,-0.003176155660167002,0.016266427010587104
drop_eua,4,3,6,yield_6m,33,0.004263609419380152,-0.0013406810300026963,0.009475114429231619,-0.003894885732936087,0.015743733894974816
drop_eua,4,3,6,yield_6m,34,0.003714509317392754,-0.001863066395516767,0.008758180708202366,-0.004686363663027849,0.015459262625015268
drop_eua,4,3,6,yield_6m,35,0.003173271938316547,-0.002431865168802617,0.008091248148807167,-0.00542074523637943,0.014762195762755635
drop_eua,4,3,6,yield_6m,36,0.002642434800437298,-0.0029831966534967047,0.007362466916804711,-0.006018982708730558,0.014070045429420525
drop_eua,4,3,6,yield_6m,37,0.002124613601717927,-0.0034524858661562434,0.00679106806622168,-0.006580101163416648,0.013215244445492417
drop_eua,4,3,6,yield_6m,38,0.001622522231538896,-0.003903648695870003,0.006195895926981339,-0.007133619970900469,0.012366405781304535
drop_eua,4,3,6,yield_6m,39,0.001138265887511903,-0.004426666361688135,0.005639607096762636,-0.007750636468976024,0.01167332634709046
drop_eua,4,3,6,yield_6m,40,6.737898493775163e-4,-0.0048556425515490585,0.005126453469313198,-0.008516950832428299,0.011059351542064581
drop_eua,4,3,6,yield_6m,41,2.308896066981669e-4,-0.005289992203309093,0.004576894048387786,-0.008997772344548564,0.010209488698779308
drop_eua,4,3,6,yield_6m,42,-1.8902572254183837e-4,-0.005791583917140323,0.004182754878942598,-0.009373875332146151,0.00943813477382821
drop_eua,4,3,6,yield_6m,43,-5.846912420315495e-4,-0.006271280017239977,0.0035934028048515637,-0.009738944419615495,0.008480719564336006
drop_eua,4,3,6,yield_6m,44,-9.550255889898996e-4,-0.006637217952426758,0.0031066294670462668,-0.010340827092291048,0.008051308850924366
drop_eua,4,3,6,yield_6m,45,-0.0012992591215095477,-0.006936837521112893,0.0026873327853348754,-0.010818028354377637,0.007633827202882081
drop_eua,4,3,6,yield_6m,46,-0.001616808541062652,-0.007202997470619792,0.0021188781707210083,-0.011274376065834398,0.007006360703993651
drop_eua,4,3,6,yield_6m,47,-0.001907286251287659,-0.007411222275658706,0.0017880967729389035,-0.011888544573692665,0.006507655824000849
drop_eua,4,3,6,yield_6m,48,-0.0021705392799341557,-0.0077069234609616335,0.0013018107848624383,-0.012212990193062937,0.005856545741722267
drop_eua,4,3,6,yield_2y,0,0.008335049095710948,0.007356523815232329,0.010264981562959132,0.006684572111125559,0.011906174323152207
drop_eua,4,3,6,yield_2y,1,0.009614278676558154,0.007860842041799876,0.011771243268505925,0.006870236306221486,0.013973388843458863
drop_eua,4,3,6,yield_2y,2,0.00958816801448108,0.006779963317826128,0.011230185340350083,0.005353722788908279,0.013567915871374703
drop_eua,4,3,6,yield_2y,3,0.010663198619041478,0.007083652430056257,0.012456583804584004,0.0055989785328568594,0.015114103193237652
drop_eua,4,3,6,yield_2y,4,0.010990442711977109,0.006645377443077228,0.012592956750307145,0.005006346756891818,0.015064282773771417
drop_eua,4,3,6,yield_2y,5,0.011467173037956096,0.007108707980946823,0.013251977077828575,0.005103312565317886,0.016100634720781624
drop_eua,4,3,6,yield_2y,6,0.012285357889304712,0.0076235700361038826,0.014423292628209647,0.005769666456197739,0.01794064651608947
drop_eua,4,3,6,yield_2y,7,0.01248957252046986,0.00752485176874697,0.01476363831989135,0.00559037914031269,0.01827440989911572
drop_eua,4,3,6,yield_2y,8,0.012412813801660053,0.007268537740597232,0.01505654419986894,0.005405297332476781,0.018893152299402683
drop_eua,4,3,6,yield_2y,9,0.012450888933476751,0.007293347498657916,0.015310739070703724,0.00542479737013846,0.019172768800736224
drop_eua,4,3,6,yield_2y,10,0.012454033536772102,0.007187487087048614,0.015675971533537007,0.005305661251780318,0.019543370931380945
drop_eua,4,3,6,yield_2y,11,0.012549936012550012,0.007247109814297824,0.0161852344538378,0.00520358857326066,0.020376794595491438
drop_eua,4,3,6,yield_2y,12,0.012611062971800901,0.007228201160446896,0.01653789698934119,0.005281290823206057,0.020898783607692453
drop_eua,4,3,6,yield_2y,13,0.01243646776699701,0.006910645763672311,0.01670572225180833,0.004919498091340669,0.021264248158087324
drop_eua,4,3,6,yield_2y,14,0.01221291492398412,0.0067465596199743965,0.01675323541305945,0.004654515597271788,0.02152508785515234
drop_eua,4,3,6,yield_2y,15,0.011996185973460319,0.00661853694072491,0.01666286035483646,0.004145297535717891,0.021587489600051184
drop_eua,4,3,6,yield_2y,16,0.011696868099965774,0.006375381296881216,0.016565791286341027,0.003853134862789325,0.021497734962620856
drop_eua,4,3,6,yield_2y,17,0.011377775888636144,0.0059454858103822296,0.016204615391781217,0.0034325273338572716,0.021628050717662297
drop_eua,4,3,6,yield_2y,18,0.011029640117139583,0.005587007128508619,0.015892483451892737,0.0031604509364327993,0.021637658857662563
drop_eua,4,3,6,yield_2y,19,0.01059696203949335,0.00506555442817306,0.01577381659087096,0.0026662879694331785,0.02127101017750458
drop_eua,4,3,6,yield_2y,20,0.010125814339249521,0.004634403771687823,0.015179321423303888,0.002035842506256001,0.02126447334811853
drop_eua,4,3,6,yield_2y,21,0.009634960128638174,0.004136698041770887,0.014729972474843613,0.001636379382714574,0.021035719152336135
drop_eua,4,3,6,yield_2y,22,0.009108253936758307,0.003551712100353742,0.014338247274027157,0.0012428848305450439,0.02095997743743897
drop_eua,4,3,6,yield_2y,23,0.008559143103288551,0.0029739499614159174,0.01382389288318355,5.693314162925005e-4,0.020323281168388843
