sample,variable,adf_statistic,adf_p_value,adf_reject_5pct,pp_statistic,pp_p_value,pp_reject_5pct
pre_covid,juros_selic,-2.622346294092998,0.3207229784410749,FALSE,-30.03912473708929,0.01,TRUE
pre_covid,juros_cdi,-2.6433568779162693,0.3121103185422139,FALSE,-29.988763482249094,0.01,TRUE
pre_covid,yield_3m,-2.120672797264679,0.5263690111643046,FALSE,-39.85626223268886,0.01,TRUE
pre_covid,yield_6m,-2.5502963624487145,0.3502576911462536,FALSE,-60.900584471910356,0.01,TRUE
pre_covid,yield_1y,-3.589429692378843,0.039429866610476746,TRUE,-82.2578937552813,0.01,TRUE
pre_covid,yield_2y,-4.297785347788807,0.01,TRUE,-83.90486190656506,0.01,TRUE
pre_covid,yield_5y,-4.0112088737359715,0.013162351707646206,TRUE,-79.4222727842885,0.01,TRUE
pre_covid,yield_10y,-3.908547870014801,0.017909315504864316,TRUE,-74.61461574463287,0.01,TRUE
pre_covid,base_monetary_base,-6.051488063698702,0.01,TRUE,-117.01433457889064,0.01,TRUE
pre_covid,base_money_supply,-3.5132380333994364,0.0460621489032524,TRUE,-109.01068902720637,0.01,TRUE
pre_covid,base_demand_deposit,-2.7549746828550417,0.26635594062101187,FALSE,-69.54061291331054,0.01,TRUE
pre_covid,base_savings_deposit,-1.9650444523161714,0.5901641925328258,FALSE,-11.12548605021244,0.4623110897291215,FALSE
pre_covid,base_m1,-2.9378074116219333,0.191409136453399,FALSE,-69.9098304945504,0.01,TRUE
pre_covid,base_m2,-3.2662468216523983,0.08283743137167997,FALSE,-85.0286740758268,0.01,TRUE
pre_covid,base_m3,-4.249936069152341,0.01,TRUE,-88.62576785265858,0.01,TRUE
pre_covid,credito_agro,-5.128744043068416,0.01,TRUE,-78.75584270616251,0.01,TRUE
pre_covid,credito_industria_total,-1.8941462855481093,0.6192267737044028,FALSE,-45.737864912172434,0.01,TRUE
pre_covid,credito_construcao,-1.9263329426168732,0.606032817127742,FALSE,-35.3914237140118,0.01,TRUE
pre_covid,credito_comercio,-1.1781677255864056,0.9048487928771242,FALSE,-63.53813734427208,0.01,TRUE
pre_covid,credito_transporte,-2.3951689010663824,0.4138475502904766,FALSE,-64.82218486445207,0.01,TRUE
pre_covid,credito_pessoa_fisica,-1.856824293657914,0.6345258070678771,FALSE,-9.03151991794627,0.5862254094773934,FALSE
pre_covid,spread_icc_juridica,-3.00333502052286,0.16454805471495793,FALSE,-36.11323923435234,0.01,TRUE
pre_covid,spread_icc_fisica,-2.612801832628244,0.3246354447107015,FALSE,-39.030597141475205,0.01,TRUE
pre_covid,credit_outstanding,-1.295435305865192,0.8646504177638075,FALSE,-18.428455213618182,0.08113083098436412,FALSE
pre_covid,fin_inst_reserve_req,-3.4265906069095213,0.056739810073320095,FALSE,-90.1348551907338,0.01,TRUE
pre_covid,consumo_gasolina,-3.3528886415586037,0.06873557266298769,FALSE,-101.00900805047218,0.01,TRUE
pre_covid,consumo_glp,-6.25040371008758,0.01,TRUE,-121.72666347522106,0.01,TRUE
pre_covid,consumo_oleo_combustivel,-4.262057385943682,0.01,TRUE,-70.66671061981216,0.01,TRUE
pre_covid,consumo_oleo_diesel,-6.000700737342205,0.01,TRUE,-112.5020102089693,0.01,TRUE
pre_covid,consumo_demais_derivados,-3.405943442241453,0.06010035119768019,FALSE,-93.28389652120188,0.01,TRUE
pre_covid,consumo_alcool,-3.7192444663148074,0.028129834060340572,TRUE,-101.81596688782423,0.01,TRUE
pre_covid,capacidade_instalada_industria,-3.968171384553772,0.015152371244431022,TRUE,-114.04129207617818,0.01,TRUE
pre_covid,vendas_varejo,-3.2481116175219866,0.08578912475228083,FALSE,-108.67587564567297,0.01,TRUE
pre_covid,vendas_servicos,-4.2317344620735735,0.01,TRUE,-117.59840924164588,0.01,TRUE
pre_covid,ind_automoveis,-5.003047751207971,0.01,TRUE,-94.44504918525207,0.01,TRUE
pre_covid,ind_leves,-4.208808352468377,0.01,TRUE,-126.46412076638761,0.01,TRUE
pre_covid,ind_caminhoes,-4.442659493738508,0.01,TRUE,-97.3579389837262,0.01,TRUE
pre_covid,ind_onibus,-4.000636669190832,0.013651202102766723,TRUE,-103.08995607583604,0.01,TRUE
pre_covid,ind_bens_consumo,-5.985576330980177,0.01,TRUE,-110.9670731267452,0.01,TRUE
pre_covid,ind_bens_duraveis,-5.964055870072013,0.01,TRUE,-111.64588594111093,0.01,TRUE
pre_covid,ind_bens_nao_duraveis,-5.588035305652467,0.01,TRUE,-112.75520540266172,0.01,TRUE
pre_covid,ind_bens_capital,-5.422665165308391,0.01,TRUE,-106.48223710060037,0.01,TRUE
pre_covid,ind_transformacao,-4.6895403840501615,0.01,TRUE,-107.39660709738715,0.01,TRUE
pre_covid,ind_min_extr,-4.575572986500539,0.01,TRUE,-87.35031771114119,0.01,TRUE
pre_covid,ind_uti_cap_instalada,-3.2708992015097222,0.08208020808761032,FALSE,-116.38706027579862,0.01,TRUE
pre_covid,energia_comercial,-5.4957837838502375,0.01,TRUE,-96.40547461914957,0.01,TRUE
pre_covid,energia_residencial,-5.708954689768838,0.01,TRUE,-99.3748934137249,0.01,TRUE
pre_covid,energia_industrial,-4.323589226848117,0.01,TRUE,-101.01112983221405,0.01,TRUE
pre_covid,energia_outros,-5.311886824952571,0.01,TRUE,-89.82806561413233,0.01,TRUE
pre_covid,pib,-4.497905602936595,0.01,TRUE,-78.6253951272578,0.01,TRUE
pre_covid,ibc_br,-3.511315228114435,0.04622952401510837,TRUE,-95.78505019244285,0.01,TRUE
pre_covid,icc,-3.8891055948376,0.018808310966202224,TRUE,-97.89479630137389,0.01,TRUE
pre_covid,ics,-4.453512254566837,0.01,TRUE,-68.76827054179799,0.01,TRUE
pre_covid,trab_employment_southest,-5.205555921794439,0.01,TRUE,-94.69349240619624,0.01,TRUE
pre_covid,trab_employment_south,-5.6994869396496375,0.01,TRUE,-109.83064970995481,0.01,TRUE
pre_covid,trab_employment_northeast,-5.472197711301825,0.01,TRUE,-102.84807089001096,0.01,TRUE
pre_covid,trab_employment_north,-4.715834774670574,0.01,TRUE,-99.97485131315344,0.01,TRUE
pre_covid,trab_employment_central_west,-6.513087532045233,0.01,TRUE,-95.62093245936012,0.01,TRUE
pre_covid,trab_min_wage,-4.896543184808111,0.01,TRUE,-82.24109624580193,0.01,TRUE
pre_covid,trab_pop_forca_trab,-4.09072915173777,0.01,TRUE,-47.41531616119102,0.01,TRUE
pre_covid,trab_pop_ocupada,-2.908453813890654,0.2034417651606255,FALSE,-27.367208356189305,0.01,TRUE
pre_covid,trab_tx_desemprego,-2.1497939540395627,0.5144316646691688,FALSE,-18.844590140533747,0.07447905785591839,FALSE
pre_covid,trab_hrs_trabalhadas_industria,-4.532790637905532,0.01,TRUE,-109.285682597522,0.01,TRUE
pre_covid,trab_menos_de_1_mes,-4.2106308007156485,0.01,TRUE,-81.68424584532039,0.01,TRUE
pre_covid,trab_de_1_mes_a_menos_de_1_ano,-3.902028326253008,0.018210774063516885,TRUE,-82.8218611918488,0.01,TRUE
pre_covid,trab_de_1_ano_a_menos_de_2_anos,-3.500163528362704,0.04720024996842758,TRUE,-88.91090744413037,0.01,TRUE
pre_covid,trab_x2_anos_ou_mais,-1.7888274891892917,0.6623990616153754,FALSE,-86.44849017786271,0.01,TRUE
pre_covid,price_ipca,-5.026834495527063,0.01,TRUE,-81.8293169528847,0.01,TRUE
pre_covid,price_ipca_difusao,-4.868969502141993,0.01,TRUE,-95.99302256501689,0.01,TRUE
pre_covid,price_core_ipca_ex0,-4.792338788204847,0.01,TRUE,-103.27348445350407,0.01,TRUE
pre_covid,price_core_ipca_ex1,-5.9561578050088615,0.01,TRUE,-97.71554497215445,0.01,TRUE
pre_covid,price_core_ipca_dw,-5.008018697032267,0.01,TRUE,-93.79870415999419,0.01,TRUE
pre_covid,price_igp_m,-5.516292688980961,0.01,TRUE,-72.96407508378134,0.01,TRUE
