sample,r,q,variable,theory_sign,interpretation,h0,h0_lo68,h0_hi68,h0_lo90,h0_hi90,positive_horizons,negative_horizons,correct_sign_horizons,correct_sig68_horizons,correct_sig90_horizons,positive_sig68_horizons,positive_sig90_horizons,negative_sig68_horizons,negative_sig90_horizons,peak_abs_h,peak_abs_value
full,5,3,yield_2y,1,positive,0.01575629078592494,0.01224280040591536,0.02268440572713124,0.01082623870544998,0.03716505237083431,7,0,7,7,4,7,4,0,0,1,0.01854480655931328
full,5,3,yield_5y,1,positive,0.02195793874002192,0.01582741970695551,0.03586017992323023,0.01379987647711658,0.0612257841669383,7,0,7,7,7,7,7,0,0,1,0.02415067968597204
full,5,3,yield_6m,1,positive,0.005,0.005,0.005,0.005,0.005,6,1,6,3,2,3,2,0,0,1,0.00712395735517628
pre_covid,5,3,asset_ibov,-1,negative,-16.19807090707549,-20.558676599570436,-6.915195534170257,-32.07501745187334,-2.4368977338790465,0,7,7,7,6,0,0,7,6,6,-40.44000492741332
pre_covid,5,3,cambio_usd,NA,soft_channel,0.2085595191836175,0.08623011211961566,0.3530025311686678,0.0175618009034113,0.547140288140452,5,2,NA,NA,NA,4,2,0,0,1,0.24205843867798876
pre_covid,5,3,yield_2y,1,positive,0.01068419458452138,0.00684756528926197,0.01414769391774513,0.00468843196677282,0.019157153204733,7,0,7,5,4,5,4,0,0,1,0.01215576579506789
pre_covid,5,3,yield_5y,1,positive,0.01445109350457376,0.00799771274446333,0.02012858049074177,0.00459093336011932,0.0286892895241658,7,0,7,5,3,5,3,0,0,1,0.01510241436573417
pre_covid,5,3,yield_6m,1,positive,0.005,0.005,0.005,0.005,0.005,7,0,7,5,4,5,4,0,0,3,0.00713639918584168
full,5,4,asset_ibov,-1,negative,-7.425391771898228,-14.449005049961777,-3.532712487314264,-23.134223405237908,-0.3844564063643424,4,3,3,2,1,0,0,2,1,6,8.078987022740334
full,5,4,cambio_usd,NA,soft_channel,0.3732373822398718,0.2338507322144824,0.4791271712619174,0.17983756877807683,0.71802785630395,7,0,NA,NA,NA,7,7,0,0,1,0.4535222539192413
full,5,4,yield_2y,1,positive,0.011409985878999,0.00887965492519665,0.01405969928873569,0.00776339745867038,0.01829350808113385,7,0,7,7,7,7,7,0,0,6,0.01453310137724365
full,5,4,yield_5y,1,positive,0.01409983081292384,0.01026861288073104,0.01847817761695393,0.00864102858948766,0.026665519771697892,7,0,7,7,7,7,7,0,0,1,0.0153943743536529
full,5,4,yield_6m,1,positive,0.005,0.005,0.005,0.005,0.005,7,0,7,7,3,7,3,0,0,6,0.00892827537481241
pre_covid,5,4,asset_ibov,-1,negative,-14.207541993504105,-17.17676452450095,-6.821258775152624,-25.35714130861238,-3.6824394524597537,0,7,7,7,5,0,0,7,5,4,-30.44476308949571
pre_covid,5,4,cambio_usd,NA,soft_channel,0.1133325251707196,0.04007663847969114,0.2269063522601518,-0.0158702890943489,0.35201510147129256,4,3,NA,NA,NA,3,0,0,0,1,0.13713889083566058
pre_covid,5,4,yield_2y,1,positive,0.00826169194457126,0.00576070801907877,0.01069150907871934,0.00420369272513367,0.01403954610270353,5,2,5,5,4,5,4,0,0,1,0.0086786536496502
pre_covid,5,4,yield_5y,1,positive,0.01028174930114475,0.00629870222006015,0.01439455764060634,0.00349235272735359,0.01951929771508453,5,2,5,4,2,4,2,0,0,0,0.01028174930114475
pre_covid,5,4,yield_6m,1,positive,0.005,0.005,0.005,0.005,0.005,7,0,7,6,4,6,4,0,0,3,0.00538409832673793
full,7,6,asset_ibov,-1,negative,-2.4071247096898034,-8.353352752390526,1.2764420805919878,-13.079490364379067,4.780245753807343,3,4,4,0,0,0,0,0,0,6,5.135314130467742
full,7,6,cambio_usd,NA,soft_channel,0.22809963006025752,0.15734454690620134,0.3645805198098322,0.11596283328039496,0.535004763293555,7,0,NA,NA,NA,5,5,0,0,1,0.28617721007182007
full,7,6,yield_2y,1,positive,0.01080227155878583,0.00953857490178582,0.01350688972207492,0.00873934730651305,0.01563096739403408,7,0,7,7,6,7,6,0,0,1,0.01358712569438252
full,7,6,yield_5y,1,positive,0.01170171999267348,0.00991136170182885,0.01588577319964983,0.00858692715367198,0.01972808922843041,7,0,7,7,7,7,7,0,0,1,0.01431045402670534
full,7,6,yield_6m,1,positive,0.005,0.005,0.005,0.005,0.005,7,0,7,7,4,7,4,0,0,3,0.00736282649753902
pre_covid,7,6,asset_ibov,-1,negative,-6.980045686192581,-19.499558317687452,1.0518279512337525,-36.48709331071323,12.54900478000635,0,7,7,0,0,0,0,0,0,1,-8.20518407396583
pre_covid,7,6,cambio_usd,NA,soft_channel,0.10201412000035644,-0.06114172368070561,0.2928669098383043,-0.34476432615112895,0.5699099398254966,2,5,NA,NA,NA,0,0,0,0,0,0.10201412000035644
pre_covid,7,6,yield_2y,1,positive,0.00673313120634279,0.00251935670467938,0.01128413953029089,-0.00465789403928222,0.01707106123596384,7,0,7,1,0,1,0,0,0,0,0.00673313120634279
pre_covid,7,6,yield_5y,1,positive,0.00671071541021779,-2.45678533926312e-4,0.01483723862778546,-0.01070397951135725,0.0245163821875518,5,2,5,0,0,0,0,0,0,0,0.00671071541021779
pre_covid,7,6,yield_6m,1,positive,0.005,0.005,0.005,0.005,0.005,7,0,7,5,1,5,1,0,0,3,0.00686053752526641
full,7,7,asset_ibov,-1,negative,-1.3077983042094812,-5.689439811864371,1.3259801786337275,-8.174262878079528,3.633100998406309,5,2,2,0,0,0,0,0,0,6,5.979622417817272
full,7,7,cambio_usd,NA,soft_channel,0.1571762353027555,0.1102329276810567,0.24413094744413916,0.07482497354063031,0.30789363268050995,7,0,NA,NA,NA,5,4,0,0,1,0.19992435130511596
full,7,7,yield_2y,1,positive,0.0086009917587545,0.00760778732979362,0.01030658774694064,0.00680258101845128,0.01157947316410833,7,0,7,7,7,7,7,0,0,3,0.01121880777339613
full,7,7,yield_5y,1,positive,0.00890300681080553,0.00759379863730433,0.01149700697702122,0.00639711930412602,0.01362344986792123,7,0,7,7,7,7,7,0,0,3,0.01038089632802592
full,7,7,yield_6m,1,positive,0.005,0.005,0.005,0.005,0.005,7,0,7,7,7,7,7,0,0,6,0.00883085900280212
pre_covid,7,7,asset_ibov,-1,negative,-6.9754212692083915,-16.92228398360844,1.1079608799906662,-30.81714861476817,10.715856949181717,0,7,7,0,0,0,0,0,0,1,-8.19623337698962
pre_covid,7,7,cambio_usd,NA,soft_channel,0.10206046166243722,-0.06101293845340391,0.251856782765427,-0.28262386094925435,0.45357937987804425,2,5,NA,NA,NA,0,0,0,0,0,0.10206046166243722
pre_covid,7,7,yield_2y,1,positive,0.0067334028969296,0.00265168098226367,0.01017569712596938,-0.00250212631119533,0.01506336340529354,7,0,7,1,0,1,0,0,0,0,0.0067334028969296
pre_covid,7,7,yield_5y,1,positive,0.00671055471892754,-1.1865623814880528e-4,0.01284670428888519,-0.00861265941683163,0.02087634159865525,5,2,5,0,0,0,0,0,0,0,0.00671055471892754
pre_covid,7,7,yield_6m,1,positive,0.005,0.005,0.005,0.005,0.005,7,0,7,5,1,5,1,0,0,3,0.00686108402000245
