variant,sample,q,aw_ic2
drop_fiscal__expectativas__credito,pre_covid,2,-0.33653399309134463
drop_fiscal__expectativas__credito__imoveis,full,1,-0.4212597639230037
drop_fiscal__expectativas__credito__imoveis,full,2,-0.47932000020993815
drop_fiscal__expectativas__credito__imoveis,full,3,-0.47941478070969445
drop_fiscal__expectativas__credito__imoveis,full,4,-0.47501812634856105
drop_fiscal__expectativas__credito__imoveis,pre_covid,1,-0.32251315269659314
drop_fiscal__expectativas__credito__imoveis,pre_covid,2,-0.3338121446432988
drop_fiscal__expectativas__eua,full,1,-0.35905769472933435
drop_fiscal__expectativas__eua,full,2,-0.4223591357490255
drop_fiscal__expectativas__eua,full,3,-0.4233313872661676
drop_fiscal__expectativas__eua,pre_covid,1,-0.3345668243148336
drop_fiscal__expectativas__eua,pre_covid,2,-0.349447087277996
drop_fiscal__expectativas__eua__credito,full,1,-0.35630643593036854
drop_fiscal__expectativas__eua__credito,full,2,-0.42050043134697224
drop_fiscal__expectativas__eua__credito,full,3,-0.42249637423949304
drop_fiscal__expectativas__eua__credito,pre_covid,1,-0.3332936866445768
drop_fiscal__expectativas__eua__credito,pre_covid,2,-0.34816503629532924
drop_fiscal__expectativas__eua__credito__imoveis,full,1,-0.3583594828201603
drop_fiscal__expectativas__eua__credito__imoveis,full,2,-0.4240531681968221
drop_fiscal__expectativas__eua__credito__imoveis,full,3,-0.42687566966476476
drop_fiscal__expectativas__eua__credito__imoveis,pre_covid,1,-0.32995089408124145
drop_fiscal__expectativas__eua__credito__imoveis,pre_covid,2,-0.3454148005088755
drop_fiscal__expectativas__eua__imoveis,full,1,-0.3608269307680374
drop_fiscal__expectativas__eua__imoveis,full,2,-0.42554522980951637
drop_fiscal__expectativas__eua__imoveis,full,3,-0.42729095239404624
drop_fiscal__expectativas__eua__imoveis,pre_covid,1,-0.33102586737077977
drop_fiscal__expectativas__eua__imoveis,pre_covid,2,-0.3465707926437491
drop_fiscal__expectativas__imoveis,full,1,-0.421348582102065
drop_fiscal__expectativas__imoveis,full,2,-0.47987718607861063
drop_fiscal__expectativas__imoveis,full,3,-0.47885619843584554
drop_fiscal__expectativas__imoveis,full,4,-0.4736916515101683
drop_fiscal__expectativas__imoveis,pre_covid,1,-0.32375012478809506
drop_fiscal__expectativas__imoveis,pre_covid,2,-0.3351562727094275
drop_fiscal__imoveis,full,1,-0.4164475391926443
drop_fiscal__imoveis,full,2,-0.47259512062357883
drop_fiscal__imoveis,full,3,-0.4690114385166305
drop_fiscal__imoveis,full,4,-0.4651620626270313
drop_fiscal__imoveis,pre_covid,1,-0.32171638885031756
drop_fiscal__imoveis,pre_covid,2,-0.33096043133369923
drop_fiscal__setor_externo,full,1,-0.41942746992322644
drop_fiscal__setor_externo,full,2,-0.47996538351230994
drop_fiscal__setor_externo,full,3,-0.4789618536227518
drop_fiscal__setor_externo,full,4,-0.47649503186252684
drop_fiscal__setor_externo,pre_covid,1,-0.32710590482238133
drop_fiscal__setor_externo,pre_covid,2,-0.3373980641158996
drop_fiscal__setor_externo__credito,full,1,-0.4201189112959572
drop_fiscal__setor_externo__credito,full,2,-0.47906515771252056
drop_fiscal__setor_externo__credito,full,3,-0.47917882769017806
drop_fiscal__setor_externo__credito,full,4,-0.47776204891163215
drop_fiscal__setor_externo__credito,pre_covid,1,-0.32597432287913874
drop_fiscal__setor_externo__credito,pre_covid,2,-0.3360746730492447
drop_fiscal__setor_externo__credito__imoveis,full,1,-0.4202663116541018
drop_fiscal__setor_externo__credito__imoveis,full,2,-0.4791514211011414
drop_fiscal__setor_externo__credito__imoveis,full,3,-0.47883348121901004
drop_fiscal__setor_externo__credito__imoveis,full,4,-0.477835561196375
drop_fiscal__setor_externo__credito__imoveis,pre_covid,1,-0.32278675967901527
drop_fiscal__setor_externo__credito__imoveis,pre_covid,2,-0.3334125077926441
drop_fiscal__setor_externo__eua,full,1,-0.42180861454393564
drop_fiscal__setor_externo__eua,full,2,-0.4886979318168685
