variant,sample,component,eigenvalue
drop_fiscal__imoveis,full,4,4.018793164648498
drop_fiscal__imoveis,pre_covid,1,11.719036125533156
drop_fiscal__imoveis,pre_covid,2,7.734572521847888
drop_fiscal__setor_externo,full,1,10.198487033900019
drop_fiscal__setor_externo,full,2,8.95184628958593
drop_fiscal__setor_externo,full,3,4.365274128432794
drop_fiscal__setor_externo,full,4,3.980826063322421
drop_fiscal__setor_externo,pre_covid,1,11.59547219025628
drop_fiscal__setor_externo,pre_covid,2,7.630604462713649
drop_fiscal__setor_externo__credito,full,1,10.070635451194768
drop_fiscal__setor_externo__credito,full,2,8.717361759083278
drop_fiscal__setor_externo__credito,full,3,4.379179503120644
drop_fiscal__setor_externo__credito,full,4,3.9854406127601516
drop_fiscal__setor_externo__credito,pre_covid,1,11.59457388200965
drop_fiscal__setor_externo__credito,pre_covid,2,7.5343874730577625
drop_fiscal__setor_externo__credito__imoveis,full,1,10.084672825199444
drop_fiscal__setor_externo__credito__imoveis,full,2,8.64785738470363
drop_fiscal__setor_externo__credito__imoveis,full,3,4.326990525098362
drop_fiscal__setor_externo__credito__imoveis,full,4,3.9831262996062824
drop_fiscal__setor_externo__credito__imoveis,pre_covid,1,11.600370779655298
drop_fiscal__setor_externo__credito__imoveis,pre_covid,2,7.5481689406626815
drop_fiscal__setor_externo__eua,full,1,9.999272658721761
drop_fiscal__setor_externo__eua,full,2,8.98025469036703
drop_fiscal__setor_externo__eua,full,3,4.3350882750049005
drop_fiscal__setor_externo__eua,full,4,3.7517479861326457
drop_fiscal__setor_externo__eua,pre_covid,1,11.075911216111436
drop_fiscal__setor_externo__eua,pre_covid,2,7.618164939681261
drop_fiscal__setor_externo__eua__credito,full,1,9.028380709166505
drop_fiscal__setor_externo__eua__credito,full,2,7.246696722388021
drop_fiscal__setor_externo__eua__credito,full,3,3.83727080792278
drop_fiscal__setor_externo__eua__credito,full,4,3.4702638668669517
drop_fiscal__setor_externo__eua__credito,full,5,2.7406173437778136
drop_fiscal__setor_externo__eua__credito,pre_covid,1,11.077896975636657
drop_fiscal__setor_externo__eua__credito,pre_covid,2,7.517958299171575
drop_fiscal__setor_externo__eua__credito__imoveis,full,1,9.017217483985538
drop_fiscal__setor_externo__eua__credito__imoveis,full,2,7.135262524246809
drop_fiscal__setor_externo__eua__credito__imoveis,full,3,3.8341203121431415
drop_fiscal__setor_externo__eua__credito__imoveis,full,4,3.4622107131634423
drop_fiscal__setor_externo__eua__credito__imoveis,full,5,2.7335263566586923
drop_fiscal__setor_externo__eua__credito__imoveis,pre_covid,1,11.083311113835034
drop_fiscal__setor_externo__eua__credito__imoveis,pre_covid,2,7.531551579804479
drop_fiscal__setor_externo__eua__imoveis,full,1,9.136329887265582
drop_fiscal__setor_externo__eua__imoveis,full,2,7.339644635388429
drop_fiscal__setor_externo__eua__imoveis,full,3,3.825408302134121
drop_fiscal__setor_externo__eua__imoveis,full,4,3.42119140623544
drop_fiscal__setor_externo__eua__imoveis,full,5,2.725591080889302
drop_fiscal__setor_externo__eua__imoveis,pre_covid,1,11.081000218572633
drop_fiscal__setor_externo__eua__imoveis,pre_covid,2,7.639243952877415
drop_fiscal__setor_externo__expectativas,full,1,10.127624301405582
drop_fiscal__setor_externo__expectativas,full,2,8.829933133413563
drop_fiscal__setor_externo__expectativas,full,3,4.386702231097034
drop_fiscal__setor_externo__expectativas,full,4,3.7759022606097465
drop_fiscal__setor_externo__expectativas,pre_covid,1,11.34463653524002
drop_fiscal__setor_externo__expectativas,pre_covid,2,7.574625272099406
drop_fiscal__setor_externo__expectativas__credito,full,1,9.972859858862694
drop_fiscal__setor_externo__expectativas__credito,full,2,8.617423649240898
drop_fiscal__setor_externo__expectativas__credito,full,3,4.4042509089067226
drop_fiscal__setor_externo__expectativas__credito,full,4,3.766147889580011
drop_fiscal__setor_externo__expectativas__credito,pre_covid,1,11.34224669267952
drop_fiscal__setor_externo__expectativas__credito,pre_covid,2,7.487216039182791
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,1,9.449188830074661
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,2,6.88137283401876
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,3,3.84474389479414
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,4,3.400519759071488
drop_fiscal__setor_externo__expectativas__credito__imoveis,full,5,2.7468288214791636
drop_fiscal__setor_externo__expectativas__credito__imoveis,pre_covid,1,11.347700992357968
drop_fiscal__setor_externo__expectativas__credito__imoveis,pre_covid,2,7.5033326035715495
drop_fiscal__setor_externo__expectativas__eua,full,1,9.041711955511099
drop_fiscal__setor_externo__expectativas__eua,full,2,7.472054770379104
drop_fiscal__setor_externo__expectativas__eua,full,3,3.7537953343162482
drop_fiscal__setor_externo__expectativas__eua,full,4,3.211689364289206
drop_fiscal__setor_externo__expectativas__eua,full,5,2.732512464311487
drop_fiscal__setor_externo__expectativas__eua,pre_covid,1,10.803529854806333
drop_fiscal__setor_externo__expectativas__eua,pre_covid,2,7.559404318523652
drop_fiscal__setor_externo__expectativas__eua__credito,full,1,8.89241509677847
