sample,r,q,variable,h,reproduced,cached,absolute_difference,tolerance,passed
full,7,6,yield_2y,6,0.008315969282828064,0.008315969282828064,0,1.0831596928282807e-10,TRUE
full,7,6,yield_2y,7,0.00808283893539517,0.00808283893539517,0,1.0808283893539517e-10,TRUE
full,7,6,yield_2y,8,0.006123114318355152,0.006123114318355152,0,1.0612311431835516e-10,TRUE
full,7,6,yield_2y,9,0.00497221631270718,0.00497221631270718,0,1.0497221631270719e-10,TRUE
full,7,6,yield_2y,10,0.003243286419400027,0.003243286419400027,0,1.0324328641940003e-10,TRUE
full,7,6,yield_2y,11,7.249109622481508e-4,7.249109622481508e-4,0,1.0072491096224815e-10,TRUE
full,7,6,yield_2y,12,-2.5644413347389256e-5,-2.5644413347389256e-5,0,1.000256444133474e-10,TRUE
full,7,6,yield_2y,13,-0.0016135937725099392,-0.0016135937725099392,0,1.0161359377250994e-10,TRUE
full,7,6,yield_2y,14,-0.003192824435945814,-0.003192824435945814,0,1.0319282443594582e-10,TRUE
full,7,6,yield_2y,15,-0.003672254825013966,-0.003672254825013966,0,1.0367225482501397e-10,TRUE
full,7,6,yield_2y,16,-0.004755810896683457,-0.004755810896683457,0,1.0475581089668346e-10,TRUE
full,7,6,yield_2y,17,-0.005706259864101734,-0.005706259864101734,0,1.0570625986410174e-10,TRUE
full,7,6,yield_2y,18,-0.006246225075594716,-0.006246225075594716,0,1.0624622507559472e-10,TRUE
full,7,6,yield_2y,19,-0.0069827152987897555,-0.0069827152987897555,0,1.0698271529878976e-10,TRUE
full,7,6,yield_2y,20,-0.007574442582837348,-0.007574442582837348,0,1.0757444258283736e-10,TRUE
full,7,6,yield_2y,21,-0.00785196800187199,-0.00785196800187199,0,1.0785196800187199e-10,TRUE
full,7,6,yield_2y,22,-0.008158968703757367,-0.008158968703757367,0,1.0815896870375737e-10,TRUE
full,7,6,yield_2y,23,-0.008464474573332152,-0.008464474573332152,0,1.0846447457333216e-10,TRUE
full,7,6,yield_2y,24,-0.008558633096525728,-0.008558633096525728,0,1.0855863309652574e-10,TRUE
full,7,6,yield_2y,25,-0.00874238992678471,-0.00874238992678471,0,1.0874238992678472e-10,TRUE
full,7,6,yield_2y,26,-0.008900931703303113,-0.008900931703303113,0,1.0890093170330311e-10,TRUE
full,7,6,yield_2y,27,-0.008863349797886418,-0.008863349797886418,0,1.0886334979788643e-10,TRUE
full,7,6,yield_2y,28,-0.008893385336001064,-0.008893385336001064,0,1.0889338533600107e-10,TRUE
full,7,6,yield_2y,29,-0.008872114672962152,-0.008872114672962152,0,1.0887211467296216e-10,TRUE
full,7,6,yield_2y,30,-0.008732829494959921,-0.008732829494959921,0,1.0873282949495993e-10,TRUE
full,7,6,yield_2y,31,-0.008628562335523043,-0.008628562335523043,0,1.0862856233552304e-10,TRUE
full,7,6,yield_2y,32,-0.008469549883506984,-0.008469549883506984,0,1.0846954988350699e-10,TRUE
full,7,6,yield_2y,33,-0.008239477166466797,-0.008239477166466797,0,1.082394771664668e-10,TRUE
full,7,6,yield_2y,34,-0.008015192650741788,-0.008015192650741788,0,1.080151926507418e-10,TRUE
full,7,6,yield_2y,35,-0.007752508533567054,-0.007752508533567054,0,1.0775250853356705e-10,TRUE
full,7,6,yield_2y,36,-0.007443002951861522,-0.007443002951861522,0,1.0744300295186153e-10,TRUE
full,7,6,yield_2y,37,-0.007132214039979377,-0.007132214039979377,0,1.0713221403997938e-10,TRUE
full,7,6,yield_2y,38,-0.0067967413922595515,-0.0067967413922595515,0,1.0679674139225955e-10,TRUE
full,7,6,yield_2y,39,-0.006428689048062675,-0.006428689048062675,0,1.0642868904806268e-10,TRUE
full,7,6,yield_2y,40,-0.006063985487287368,-0.006063985487287368,0,1.0606398548728737e-10,TRUE
full,7,6,yield_2y,41,-0.005685809206505801,-0.005685809206505801,0,1.0568580920650581e-10,TRUE
full,7,6,yield_2y,42,-0.005289170024552444,-0.005289170024552444,0,1.0528917002455244e-10,TRUE
full,7,6,yield_2y,43,-0.004900460533362964,-0.004900460533362964,0,1.0490046053336297e-10,TRUE
full,7,6,yield_2y,44,-0.0045073540733142035,-0.0045073540733142035,0,1.045073540733142e-10,TRUE
full,7,6,yield_2y,45,-0.004110116824957826,-0.004110116824957826,0,1.0411011682495783e-10,TRUE
full,7,6,yield_2y,46,-0.003725324827352004,-0.003725324827352004,0,1.0372532482735201e-10,TRUE
full,7,6,yield_2y,47,-0.0033445350335912878,-0.0033445350335912878,0,1.0334453503359129e-10,TRUE
full,7,6,yield_2y,48,-0.002969553771204951,-0.002969553771204951,0,1.0296955377120495e-10,TRUE
full,7,6,yield_5y,0,0.011701719992673483,0.011701719992673483,0,1.1170171999267349e-10,TRUE
full,7,6,yield_5y,1,0.014310454026705341,0.014310454026705341,0,1.1431045402670535e-10,TRUE
full,7,6,yield_5y,2,0.012236571579576552,0.012236571579576552,0,1.1223657157957655e-10,TRUE
full,7,6,yield_5y,3,0.012225191758608612,0.012225191758608612,0,1.1222519175860861e-10,TRUE
full,7,6,yield_5y,4,0.009833073953022962,0.009833073953022962,0,1.0983307395302297e-10,TRUE
full,7,6,yield_5y,5,0.007848525054770638,0.007848525054770638,0,1.0784852505477064e-10,TRUE
full,7,6,yield_5y,6,0.0077372828631930195,0.0077372828631930195,0,1.0773728286319302e-10,TRUE
full,7,6,yield_5y,7,0.007551098563131736,0.007551098563131736,0,1.0755109856313175e-10,TRUE
full,7,6,yield_5y,8,0.005365479647430167,0.005365479647430167,0,1.0536547964743017e-10,TRUE
full,7,6,yield_5y,9,0.004257448759659309,0.004257448759659309,0,1.0425744875965932e-10,TRUE
full,7,6,yield_5y,10,0.0027203036166992484,0.0027203036166992484,0,1.0272030361669925e-10,TRUE
full,7,6,yield_5y,11,3.3873916629880015e-4,3.3873916629880015e-4,0,1.0033873916629881e-10,TRUE
full,7,6,yield_5y,12,-3.10194476468909e-4,-3.10194476468909e-4,0,1.0031019447646891e-10,TRUE
full,7,6,yield_5y,13,-0.0017799838325874007,-0.0017799838325874007,0,1.0177998383258741e-10,TRUE
full,7,6,yield_5y,14,-0.003310553242012594,-0.003310553242012594,0,1.0331055324201259e-10,TRUE
full,7,6,yield_5y,15,-0.0036610348884574618,-0.0036610348884574618,0,1.0366103488845746e-10,TRUE
full,7,6,yield_5y,16,-0.004573508687418536,-0.004573508687418536,0,1.0457350868741854e-10,TRUE
full,7,6,yield_5y,17,-0.0054295569972344845,-0.0054295569972344845,0,1.0542955699723449e-10,TRUE
full,7,6,yield_5y,18,-0.005813323147031444,-0.005813323147031444,0,1.0581332314703145e-10,TRUE
full,7,6,yield_5y,19,-0.006348535608533824,-0.006348535608533824,0,1.0634853560853382e-10,TRUE
full,7,6,yield_5y,20,-0.006799296447385088,-0.006799296447385088,0,1.067992964473851e-10,TRUE
full,7,6,yield_5y,21,-0.006898962156715772,-0.006898962156715772,0,1.0689896215671577e-10,TRUE
full,7,6,yield_5y,22,-0.007024825081046258,-0.007024825081046258,0,1.0702482508104626e-10,TRUE
full,7,6,yield_5y,23,-0.007187309356489895,-0.007187309356489895,0,1.071873093564899e-10,TRUE
full,7,6,yield_5y,24,-0.007135317892391036,-0.007135317892391036,0,1.0713531789239104e-10,TRUE
full,7,6,yield_5y,25,-0.007177438919501136,-0.007177438919501136,0,1.0717743891950114e-10,TRUE
full,7,6,yield_5y,26,-0.007211847383370486,-0.007211847383370486,0,1.0721184738337049e-10,TRUE
full,7,6,yield_5y,27,-0.00704846388527872,-0.00704846388527872,0,1.0704846388527872e-10,TRUE
full,7,6,yield_5y,28,-0.006961469162704025,-0.006961469162704025,0,1.0696146916270404e-10,TRUE
full,7,6,yield_5y,29,-0.006844010030893025,-0.006844010030893025,0,1.0684401003089303e-10,TRUE
full,7,6,yield_5y,30,-0.006612076675774116,-0.006612076675774116,0,1.0661207667577412e-10,TRUE
full,7,6,yield_5y,31,-0.006425246131627762,-0.006425246131627762,0,1.0642524613162776e-10,TRUE
full,7,6,yield_5y,32,-0.006206999369542442,-0.006206999369542442,0,1.0620699936954244e-10,TRUE
full,7,6,yield_5y,33,-0.005925547948039039,-0.005925547948039039,0,1.0592554794803904e-10,TRUE
full,7,6,yield_5y,34,-0.005663296098446359,-0.005663296098446359,0,1.0566329609844636e-10,TRUE
full,7,6,yield_5y,35,-0.005382500358377731,-0.005382500358377731,0,1.0538250035837773e-10,TRUE
full,7,6,yield_5y,36,-0.005064231113741733,-0.005064231113741733,0,1.0506423111374173e-10,TRUE
full,7,6,yield_5y,37,-0.004757109495396964,-0.004757109495396964,0,1.0475710949539697e-10,TRUE
full,7,6,yield_5y,38,-0.004439935936913266,-0.004439935936913266,0,1.0443993593691327e-10,TRUE
full,7,6,yield_5y,39,-0.004099641616720936,-0.004099641616720936,0,1.0409964161672095e-10,TRUE
full,7,6,yield_5y,40,-0.0037743779289513084,-0.0037743779289513084,0,1.0377437792895131e-10,TRUE
full,7,6,yield_5y,41,-0.003447608649041084,-0.003447608649041084,0,1.034476086490411e-10,TRUE
full,7,6,yield_5y,42,-0.00311082425660539,-0.00311082425660539,0,1.0311082425660539e-10,TRUE
full,7,6,yield_5y,43,-0.002791334661855388,-0.002791334661855388,0,1.0279133466185539e-10,TRUE
full,7,6,yield_5y,44,-0.002476837703269875,-0.002476837703269875,0,1.0247683770326988e-10,TRUE
full,7,6,yield_5y,45,-0.002164444175292286,-0.002164444175292286,0,1.021644441752923e-10,TRUE
full,7,6,yield_5y,46,-0.0018708284717736997,-0.0018708284717736997,0,1.018708284717737e-10,TRUE
full,7,6,yield_5y,47,-0.001587276941315836,-0.001587276941315836,0,1.0158727694131585e-10,TRUE
full,7,6,yield_5y,48,-0.0013130987326206455,-0.0013130987326206455,0,1.0131309873262065e-10,TRUE
full,7,6,yield_6m,0,0.005,0.005,0,1.05e-10,TRUE
full,7,6,yield_6m,1,0.006486887982512389,0.006486887982512389,0,1.0648688798251239e-10,TRUE
full,7,6,yield_6m,2,0.007071681562097851,0.007071681562097851,0,1.0707168156209786e-10,TRUE
full,7,6,yield_6m,3,0.007362826497539025,0.007362826497539025,0,1.0736282649753903e-10,TRUE
full,7,6,yield_6m,4,0.006446075841907748,0.006446075841907748,0,1.0644607584190776e-10,TRUE
full,7,6,yield_6m,5,0.005907659945172428,0.005907659945172428,0,1.0590765994517243e-10,TRUE
full,7,6,yield_6m,6,0.00615654850250275,0.00615654850250275,0,1.0615654850250276e-10,TRUE
full,7,6,yield_6m,7,0.006200882141554278,0.006200882141554278,0,1.0620088214155428e-10,TRUE
full,7,6,yield_6m,8,0.005298776746101169,0.005298776746101169,0,1.0529877674610118e-10,TRUE
full,7,6,yield_6m,9,0.004544722618045082,0.004544722618045082,0,1.0454472261804509e-10,TRUE
full,7,6,yield_6m,10,0.003415689477809178,0.003415689477809178,0,1.0341568947780919e-10,TRUE
full,7,6,yield_6m,11,0.0017354159694043874,0.0017354159694043874,0,1.0173541596940439e-10,TRUE
full,7,6,yield_6m,12,8.65039414839201e-4,8.65039414839201e-4,0,1.008650394148392e-10,TRUE
full,7,6,yield_6m,13,-4.507056246630613e-4,-4.507056246630613e-4,0,1.0045070562466307e-10,TRUE
full,7,6,yield_6m,14,-0.0017060296566733923,-0.0017060296566733923,0,1.017060296566734e-10,TRUE
full,7,6,yield_6m,15,-0.002447213869426121,-0.002447213869426121,0,1.0244721386942613e-10,TRUE
full,7,6,yield_6m,16,-0.0034720604138040925,-0.0034720604138040925,0,1.034720604138041e-10,TRUE
full,7,6,yield_6m,17,-0.004392700636687259,-0.004392700636687259,0,1.0439270063668726e-10,TRUE
full,7,6,yield_6m,18,-0.005144031254526441,-0.005144031254526441,0,1.0514403125452644e-10,TRUE
full,7,6,yield_6m,19,-0.006006027085285612,-0.006006027085285612,0,1.0600602708528562e-10,TRUE
full,7,6,yield_6m,20,-0.006788922238913745,-0.006788922238913745,0,1.0678892223891375e-10,TRUE
full,7,6,yield_6m,21,-0.007421053288255849,-0.007421053288255849,0,1.0742105328825586e-10,TRUE
full,7,6,yield_6m,22,-0.008026765354726066,-0.008026765354726066,0,1.0802676535472607e-10,TRUE
full,7,6,yield_6m,23,-0.008602390292725698,-0.008602390292725698,0,1.086023902927257e-10,TRUE
full,7,6,yield_6m,24,-0.009040225062455174,-0.009040225062455174,0,1.0904022506245517e-10,TRUE
full,7,6,yield_6m,25,-0.00948025268596167,-0.00948025268596167,0,1.0948025268596167e-10,TRUE
full,7,6,yield_6m,26,-0.00987550658076051,-0.00987550658076051,0,1.0987550658076051e-10,TRUE
full,7,6,yield_6m,27,-0.01014433388213303,-0.01014433388213303,0,1.1014433388213303e-10,TRUE
full,7,6,yield_6m,28,-0.010411880521372405,-0.010411880521372405,0,1.1041188052137241e-10,TRUE
