variant,sample,r,ic1,ic2,ic3
drop_credito,full,5,-0.2026111199919392,-0.15915026258261433,-0.31690653052987555
drop_credito,full,6,-0.19710138573371816,-0.14494835684252833,-0.33425587837924176
drop_credito,full,7,-0.18938896424207674,-0.12854376386902194,-0.34940253899518775
drop_credito,full,8,-0.17966348098681173,-0.11012610913189202,-0.36253613784750993
drop_credito,full,9,-0.16749621339594045,-0.08926667005915567,-0.37322795236422585
drop_credito,full,10,-0.15443462466343993,-0.06751290984479019,-0.38302544573931263
drop_credito,full,11,-0.13786368395856974,-0.04224979765805503,-0.3893135871420298
drop_credito,full,12,-0.12146251770995464,-0.017156459927574974,-0.3957715030010019
drop_credito,full,13,-0.10577923424382163,0.0072189950204230025,-0.40294730164245607
drop_credito,full,14,-0.08922439582410624,0.032466004922003355,-0.40925154533032826
drop_credito,full,15,-0.07180977411928613,0.05857279810868832,-0.4146960057330954
drop_credito,full,16,-0.052373739810697595,0.08670100389914182,-0.418119053532094
drop_credito,full,17,-0.03232288395719163,0.11544403123451286,-0.42092727978617517
drop_credito,full,18,-0.01200561152569568,0.14445347514787388,-0.42346908946226647
drop_credito,full,19,0.007449150563073381,0.1726004087185078,-0.4268734094810849
drop_credito,full,20,0.027863224628770222,0.2017066542660697,-0.42931841752297517
drop_credito,pre_covid,1,-0.06750742985785071,-0.056897531675785096,-0.0934168755418727
drop_credito,pre_covid,2,-0.10082908211634906,-0.07960928575221782,-0.15264797348439302
drop_credito,pre_covid,3,-0.10183005254845637,-0.07000035800225951,-0.17955838960052228
drop_credito,pre_covid,4,-0.09220798533104924,-0.04976839260278676,-0.19584576806713713
drop_credito,pre_covid,5,-0.08211268610164002,-0.029063195191311897,-0.21165991452174987
drop_credito,pre_covid,6,-0.07463611246467511,-0.010976723372281394,-0.23009278656880694
drop_credito,pre_covid,7,-0.05967328105691572,0.014596006217543644,-0.24103940084506947
drop_credito,pre_covid,8,-0.03932369034327621,0.045555495113248745,-0.246599255815452
drop_credito,pre_covid,9,-0.0212064130486892,0.07428267058990135,-0.25439142420488703
drop_credito,pre_covid,10,0.0025971975497472988,0.10869617937040355,-0.2564972592904724
drop_credito,pre_covid,11,0.028025556087092784,0.14473443608981462,-0.2569783464371489
drop_credito,pre_covid,12,0.05357957386177925,0.18089835204656668,-0.2573337743464844
drop_credito,pre_covid,13,0.07763101976026243,0.21555969612711545,-0.25919177413202343
drop_credito,pre_covid,14,0.10294446296171555,0.2514830375106343,-0.25978777661459196
drop_credito,pre_covid,15,0.12548540445385048,0.2846338771848347,-0.2631562808064791
drop_credito,pre_covid,16,0.14946286402959008,0.31922123494264,-0.2650882669147615
drop_credito,pre_covid,17,0.1723515892731866,0.3527198583683022,-0.26810898735518696
drop_credito,pre_covid,18,0.1983762143113479,0.389354381588529,-0.2679938080010478
drop_credito,pre_covid,19,0.2233272800459143,0.4249153455051611,-0.26895218795050324
drop_credito,pre_covid,20,0.247487347030519,0.4596853106718315,-0.2707015666499204
drop_credito__imoveis,full,1,-0.09750768990325642,-0.08882991247111148,-0.12032656867362493
drop_credito__imoveis,full,2,-0.15725304822488462,-0.13989749336059473,-0.20289080576562163
drop_credito__imoveis,full,3,-0.18925958278233776,-0.16322625048590292,-0.2577162190934433
drop_credito__imoveis,full,4,-0.20087889900812966,-0.1661677892795499,-0.29215441408960374
drop_credito__imoveis,full,5,-0.2058299850754493,-0.16244109791472455,-0.31992437892729186
drop_credito__imoveis,full,6,-0.1997568797293509,-0.14769021513648123,-0.33667015235156195
drop_credito__imoveis,full,7,-0.19249756803754853,-0.13175312601253386,-0.352229719430128
drop_credito__imoveis,full,8,-0.18324938774890842,-0.11382716829174888,-0.3658004179118565
drop_credito__imoveis,full,9,-0.17152902303271222,-0.09342902614340753,-0.37689893196602875
drop_credito__imoveis,full,10,-0.15820069944938886,-0.07142292512793935,-0.3863894871530739
drop_credito__imoveis,full,11,-0.14186415486937276,-0.04640860311577821,-0.39287182134342624
drop_credito__imoveis,full,12,-0.12484626570049473,-0.020712936514755365,-0.3986728109449168
drop_credito__imoveis,full,13,-0.10657570635944613,0.006235400258438273,-0.4032211303742367
drop_credito__imoveis,full,14,-0.08924342747699943,0.03224545657302991,-0.40870773026215834
drop_credito__imoveis,full,15,-0.07102060045070713,0.059146061031467134,-0.41330378200623474
drop_credito__imoveis,full,16,-0.05123676338932026,0.08760767552499882,-0.41633882371521647
drop_credito__imoveis,full,17,-0.031141856103074295,0.11638036024338994,-0.41906279519933887
drop_credito__imoveis,full,18,-0.010790235582731178,0.1454097581958782,-0.42153005344936423
drop_credito__imoveis,full,19,0.008949635475131723,0.1738274066858858,-0.4246090611618699
drop_credito__imoveis,full,20,0.02915340440217462,0.20270895304507364,-0.4272241710051955
drop_credito__imoveis,pre_covid,1,-0.06793301579321814,-0.05721815736342621,-0.09404182909506453
drop_credito__imoveis,pre_covid,2,-0.10206150885072007,-0.08063179199113621,-0.15427913545441285
drop_credito__imoveis,pre_covid,3,-0.10298040501070704,-0.07083582972133129,-0.1813068449162462
drop_credito__imoveis,pre_covid,4,-0.09378155008220906,-0.050922116363041336,-0.1982168032895946
drop_credito__imoveis,pre_covid,5,-0.08201363843268394,-0.028439346283724354,-0.2125577049419159
drop_credito__imoveis,pre_covid,6,-0.07370973515042234,-0.009420584571670831,-0.23036261496150068
