sample,r,q,variable,h,point
pre_covid,5,3,yield_6m,24,-0.007709090987794323
pre_covid,5,3,yield_6m,25,-0.007769343090157709
pre_covid,5,3,yield_6m,26,-0.00778155471728514
pre_covid,5,3,yield_6m,27,-0.0077473874893368615
pre_covid,5,3,yield_6m,28,-0.007673789358895134
pre_covid,5,3,yield_6m,29,-0.00754457394252805
pre_covid,5,3,yield_6m,30,-0.007373693216303553
pre_covid,5,3,yield_6m,31,-0.007155034869279886
pre_covid,5,3,yield_6m,32,-0.006879005497445982
pre_covid,5,3,yield_6m,33,-0.006559806674692751
pre_covid,5,3,yield_6m,34,-0.006191304302021388
pre_covid,5,3,yield_6m,35,-0.0057775944131922274
pre_covid,5,3,yield_6m,36,-0.0053258370210492526
pre_covid,5,3,yield_6m,37,-0.0048359797418479076
pre_covid,5,3,yield_6m,38,-0.004315850025550701
pre_covid,5,3,yield_6m,39,-0.0037665835340654112
pre_covid,5,3,yield_6m,40,-0.003192114054596879
pre_covid,5,3,yield_6m,41,-0.002598198755223637
pre_covid,5,3,yield_6m,42,-0.001985541839934583
pre_covid,5,3,yield_6m,43,-0.0013601339070718355
pre_covid,5,3,yield_6m,44,-7.262768100715099e-4
pre_covid,5,3,yield_6m,45,-8.743460164980753e-5
pre_covid,5,3,yield_6m,46,5.502155244668536e-4
pre_covid,5,3,yield_6m,47,0.0011824883449212031
pre_covid,5,3,yield_6m,48,0.0018041360378330104
full,5,4,asset_ibov,0,-7.425391771898228
full,5,4,asset_ibov,1,-7.575330077515005
full,5,4,asset_ibov,2,-1.4964598649264613
full,5,4,asset_ibov,3,1.1852744740765375
full,5,4,asset_ibov,4,3.864234735020632
full,5,4,asset_ibov,5,5.854926783813814
full,5,4,asset_ibov,6,8.078987022740334
full,5,4,asset_ibov,7,11.71935371670846
full,5,4,asset_ibov,8,16.910541827976925
full,5,4,asset_ibov,9,21.086105950410573
full,5,4,asset_ibov,10,24.428343205645568
full,5,4,asset_ibov,11,28.041093144488254
full,5,4,asset_ibov,12,31.551407130216923
full,5,4,asset_ibov,13,35.331315459351956
full,5,4,asset_ibov,14,39.425719276157565
full,5,4,asset_ibov,15,43.39294046896741
full,5,4,asset_ibov,16,47.20948994239802
full,5,4,asset_ibov,17,51.212427413061725
full,5,4,asset_ibov,18,55.36480504778044
full,5,4,asset_ibov,19,59.545271515830144
full,5,4,asset_ibov,20,63.7754652213288
full,5,4,asset_ibov,21,67.95532058032633
full,5,4,asset_ibov,22,72.06369217499746
full,5,4,asset_ibov,23,76.16348207614548
full,5,4,asset_ibov,24,80.20679333563369
full,5,4,asset_ibov,25,84.13551990066681
full,5,4,asset_ibov,26,87.93393156707812
full,5,4,asset_ibov,27,91.56256342401376
full,5,4,asset_ibov,28,95.00509862497834
full,5,4,asset_ibov,29,98.26610201065482
full,5,4,asset_ibov,30,101.31950565786391
full,5,4,asset_ibov,31,104.1402897087631
full,5,4,asset_ibov,32,106.72032375499762
full,5,4,asset_ibov,33,109.04804479159253
full,5,4,asset_ibov,34,111.11467536070019
full,5,4,asset_ibov,35,112.91800046350082
full,5,4,asset_ibov,36,114.45190201841922
full,5,4,asset_ibov,37,115.71109013365088
full,5,4,asset_ibov,38,116.6967576106956
full,5,4,asset_ibov,39,117.41140060797832
full,5,4,asset_ibov,40,117.85875791412248
full,5,4,asset_ibov,41,118.04523132638597
full,5,4,asset_ibov,42,117.97769062104018
full,5,4,asset_ibov,43,117.66464079195853
full,5,4,asset_ibov,44,117.11729407751159
full,5,4,asset_ibov,45,116.34786004698267
full,5,4,asset_ibov,46,115.36951553777179
full,5,4,asset_ibov,47,114.19675758940923
full,5,4,asset_ibov,48,112.84466283330954
full,5,4,cambio_usd,0,0.3732373822398718
full,5,4,cambio_usd,1,0.4535222539192413
full,5,4,cambio_usd,2,0.3870118915850416
full,5,4,cambio_usd,3,0.3502212169806228
full,5,4,cambio_usd,4,0.33585214558756116
full,5,4,cambio_usd,5,0.32831553304884503
full,5,4,cambio_usd,6,0.3367369998440911
full,5,4,cambio_usd,7,0.3236491056037963
full,5,4,cambio_usd,8,0.278176682593178
full,5,4,cambio_usd,9,0.23590652380036436
full,5,4,cambio_usd,10,0.20270705321594001
full,5,4,cambio_usd,11,0.1910793466619895
full,5,4,cambio_usd,12,0.17732332694542138
full,5,4,cambio_usd,13,0.1468439911542654
full,5,4,cambio_usd,14,0.12073635795573237
full,5,4,cambio_usd,15,0.10271360904935266
full,5,4,cambio_usd,16,0.08330019233657525
full,5,4,cambio_usd,17,0.06608080320707427
full,5,4,cambio_usd,18,0.05119978601495622
full,5,4,cambio_usd,19,0.032671212507900074
full,5,4,cambio_usd,20,0.014007224808742868
