variant,sample,q,aw_ic2
drop_fiscal__expectativas__eua__credito__imoveis,pre_covid,2,-0.3454148005088752
drop_fiscal__expectativas__eua__imoveis,full,1,-0.3608269307680374
drop_fiscal__expectativas__eua__imoveis,full,2,-0.42554522980951615
drop_fiscal__expectativas__eua__imoveis,full,3,-0.427290952394046
drop_fiscal__expectativas__eua__imoveis,pre_covid,1,-0.33102586737078094
drop_fiscal__expectativas__eua__imoveis,pre_covid,2,-0.34657079264375046
drop_fiscal__expectativas__imoveis,full,1,-0.42134858210206555
drop_fiscal__expectativas__imoveis,full,2,-0.4798771860786113
drop_fiscal__expectativas__imoveis,full,3,-0.4788561984358464
drop_fiscal__expectativas__imoveis,full,4,-0.4736916515101692
drop_fiscal__expectativas__imoveis,pre_covid,1,-0.32375012478809506
drop_fiscal__expectativas__imoveis,pre_covid,2,-0.33515627270942727
drop_fiscal__imoveis,full,1,-0.41644753919264454
drop_fiscal__imoveis,full,2,-0.47259512062357906
drop_fiscal__imoveis,full,3,-0.46901143851663074
drop_fiscal__imoveis,full,4,-0.46516206262703164
drop_fiscal__imoveis,pre_covid,1,-0.3217163888503172
drop_fiscal__imoveis,pre_covid,2,-0.3309604313336989
drop_fiscal__setor_externo,full,1,-0.419427469923226
drop_fiscal__setor_externo,full,2,-0.4799653835123095
drop_fiscal__setor_externo,full,3,-0.47896185362275157
drop_fiscal__setor_externo,full,4,-0.4764950318625265
drop_fiscal__setor_externo,pre_covid,1,-0.3271059048223808
drop_fiscal__setor_externo,pre_covid,2,-0.3373980641158992
drop_fiscal__setor_externo__credito,full,1,-0.42011891129595774
drop_fiscal__setor_externo__credito,full,2,-0.47906515771252123
drop_fiscal__setor_externo__credito,full,3,-0.4791788276901787
drop_fiscal__setor_externo__credito,full,4,-0.4777620489116327
drop_fiscal__setor_externo__credito,pre_covid,1,-0.3259743228791385
drop_fiscal__setor_externo__credito,pre_covid,2,-0.33607467304924493
drop_fiscal__setor_externo__credito__imoveis,full,1,-0.42026631165410216
drop_fiscal__setor_externo__credito__imoveis,full,2,-0.47915142110114195
drop_fiscal__setor_externo__credito__imoveis,full,3,-0.4788334812190106
drop_fiscal__setor_externo__credito__imoveis,full,4,-0.47783556119637544
drop_fiscal__setor_externo__credito__imoveis,pre_covid,1,-0.32278675967901527
drop_fiscal__setor_externo__credito__imoveis,pre_covid,2,-0.3334125077926441
drop_fiscal__setor_externo__eua,full,1,-0.42180861454393564
drop_fiscal__setor_externo__eua,full,2,-0.4886979318168685
drop_fiscal__setor_externo__eua,full,3,-0.4902648909668501
drop_fiscal__setor_externo__eua,full,4,-0.48661678931631186
drop_fiscal__setor_externo__eua,pre_covid,1,-0.335108575247163
drop_fiscal__setor_externo__eua,pre_covid,2,-0.34960389347100285
drop_fiscal__setor_externo__eua__credito,full,1,-0.5123444396221317
drop_fiscal__setor_externo__eua__credito,full,2,-0.5636636877389277
drop_fiscal__setor_externo__eua__credito,full,3,-0.5625689854132884
drop_fiscal__setor_externo__eua__credito,full,4,-0.5594689744070473
drop_fiscal__setor_externo__eua__credito,full,5,-0.5451299569119918
drop_fiscal__setor_externo__eua__credito,pre_covid,1,-0.33413734032139264
drop_fiscal__setor_externo__eua__credito,pre_covid,2,-0.34846139887032934
drop_fiscal__setor_externo__eua__credito__imoveis,full,1,-0.5133403083552269
drop_fiscal__setor_externo__eua__credito__imoveis,full,2,-0.5637326400423595
drop_fiscal__setor_externo__eua__credito__imoveis,full,3,-0.563080498766018
drop_fiscal__setor_externo__eua__credito__imoveis,full,4,-0.5603425657995326
drop_fiscal__setor_externo__eua__credito__imoveis,full,5,-0.5462890319453918
drop_fiscal__setor_externo__eua__credito__imoveis,pre_covid,1,-0.33085966588398247
drop_fiscal__setor_externo__eua__credito__imoveis,pre_covid,2,-0.34576790931644663
drop_fiscal__setor_externo__eua__imoveis,full,1,-0.5127578236166639
drop_fiscal__setor_externo__eua__imoveis,full,2,-0.5648335446430669
drop_fiscal__setor_externo__eua__imoveis,full,3,-0.5631019383734002
drop_fiscal__setor_externo__eua__imoveis,full,4,-0.558507662864302
drop_fiscal__setor_externo__eua__imoveis,full,5,-0.5433838606865977
drop_fiscal__setor_externo__eua__imoveis,pre_covid,1,-0.3316449324134443
drop_fiscal__setor_externo__eua__imoveis,pre_covid,2,-0.34680204502399203
drop_fiscal__setor_externo__expectativas,full,1,-0.42546402449030496
drop_fiscal__setor_externo__expectativas,full,2,-0.48922280585524447
drop_fiscal__setor_externo__expectativas,full,3,-0.4912586007155927
drop_fiscal__setor_externo__expectativas,full,4,-0.48768094268619855
drop_fiscal__setor_externo__expectativas,pre_covid,1,-0.32960484822079583
drop_fiscal__setor_externo__expectativas,pre_covid,2,-0.3420858977234734
drop_fiscal__setor_externo__expectativas__credito,full,1,-0.4262602302215066
