variant,sample,component,eigenvalue
drop_expectativas,pre_covid,5,5.444977588791302
drop_expectativas,pre_covid,6,5.0692422065219045
drop_expectativas,pre_covid,7,4.271576895320443
drop_expectativas,pre_covid,8,3.903232901704637
drop_expectativas,pre_covid,9,3.5391755022848956
drop_expectativas,pre_covid,10,3.071431881047858
drop_expectativas,pre_covid,11,2.8857428424646185
drop_expectativas,pre_covid,12,2.7244584095196114
drop_expectativas,pre_covid,13,2.5740256804124555
drop_expectativas,pre_covid,14,2.4237252345417066
drop_expectativas,pre_covid,15,2.3555961058204136
drop_expectativas,pre_covid,16,2.260010336653473
drop_expectativas,pre_covid,17,2.0999593371223932
drop_expectativas,pre_covid,18,2.0116411767672795
drop_expectativas,pre_covid,19,1.8381152411694375
drop_expectativas,pre_covid,20,1.7519527616956572
drop_expectativas__credito,full,1,16.90155158075752
drop_expectativas__credito,full,2,11.50292629776141
drop_expectativas__credito,full,3,8.095204450369227
drop_expectativas__credito,full,4,5.568355430147586
drop_expectativas__credito,full,5,4.963992237802657
drop_expectativas__credito,full,6,3.950234200286922
drop_expectativas__credito,full,7,3.4958778671384283
drop_expectativas__credito,full,8,3.2834365034629522
drop_expectativas__credito,full,9,2.8364421971608955
drop_expectativas__credito,full,10,2.742356131184091
drop_expectativas__credito,full,11,2.492008398429689
drop_expectativas__credito,full,12,2.396286558953643
drop_expectativas__credito,full,13,2.2540105370614767
drop_expectativas__credito,full,14,2.141339003188566
drop_expectativas__credito,full,15,1.9309155905922621
drop_expectativas__credito,full,16,1.8443188521446319
drop_expectativas__credito,full,17,1.7401388457432037
drop_expectativas__credito,full,18,1.6711768393224107
drop_expectativas__credito,full,19,1.6210966371942572
drop_expectativas__credito,full,20,1.4821933968964052
drop_expectativas__credito,pre_covid,1,14.759099607286895
drop_expectativas__credito,pre_covid,2,11.243534107929737
drop_expectativas__credito,pre_covid,3,6.9712657275749494
drop_expectativas__credito,pre_covid,4,5.467480914358361
drop_expectativas__credito,pre_covid,5,5.35635510854557
drop_expectativas__credito,pre_covid,6,5.034959589578615
drop_expectativas__credito,pre_covid,7,4.241402059643883
drop_expectativas__credito,pre_covid,8,3.7825918252533146
drop_expectativas__credito,pre_covid,9,3.5203021753182466
drop_expectativas__credito,pre_covid,10,3.0482113698707547
drop_expectativas__credito,pre_covid,11,2.8262887387558613
drop_expectativas__credito,pre_covid,12,2.7203350891610856
drop_expectativas__credito,pre_covid,13,2.5709384785883613
drop_expectativas__credito,pre_covid,14,2.414790191201357
drop_expectativas__credito,pre_covid,15,2.3345898266824685
drop_expectativas__credito,pre_covid,16,2.2342829190988387
drop_expectativas__credito,pre_covid,17,2.0763307919030436
drop_expectativas__credito,pre_covid,18,1.8962319052439267
drop_expectativas__credito,pre_covid,19,1.8380230096775323
drop_expectativas__credito,pre_covid,20,1.7394785218214255
drop_expectativas__credito__imoveis,full,1,16.90113589788426
