variant,r,q,p,n_series,n_months,n_obs_align,xi_mp,xi_mp_reestimated,old_grid_reused,old_grid_xi_difference,f_robust_mp,max_companion_root,stable
drop_credito,4,2,6,121,153,147,2.9983919581935448,2.9983919581935448,FALSE,NA,3.841004045542947,0.9615442418633688,TRUE
drop_credito,4,3,6,121,153,147,5.058662069934319,5.058662069934319,FALSE,NA,8.511216822459437,0.9615442418633688,TRUE
drop_credito,4,4,6,121,153,147,5.870858459445104,5.870858459445104,FALSE,NA,10.848751533269382,0.9615442418633688,TRUE
drop_credito,5,1,6,121,153,147,4.687381336117871,4.687381336117871,FALSE,NA,5.8136559318761245,0.9637120162706788,TRUE
drop_credito,5,2,6,121,153,147,3.0064376003781836,3.0064376003781836,FALSE,NA,3.6643412176959846,0.9637120162706788,TRUE
drop_credito,5,3,6,121,153,147,2.321573053411566,2.321573053411566,TRUE,0,2.5749561344749217,0.9637120162706788,TRUE
drop_credito,5,4,6,121,153,147,4.25023240517987,4.25023240517987,TRUE,0,5.784076161635797,0.9637120162706788,TRUE
drop_credito,5,5,6,121,153,147,5.600749935733437,5.600749935733437,TRUE,0,8.891053469139962,0.9637120162706788,TRUE
drop_credito,6,1,6,121,153,147,3.966396349171344,3.966396349171344,FALSE,NA,4.382720150960964,0.9720632578589712,TRUE
drop_credito,6,2,6,121,153,147,1.856685724014861,1.856685724014861,FALSE,NA,1.737845184439908,0.9720632578589712,TRUE
drop_credito,6,3,6,121,153,147,2.6895466641361434,2.6895466641361434,TRUE,0,2.554038862784903,0.9720632578589712,TRUE
drop_credito,6,4,6,121,153,147,3.32696511096637,3.32696511096637,TRUE,4.440892098500626e-16,3.344741513344197,0.9720632578589712,TRUE
drop_credito,6,5,6,121,153,147,4.2338200496770595,4.2338200496770595,TRUE,0,4.475981465885303,0.9720632578589712,TRUE
drop_credito,6,6,6,121,153,147,6.243563269341017,6.243563269341017,TRUE,0,7.709886136803063,0.9720632578589712,TRUE
drop_credito,7,1,6,121,153,147,3.773696178312022,3.773696178312022,FALSE,NA,3.5942780921587736,0.9774692816782676,TRUE
drop_credito,7,2,6,121,153,147,1.815422776340778,1.815422776340778,FALSE,NA,1.53875358401423,0.9774692816782676,TRUE
drop_credito,7,3,6,121,153,147,5.54779995689745,5.54779995689745,TRUE,0,6.0810711033049225,0.9774692816782676,TRUE
drop_credito,7,4,6,121,153,147,3.877537709722852,3.877537709722852,TRUE,4.440892098500626e-16,3.598542875435314,0.9774692816782676,TRUE
drop_credito,7,5,6,121,153,147,4.382788204965341,4.382788204965341,TRUE,0,4.2332402913733835,0.9774692816782676,TRUE
drop_credito,7,6,6,121,153,147,4.632597470418512,4.632597470418512,TRUE,0,4.433686799684248,0.9774692816782676,TRUE
drop_credito,7,7,6,121,153,147,6.872522578807689,6.872522578807689,TRUE,0,7.293587299199213,0.9774692816782676,TRUE
drop_credito,8,1,6,121,153,147,4.166056304452868,4.166056304452868,FALSE,NA,3.704922346121136,0.9838387364423264,TRUE
drop_credito,8,2,6,121,153,147,2.5493190012506286,2.5493190012506286,FALSE,NA,2.158503985631768,0.9838387364423264,TRUE
drop_credito,8,3,6,121,153,147,5.034465168052173,5.034465168052173,TRUE,0,4.820446464996506,0.9838387364423264,TRUE
drop_credito,8,4,6,121,153,147,5.1514982716976405,5.1514982716976405,TRUE,0,4.975347795115084,0.9838387364423264,TRUE
drop_credito,8,5,6,121,153,147,5.632957875534114,5.632957875534114,TRUE,0,5.710458080332849,0.9838387364423264,TRUE
drop_credito,8,6,6,121,153,147,5.539276071980214,5.539276071980214,TRUE,0,5.3708416138501995,0.9838387364423264,TRUE
drop_credito,8,7,6,121,153,147,5.478215109834437,5.478215109834437,TRUE,0,5.2366140650490545,0.9838387364423264,TRUE
drop_credito,8,8,6,121,153,147,7.769315420775537,7.769315420775537,TRUE,0,8.303865228245748,0.9838387364423264,TRUE
drop_credito__imoveis,1,1,6,120,153,147,3.731333588082333,3.731333588082333,FALSE,NA,5.625738738971781,0.8943243494207236,TRUE
drop_credito__imoveis,2,1,6,120,153,147,0.3151233978347643,0.3151233978347643,FALSE,NA,0.30637805811261976,0.968180178995129,TRUE
drop_credito__imoveis,2,2,6,120,153,147,6.302452534876675,6.302452534876675,FALSE,NA,16.284507579261174,0.968180178995129,TRUE
drop_credito__imoveis,3,1,6,120,153,147,4.706742053418464,4.706742053418464,FALSE,NA,4.629834080098989,0.9717386402979952,TRUE
drop_credito__imoveis,3,2,6,120,153,147,4.119230059810055,4.119230059810055,FALSE,NA,6.305572818392803,0.9717386402979952,TRUE
drop_credito__imoveis,3,3,6,120,153,147,5.458612320882402,5.458612320882402,FALSE,NA,9.18463694143256,0.9717386402979952,TRUE
drop_credito__imoveis,4,1,6,120,153,147,3.993394269169879,3.993394269169879,FALSE,NA,4.647461053116299,0.9644990984625078,TRUE
drop_credito__imoveis,4,2,6,120,153,147,3.427881190855397,3.427881190855397,FALSE,NA,4.605743538255087,0.9644990984625078,TRUE
drop_credito__imoveis,4,3,6,120,153,147,5.146142446866404,5.146142446866404,FALSE,NA,8.759060890304783,0.9644990984625078,TRUE
drop_credito__imoveis,4,4,6,120,153,147,5.883026727108415,5.883026727108415,FALSE,NA,10.917471711457504,0.9644990984625078,TRUE
drop_credito__imoveis,5,1,6,120,153,147,4.675398321657081,4.675398321657081,FALSE,NA,5.770974410082866,0.9667194964362334,TRUE
drop_credito__imoveis,5,2,6,120,153,147,3.4291191418782607,3.4291191418782607,FALSE,NA,4.375735425520512,0.9667194964362334,TRUE
drop_credito__imoveis,5,3,6,120,153,147,2.621607138419365,2.621607138419365,TRUE,0,2.9960250631446868,0.9667194964362334,TRUE
drop_credito__imoveis,5,4,6,120,153,147,4.583216406438601,4.583216406438601,TRUE,0,6.4365964030924605,0.9667194964362334,TRUE
