block,other_blocks,excluded_variant,included_variant,bll_distance_full_included,max_companion_root_included,xi_gt_3_84_pre_covid_included,normalized_rmse_included,sign_errors_full_included,parsimony_included,bll_distance_full_excluded,max_companion_root_excluded,xi_gt_3_84_pre_covid_excluded,normalized_rmse_excluded,sign_errors_full_excluded,parsimony_excluded,distance_cmp,root_cmp,pre_relevance_cmp,rmse_cmp,sign_errors_cmp,parsimony_cmp,exclusion_improvements,exclusion_worsenings,exclusion_wins,inclusion_wins
eua,expectativas;fiscal;imoveis;setor_externo,drop_fiscal__setor_externo__expectativas__eua__imoveis,drop_fiscal__setor_externo__expectativas__imoveis,0,0.9661208610569956,TRUE,3.1253785203263877,5,7,0,0.965575971118077,TRUE,0.5645926638913339,0,7,0,0,0,1,1,0,2,0,FALSE,FALSE
eua,expectativas;fiscal;setor_externo,drop_fiscal__setor_externo__expectativas__eua,drop_fiscal__setor_externo__expectativas,0,0.9598993791642038,FALSE,2.222914971066318,5,7,1,0.969537103663611,TRUE,0.9673131352645945,0,6,-1,-1,1,1,1,1,4,2,FALSE,FALSE
eua,expectativas;imoveis,drop_expectativas__eua__imoveis,drop_expectativas__imoveis,1,0.9659255498696028,TRUE,1.8895406205806147,5,7,0,0.9715139710584744,FALSE,0.2525662696484346,0,6,1,-1,-1,1,1,1,4,2,FALSE,FALSE
eua,expectativas;imoveis;setor_externo,drop_setor_externo__expectativas__eua__imoveis,drop_setor_externo__expectativas__imoveis,0,0.9677370429187756,TRUE,2.0273704856930306,5,7,1,0.9660723908625618,TRUE,0.7600925858891476,1,6,-1,1,0,1,1,1,4,1,TRUE,FALSE
eua,expectativas;setor_externo,drop_setor_externo__expectativas__eua,drop_setor_externo__expectativas,0,0.965162110792472,FALSE,1.4727193088784232,5,7,0,0.96510387438142,FALSE,1.5484872221607642,5,7,0,0,0,-1,0,0,0,1,FALSE,FALSE
eua,fiscal,drop_fiscal__eua,drop_fiscal,1,0.9687228510996831,TRUE,1.7499543034980192,5,7,0,0.9764317170621224,TRUE,0.5377608218582723,0,6,1,-1,0,1,1,1,4,1,TRUE,FALSE
eua,fiscal;imoveis,drop_fiscal__eua__imoveis,drop_fiscal__imoveis,0,0.9611000122060668,TRUE,0.6064302151897054,0,6,0,0.9701970090404308,TRUE,0.6403688696511449,0,6,0,-1,0,-1,0,0,0,2,FALSE,FALSE
eua,fiscal;imoveis;setor_externo,drop_fiscal__setor_externo__eua__imoveis,drop_fiscal__setor_externo__imoveis,0,0.9650608116930608,TRUE,0.543944831812363,0,6,0,0.9653477002074417,FALSE,0.5409969210625952,0,7,0,0,-1,0,0,-1,0,2,FALSE,FALSE
eua,fiscal;setor_externo,drop_fiscal__setor_externo__eua,drop_fiscal__setor_externo,1,0.9637926309811332,FALSE,0.5881654393871345,0,7,0,0.9753143377515132,TRUE,1.9512660784745444,5,7,1,-1,1,-1,-1,0,2,3,FALSE,FALSE
eua,imoveis,drop_eua__imoveis,drop_imoveis,1,0.9661458014093424,TRUE,2.999611787095951,5,7,0,0.9607886804312348,TRUE,0.607009695226632,0,6,1,1,0,1,1,1,5,0,TRUE,FALSE
eua,imoveis;setor_externo,drop_setor_externo__eua__imoveis,drop_setor_externo__imoveis,1,0.9680429523482948,TRUE,0.7810693966695851,4,5,0,0.9579991855921876,TRUE,2.80078180373254,5,7,1,1,0,-1,-1,-1,2,3,FALSE,FALSE
eua,setor_externo,drop_setor_externo__eua,drop_setor_externo,1,0.96521200900006765,TRUE,0.7690826703179668,4,5,0,0.967482284267226,TRUE,1.2242183564372164,5,7,1,-1,0,-1,-1,-1,1,4,FALSE,TRUE
expectativas,,drop_expectativas,conjunto_completo_sem_duplicatas,1,0.9625695997704398,TRUE,1.5176355735611287,5,7,0,0.9761148621693976,FALSE,0.5598760284047191,4,5,1,-1,-1,1,1,1,4,2,FALSE,FALSE
expectativas,credito,drop_expectativas__credito,drop_credito,1,0.9615442418633688,TRUE,0.7516840788248458,4,5,0,0.97437740671195,FALSE,0.5936892439160202,5,5,1,-1,-1,1,-1,0,2,3,FALSE,FALSE
expectativas,credito;eua,drop_expectativas__eua__credito,drop_eua__credito,0,0.966152845317509,TRUE,1.6315400657259322,5,7,0,0.9728113949412084,FALSE,0.22793880684877527,0,6,0,-1,-1,1,1,1,3,2,FALSE,FALSE
expectativas,credito;eua;fiscal,drop_fiscal__expectativas__eua__credito,drop_fiscal__eua__credito,0,0.974464935288998,TRUE,2.091657721989367,5,7,0,0.9741769360898472,TRUE,0.24253697325605966,0,6,0,0,0,1,1,1,3,0,FALSE,FALSE
