variant,r,q,xi_mp,xi_mp_reestimated,old_grid_xi_difference
drop_expectativas__imoveis,8,4,4.8224661310663866,4.8224661310663866,0
drop_expectativas__imoveis,8,5,5.622843723335759,5.622843723335759,0
drop_expectativas__imoveis,8,6,5.651506821473999,5.651506821473999,0
drop_expectativas__imoveis,8,7,5.493513814366558,5.493513814366558,0
drop_expectativas__imoveis,8,8,7.793612457364293,7.793612457364293,0
drop_fiscal,5,3,3.2378247349627345,3.2378247349627345,0
drop_fiscal,5,4,4.921325811612929,4.921325811612929,0
drop_fiscal,5,5,5.399678189104089,5.399678189104089,0
drop_fiscal,6,3,4.490441184642586,4.490441184642586,0
drop_fiscal,6,4,4.639074204590113,4.639074204590113,0
drop_fiscal,6,5,4.715095268723299,4.715095268723299,0
drop_fiscal,6,6,6.200109001524571,6.200109001524571,0
drop_fiscal,7,3,6.744536488213052,6.744536488213052,0
drop_fiscal,7,4,5.027143869947753,5.027143869947753,0
drop_fiscal,7,5,5.161980257160402,5.161980257160402,0
drop_fiscal,7,6,5.221411119001904,5.221411119001904,0
drop_fiscal,7,7,7.129522511433641,7.129522511433641,0
drop_fiscal,8,3,6.062731089647803,6.062731089647803,0
drop_fiscal,8,4,6.150887131244574,6.150887131244574,0
drop_fiscal,8,5,6.139515090315976,6.139515090315976,0
drop_fiscal,8,6,6.251478924174932,6.251478924174932,0
drop_fiscal,8,7,6.364988448209518,6.364988448209518,0
drop_fiscal,8,8,7.96535977048455,7.96535977048455,0
drop_fiscal__credito,5,3,3.125221367637826,3.125221367637826,0
drop_fiscal__credito,5,4,5.225722681135509,5.225722681135509,0
drop_fiscal__credito,5,5,5.862441891973555,5.862441891973555,0
drop_fiscal__credito,6,3,3.376058068239844,3.376058068239844,0
drop_fiscal__credito,6,4,4.46236167245041,4.46236167245041,0
drop_fiscal__credito,6,5,5.0367121422513135,5.0367121422513135,0
drop_fiscal__credito,6,6,7.030797824195039,7.030797824195039,0
drop_fiscal__credito,7,3,7.245333097789787,7.245333097789787,8.881784197001252e-16
drop_fiscal__credito,7,4,4.926639202884245,4.926639202884245,0
drop_fiscal__credito,7,5,5.036864219925393,5.036864219925393,0
drop_fiscal__credito,7,6,5.130001223259753,5.130001223259753,0
drop_fiscal__credito,7,7,7.552367407027155,7.552367407027155,8.881784197001252e-16
drop_fiscal__credito,8,3,6.093346882350806,6.093346882350806,0
drop_fiscal__credito,8,4,6.0798346283086255,6.0798346283086255,0
drop_fiscal__credito,8,5,6.173409417589895,6.173409417589895,0
drop_fiscal__credito,8,6,6.204736905589528,6.204736905589528,0
drop_fiscal__credito,8,7,6.22103537206366,6.22103537206366,0
drop_fiscal__credito,8,8,8.43469072742953,8.43469072742953,0
drop_fiscal__credito__imoveis,5,3,3.458775865395011,3.458775865395011,0
drop_fiscal__credito__imoveis,5,4,5.474393384065204,5.474393384065204,0
drop_fiscal__credito__imoveis,5,5,5.901344816463172,5.901344816463172,0
drop_fiscal__credito__imoveis,6,3,4.679767963290875,4.679767963290875,0
drop_fiscal__credito__imoveis,6,4,4.469161912803667,4.469161912803667,0
drop_fiscal__credito__imoveis,6,5,5.454998087178516,5.454998087178516,0
