variant,r,q,variable,h,point_pre_covid
drop_eua__credito,4,3,yield_2y,1,0.008563153766095939
drop_eua__credito,4,3,yield_2y,2,0.006317378205049155
drop_eua__credito,4,3,yield_2y,3,0.007205056191032585
drop_eua__credito,4,3,yield_2y,4,0.004349984560751074
drop_eua__credito,4,3,yield_2y,5,0.0014951957340353153
drop_eua__credito,4,3,yield_2y,6,9.635974487398564e-4
drop_eua__credito,4,3,yield_5y,0,0.009774173553456765
drop_eua__credito,4,3,yield_5y,1,0.010188317096028165
drop_eua__credito,4,3,yield_5y,2,0.0071815134762325565
drop_eua__credito,4,3,yield_5y,3,0.00832877027361286
drop_eua__credito,4,3,yield_5y,4,0.005800339896090433
drop_eua__credito,4,3,yield_5y,5,0.0026812596849436487
drop_eua__credito,4,3,yield_5y,6,0.0017899881254985087
drop_eua__credito,4,3,asset_ibov,0,-7.7311783919871955
drop_eua__credito,4,3,asset_ibov,1,-17.09589464965883
drop_eua__credito,4,3,asset_ibov,2,-21.97037413131622
drop_eua__credito,4,3,asset_ibov,3,-29.579418306483074
drop_eua__credito,4,3,asset_ibov,4,-36.957107347089014
drop_eua__credito,4,3,asset_ibov,5,-42.303908985749395
drop_eua__credito,4,3,asset_ibov,6,-48.19237051263115
drop_eua__credito,4,3,cambio_usd,0,0.13009008694568572
drop_eua__credito,4,3,cambio_usd,1,0.1536706663818267
drop_eua__credito,4,3,cambio_usd,2,0.09343070470383279
drop_eua__credito,4,3,cambio_usd,3,0.10851399200620622
drop_eua__credito,4,3,cambio_usd,4,0.08493182778503883
drop_eua__credito,4,3,cambio_usd,5,0.03719077400865894
drop_eua__credito,4,3,cambio_usd,6,0.01596366281000973
drop_eua__credito__imoveis,4,3,yield_6m,0,0.005
drop_eua__credito__imoveis,4,3,yield_6m,1,0.004603228028559877
drop_eua__credito__imoveis,4,3,yield_6m,2,0.003527665146906271
drop_eua__credito__imoveis,4,3,yield_6m,3,0.003927401819320833
drop_eua__credito__imoveis,4,3,yield_6m,4,0.00166324690878733
drop_eua__credito__imoveis,4,3,yield_6m,5,-8.138392010712722e-5
drop_eua__credito__imoveis,4,3,yield_6m,6,-1.4345185383876684e-4
drop_eua__credito__imoveis,4,3,yield_2y,0,0.008863182473506112
drop_eua__credito__imoveis,4,3,yield_2y,1,0.00906950548726181
drop_eua__credito__imoveis,4,3,yield_2y,2,0.006219462430612598
drop_eua__credito__imoveis,4,3,yield_2y,3,0.007195899936329936
drop_eua__credito__imoveis,4,3,yield_2y,4,0.004229614998645715
drop_eua__credito__imoveis,4,3,yield_2y,5,9.85056597830817e-4
drop_eua__credito__imoveis,4,3,yield_2y,6,4.509897213207029e-4
drop_eua__credito__imoveis,4,3,yield_5y,0,0.010779157169512634
drop_eua__credito__imoveis,4,3,yield_5y,1,0.01117062452454748
drop_eua__credito__imoveis,4,3,yield_5y,2,0.007460487894457058
drop_eua__credito__imoveis,4,3,yield_5y,3,0.008755350197446684
drop_eua__credito__imoveis,4,3,yield_5y,4,0.006039577837293112
drop_eua__credito__imoveis,4,3,yield_5y,5,0.00228428434948246
drop_eua__credito__imoveis,4,3,yield_5y,6,0.0012962287728271254
drop_eua__credito__imoveis,4,3,asset_ibov,0,-8.725197441747817
drop_eua__credito__imoveis,4,3,asset_ibov,1,-19.09993216750079
drop_eua__credito__imoveis,4,3,asset_ibov,2,-24.433544697922912
drop_eua__credito__imoveis,4,3,asset_ibov,3,-32.50788089313254
