variant,r,q,p,n_series,n_months,n_obs_align,xi_mp,xi_mp_reestimated,old_grid_reused,old_grid_xi_difference,f_robust_mp,max_companion_root,stable
drop_fiscal__credito__imoveis,8,1,6,117,153,147,5.233227034766337,5.233227034766337,FALSE,NA,4.774497262909227,0.9867294693758704,TRUE
drop_fiscal__credito__imoveis,8,5,6,117,153,147,6.16120043463686,6.16120043463686,TRUE,0,6.246055226318392,0.9867294693758704,TRUE
drop_fiscal__eua,1,1,6,115,153,147,2.8956778031391366,2.8956778031391366,FALSE,NA,3.7758018620784934,0.889860255776959,TRUE
drop_fiscal__eua,3,2,6,115,153,147,4.868964252498767,4.868964252498767,FALSE,NA,8.221474881329566,0.9764500473583865,TRUE
drop_fiscal__eua,4,3,6,115,153,147,5.664392939608007,5.664392939608007,FALSE,NA,10.139440693187748,0.9764317170621224,TRUE
drop_fiscal__eua,5,3,6,115,153,147,3.7582522162199608,3.7582522162199608,TRUE,0,4.692097869173627,0.972573251633973,TRUE
drop_fiscal__eua,6,2,6,115,153,147,3.798480032486715,3.798480032486715,FALSE,NA,3.9330035416948883,0.9740596311329165,TRUE
drop_fiscal__eua,6,6,6,115,153,147,7.096916189597336,7.096916189597336,TRUE,0,8.525279539024973,0.9740596311329165,TRUE
drop_fiscal__eua,7,4,6,115,153,147,6.827633336718229,6.827633336718229,TRUE,0,7.231607939316593,0.9713451174280702,TRUE
drop_fiscal__eua,8,1,6,115,153,147,4.729875397473528,4.729875397473528,FALSE,NA,4.036154972873575,0.9813438604812191,TRUE
drop_fiscal__eua,8,5,6,115,153,147,8.37230311568783,8.37230311568783,TRUE,0,9.157053677862729,0.9813438604812191,TRUE
drop_fiscal__eua__credito,1,1,6,113,153,147,3.1782747714705923,3.1782747714705923,FALSE,NA,4.354909889634896,0.8905631443280817,TRUE
drop_fiscal__eua__credito,3,2,6,113,153,147,4.86506720884229,4.86506720884229,FALSE,NA,8.19393123110527,0.9746033011410362,TRUE
drop_fiscal__eua__credito,4,3,6,113,153,147,5.664229031000047,5.664229031000047,FALSE,NA,10.296476236590399,0.9744649352889979,TRUE
drop_fiscal__eua__credito,5,3,6,113,153,147,3.639844863233906,3.6398448632339067,TRUE,4.440892098500626e-16,4.491538070013608,0.9729120187807486,TRUE
drop_fiscal__eua__credito,6,2,6,113,153,147,3.4291951673599934,3.4291951673599934,FALSE,NA,3.3817883369412125,0.9786355044479137,TRUE
drop_fiscal__eua__credito,6,6,6,113,153,147,7.918460252309096,7.918460252309096,TRUE,0,9.788425059326377,0.9786355044479137,TRUE
drop_fiscal__eua__credito,7,4,6,113,153,147,6.894750960621871,6.894750960621871,TRUE,0,7.307610972081132,0.974614677897545,TRUE
drop_fiscal__eua__credito,8,1,6,113,153,147,4.889453344581722,4.889453344581722,FALSE,NA,4.190234158630091,0.9769366191024171,TRUE
drop_fiscal__eua__credito,8,5,6,113,153,147,8.55689154045382,8.55689154045382,TRUE,0,9.200209465446068,0.9769366191024171,TRUE
drop_fiscal__eua__credito__imoveis,1,1,6,112,153,147,3.1623541507703457,3.1623541507703457,FALSE,NA,4.323387767481698,0.8894735745254954,TRUE
drop_fiscal__eua__credito__imoveis,3,2,6,112,153,147,4.737604021278098,4.737604021278098,FALSE,NA,7.894962192972696,0.9710270699055747,TRUE
drop_fiscal__eua__credito__imoveis,4,3,6,112,153,147,5.743139457647512,5.743139457647512,FALSE,NA,10.455784155719453,0.9671624430075783,TRUE
drop_fiscal__eua__credito__imoveis,5,3,6,112,153,147,4.06685511453509,4.06685511453509,TRUE,0,5.21354179116622,0.9655782197783525,TRUE
drop_fiscal__eua__credito__imoveis,6,2,6,112,153,147,3.522365935668524,3.522365935668524,FALSE,NA,3.414396319456826,0.97461441522662,TRUE
drop_fiscal__eua__credito__imoveis,6,6,6,112,153,147,8.380488147338555,8.380488147338555,TRUE,0,10.337471162837826,0.97461441522662,TRUE
