variant,r,q,variable,h,point
baseline,6,2,cambio_usd,1,0.7311069958513722
baseline,6,2,cambio_usd,2,0.7128813782493792
baseline,6,2,cambio_usd,3,0.6819448138146749
baseline,6,2,cambio_usd,4,0.5944104128399844
baseline,6,2,cambio_usd,5,0.5407478799374521
baseline,6,2,cambio_usd,6,0.5593560640919019
baseline,6,6,yield_6m,0,0.005
baseline,6,6,yield_6m,1,0.006107378774052699
baseline,6,6,yield_6m,2,0.007156881445207869
baseline,6,6,yield_6m,3,0.008415790931501277
baseline,6,6,yield_6m,4,0.008452321984848176
baseline,6,6,yield_6m,5,0.008857330362637294
baseline,6,6,yield_6m,6,0.009033972233060317
baseline,6,6,yield_2y,0,0.00804025637705809
baseline,6,6,yield_2y,1,0.009726515365405504
baseline,6,6,yield_2y,2,0.010025775746406061
baseline,6,6,yield_2y,3,0.011411303307235048
baseline,6,6,yield_2y,4,0.011237335926115677
baseline,6,6,yield_2y,5,0.011237123474360951
baseline,6,6,yield_2y,6,0.011034425476642356
baseline,6,6,yield_5y,0,0.008568282761902312
baseline,6,6,yield_5y,1,0.009855322907904498
baseline,6,6,yield_5y,2,0.009272267868444723
baseline,6,6,yield_5y,3,0.010715428899636876
baseline,6,6,yield_5y,4,0.0105487779390037
baseline,6,6,yield_5y,5,0.010330632759593594
baseline,6,6,yield_5y,6,0.010061508951057025
baseline,6,6,asset_ibov,0,-0.8841592495086601
baseline,6,6,asset_ibov,1,-0.3415469412089111
baseline,6,6,asset_ibov,2,2.724066625831364
baseline,6,6,asset_ibov,3,3.982744052752955
baseline,6,6,asset_ibov,4,4.64076228736045
baseline,6,6,asset_ibov,5,6.167412578008859
baseline,6,6,asset_ibov,6,7.562115924238484
baseline,6,6,cambio_usd,0,0.1720125425513877
baseline,6,6,cambio_usd,1,0.20749082395258786
baseline,6,6,cambio_usd,2,0.17548051802468148
baseline,6,6,cambio_usd,3,0.17116303306772937
baseline,6,6,cambio_usd,4,0.16135261339006104
baseline,6,6,cambio_usd,5,0.13535177888841646
baseline,6,6,cambio_usd,6,0.12941795337415232
baseline,7,4,yield_6m,0,0.005
baseline,7,4,yield_6m,1,0.006601478773862938
baseline,7,4,yield_6m,2,0.006771724996811496
baseline,7,4,yield_6m,3,0.007077779823186184
baseline,7,4,yield_6m,4,0.0056289119168412395
baseline,7,4,yield_6m,5,0.004871108183544029
baseline,7,4,yield_6m,6,0.004705006019507191
baseline,7,4,yield_2y,0,0.010389636883878452
baseline,7,4,yield_2y,1,0.013300750419428865
baseline,7,4,yield_2y,2,0.011847814620660183
baseline,7,4,yield_2y,3,0.012420528536684112
baseline,7,4,yield_2y,4,0.009461329239787384
baseline,7,4,yield_2y,5,0.007996010260035212
baseline,7,4,yield_2y,6,0.007733872827906765
baseline,7,4,yield_5y,0,0.011475737956685854
baseline,7,4,yield_5y,1,0.014044026483036955
baseline,7,4,yield_5y,2,0.01144173969734108
baseline,7,4,yield_5y,3,0.012384448756372212
baseline,7,4,yield_5y,4,0.009743907803731496
baseline,7,4,yield_5y,5,0.008078087813901288
baseline,7,4,yield_5y,6,0.007703665109586421
baseline,7,4,asset_ibov,0,-1.5616271366959595
baseline,7,4,asset_ibov,1,-2.977634034512574
baseline,7,4,asset_ibov,2,0.9766034442888918
baseline,7,4,asset_ibov,3,2.273713876813529
baseline,7,4,asset_ibov,4,3.7903246856493946
baseline,7,4,asset_ibov,5,6.179338726264875
baseline,7,4,asset_ibov,6,8.305348378042158
baseline,7,4,cambio_usd,0,0.2600179570744246
baseline,7,4,cambio_usd,1,0.30045062594956423
baseline,7,4,cambio_usd,2,0.26135525839174106
baseline,7,4,cambio_usd,3,0.23897307335011053
baseline,7,4,cambio_usd,4,0.21181012985123016
baseline,7,4,cambio_usd,5,0.1585889019935588
baseline,7,4,cambio_usd,6,0.14815441704638588
baseline,8,1,yield_6m,0,0.005
baseline,8,1,yield_6m,1,0.007166939696181289
baseline,8,1,yield_6m,2,0.004538919526749296
baseline,8,1,yield_6m,3,0.005055105347744174
baseline,8,1,yield_6m,4,-3.112110162113762e-5
baseline,8,1,yield_6m,5,-0.0016083891640089774
