sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap,p_placebo_holm,prop_p_holm,passes_cell,n_windows,replicates,verdict
full,8,6,5,ok,0.9829725022706615,2021-07-01,quebra_livre,rotate,TRUE,51,97,1.269500662460797,0.8337442746703817,1.971730016088205,-0.7298449318513218,0.4111021255519741,13.779713489551902,3.2328307263356884,0.20679320679320679,51.61454758162903,1.295584802925252e-4,0.011976047904191617,0.11231903715339628,1,1,FALSE,NA,FALSE,fails
full,8,6,6,ok,0.9784795064156645,NA,calendario,permute,TRUE,98,49,0.8324751529266174,0.6630549170513311,1.692160812821283,-0.6186002328732427,0.2883899003240685,1.309831917941264,2.8654741504513206,0.2047952047952048,33.14220490530735,0.03254783726941673,0.21357285429141717,0.06390786640308681,1,1,FALSE,NA,FALSE,fails
full,8,6,6,ok,0.9784795064156645,NA,episodio_s2,rotate,TRUE,69,78,1.0730893074676346,0.8031899873063564,2.5459463399226148,-0.6145579178478087,0.3598929017760374,1.276713814404985,3.1536416393062994,0.028971028971028972,40.557192314634285,0.004244440841110902,0.06387225548902195,0.10244745019576862,1,1,FALSE,NA,FALSE,fails
full,8,6,6,ok,0.9784795064156645,NA,intensidade_z,permute,FALSE,49,98,1.1152493231122635,0.8466509005843341,2.1235796396246216,-0.8882604881358631,0.3295040994080264,1.52295998258667,2.75721461915461,0.23476523476523475,39.887304028074226,0.005161844581419176,0.06786427145708583,0.2200497579041828,1,1,FALSE,NA,FALSE,fails
full,8,6,6,ok,0.9784795064156645,NA,volatilidade_juros,permute,TRUE,37,110,1.728798361808271,0.7375644793798257,4.839445698779487,-0.6288719166604697,0.3914614362238268,2.320038135254419,4.0013686158564425,0.04695304695304695,42.7919961603686,0.002177696450900554,0.1377245508982036,0.1208417583085677,1,1,FALSE,NA,FALSE,fails
full,8,6,6,ok,0.9784795064156645,2021-07-01,quebra_livre,rotate,TRUE,51,96,1.3924157952217926,0.9480936535940564,2.1263521958687113,-0.772704234740518,0.4301910024386549,10.471405857489819,3.646014804624372,9.99000999000999e-4,57.08937238902197,1.9895089958931497e-5,0.003992015968063872,0.0357316690174526,0.28771228771228774,1,FALSE,NA,FALSE,fails
full,8,6,7,ok,0.981987036110389,NA,calendario,permute,TRUE,97,49,0.7867602782631749,0.6117264785470657,1.750286084575414,-0.5653294336281819,0.34736310401768283,1.3602385003161896,2.663876165118637,0.3126873126873127,24.38590991206834,0.22594115502389928,0.5109780439121756,0.08660657782638875,1,1,FALSE,NA,FALSE,fails
full,8,6,7,ok,0.981987036110389,NA,episodio_s2,rotate,TRUE,69,77,1.0692755027675196,0.764239237864865,2.5402959175205613,-0.817903792687565,0.33952433831113343,1.4751012514189683,3.184656381866474,0.006993006993006993,47.13534039350629,5.617460459770356e-4,0.031936127744510975,0.1746113591333025,1,1,FALSE,NA,FALSE,fails
full,8,6,7,ok,0.981987036110389,NA,intensidade_z,permute,FALSE,49,97,0.995490304021159,0.7140428658402604,2.156487032419437,-0.8233002281780996,0.3142537574680855,1.6034616162866824,2.4762866707349414,0.36663336663336665,32.751311862331455,0.035921726435471375,0.18762475049900199,0.19635244028778073,1,1,FALSE,NA,FALSE,fails
full,8,6,7,ok,0.981987036110389,NA,volatilidade_juros,permute,TRUE,37,109,1.685471516087954,0.8946575416082785,4.472730012052395,-0.6224173994502467,0.368979300029498,2.04547604185096,3.8909140009894796,0.05094905094905095,41.28980426381833,0.0034186874954241493,0.10179640718562874,0.06084949078150772,1,1,FALSE,NA,FALSE,fails
full,8,6,7,ok,0.981987036110389,2021-08-01,quebra_livre,rotate,TRUE,50,96,1.1500861952733668,0.7858914813520579,1.8161209895375456,-0.8347374318807977,0.35417102605436956,3.0265533072933697,2.8685664788682264,0.061938061938061936,47.247558248473624,5.419172350136532e-4,0.023952095808383235,0.268203401150902,1,1,FALSE,NA,FALSE,fails
full,8,6,8,ok,0.9916477473007124,NA,calendario,permute,TRUE,96,49,0.7928322949736497,0.6066061516686614,2.0341671504585284,-0.43006827031020245,0.3632013419241424,1.6645988257494917,2.667910658746981,0.4085914085914086,19.395945221828086,0.49623915420475223,0.810379241516966,0.15770152102156426,1,1,FALSE,NA,FALSE,fails
full,8,6,8,ok,0.9916477473007124,NA,episodio_s2,rotate,TRUE,69,76,1.1297640967200693,0.6752127361402639,2.6221207929851262,-0.8961828976373918,0.3450480188643624,1.922457567232421,3.4521760946398086,0.003996003996003996,52.722599439360415,8.926616801461408e-5,0.02594810379241517,0.24320390687008459,1,1,FALSE,NA,FALSE,fails
full,8,6,8,ok,0.9916477473007124,NA,intensidade_z,permute,FALSE,48,97,1.0893778718509837,0.6042194002478087,2.894484065269066,-0.8656532874996813,0.3370104961305217,2.516756167214729,2.685987971032439,0.3356643356643357,39.179460989612956,0.006332973742893246,0.12574850299401197,0.018920466144604776,1,1,FALSE,NA,FALSE,fails
full,8,6,8,ok,0.9916477473007124,NA,volatilidade_juros,permute,TRUE,36,109,1.9925927154581866,0.8994289866894909,5.092617791229829,-0.6259176822220996,0.46856900668120155,2.1866925610922587,4.845798353381677,0.011988011988011988,45.10048953671573,0.001069364753519118,0.06786427145708583,0.047057273858703376,1,1,FALSE,NA,FALSE,fails
full,8,6,8,ok,0.9916477473007124,2020-03-01,quebra_livre,rotate,TRUE,67,78,1.165443040685373,0.6702586827961611,2.842216218233652,-0.9640127676137327,0.3523735702899876,2.163837702436499,3.5183333977588562,0.006993006993006993,56.015570419793875,2.8912354730997953e-5,0.013972055888223553,0.23297326030605964,1,1,FALSE,NA,FALSE,fails
