sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap,p_placebo_holm,prop_p_holm,passes_cell,n_windows,replicates,verdict,eig_distinct
full,8,4,7,ok,0.9725699286828108,NA,calendario,permute,TRUE,97,49,0.7604655343465972,0.5342164899014762,1.5137918304708238,-0.6895530069054865,0.3617375798519631,1.2995086614147644,2.5224436074872947,0.15184815184815184,22.530891568739158,0.007340399595730439,0.03792415169660679,0.21965907599951642,1,1,FALSE,NA,FALSE,fails,TRUE
full,8,4,8,ok,0.968839888825709,NA,intensidade_z,permute,FALSE,48,97,0.8627810453547108,0.32121543404148967,1.726438914708445,-0.7461710697582894,0.4325279443652613,4.537375817342531,2.1962767046378557,0.2837162837162837,22.99780782520747,0.006201242573415124,0.04790419161676647,0.3211733346683197,1,1,FALSE,NA,FALSE,fails,TRUE
full,8,4,8,ok,0.968839888825709,2018-04-01,quebra_livre,rotate,TRUE,90,55,0.8866171254042322,0.5694455512962965,1.825100376044598,-0.6908972742867389,0.41086566964171983,1.9749688750199184,2.9483365433441056,9.99000999000999e-4,24.962036065617465,0.0030134640450157012,0.043912175648702596,0.29379559940769684,0.44955044955044954,1,FALSE,NA,FALSE,fails,TRUE
pre_covid,4,4,6,ok,0.9915477191031813,2018-05-01,quebra_livre,rotate,TRUE,20,58,8.269843840755387,1.4415531381299216,21.387565897928162,-2.9986224012957647,0.6111921695455574,4.217375318515105,2.6724565663200983,9.99000999000999e-4,26.00705108394308,0.0020375697003369906,0.041916167664670656,0.2940027335016498,0.44955044955044954,1,FALSE,NA,FALSE,fails,TRUE
pre_covid,7,4,7,ok,1.0313484643852213,NA,intensidade_z,permute,FALSE,26,51,1.488417326225607,0.907423546988988,2.4732772943493426,-0.5533746636358294,0.5093526795612772,2.8931140151633428,4.070921741888908,0.007992007992007992,23.88785961810738,0.004482167962568345,0.021956087824351298,0.2799711221692436,1,1,FALSE,NA,FALSE,fails,TRUE
pre_covid,7,4,7,ok,1.0313484643852213,2018-05-01,quebra_livre,rotate,TRUE,20,57,1.1142509406645653,0.257015459443415,2.467099051492635,-0.9700583174739228,0.40273125777462265,9.679495484799936,2.552933085445279,0.34865134865134867,22.041056850069964,0.008749763383485308,0.041916167664670656,0.5448851590217696,1,1,FALSE,NA,FALSE,fails,TRUE
pre_covid,7,4,8,ok,0.9968792414676831,2017-10-01,quebra_livre,rotate,TRUE,27,49,1.473212908602096,0.9286565814703044,2.4756328347883363,-0.6322322111719558,0.5141768695393082,2.573696645970454,3.9719387658441696,9.99000999000999e-4,21.492792650691968,0.010633231192664164,0.04790419161676647,0.4138467143655389,0.44955044955044954,1,FALSE,NA,FALSE,fails,TRUE
pre_covid,7,5,4,ok,0.9782031387696105,NA,intensidade_z,permute,FALSE,27,53,1.6052315108014512,0.8539637853955233,3.488187729060587,-0.9899695669415502,0.3468914823116679,1.4000950967350054,4.566638888137067,0.07892107892107893,38.93458990594175,3.7331476248587676e-4,0.031936127744510975,0.289072656319012,1,1,FALSE,NA,FALSE,fails,TRUE
pre_covid,7,5,7,ok,1.0313484643852213,NA,intensidade_z,permute,FALSE,26,51,1.492968213924481,0.9229091433375993,2.5051122057410566,-0.9289997520372854,0.4166038807933173,2.893133262741875,4.0714240823592505,0.052947052947052944,35.44635442621894,0.0012621137521214123,0.021956087824351298,0.32958114527177673,1,1,FALSE,NA,FALSE,fails,TRUE
pre_covid,7,5,7,ok,1.0313484643852213,2017-10-01,quebra_livre,rotate,TRUE,27,50,1.5662323084922622,0.9335833714887805,2.679466872526609,-0.7450482596875511,0.4647453648930635,3.1081288629085657,4.3315709117673915,0.022977022977022976,31.52987775271303,0.00466986548820719,0.03992015968063872,0.24370538270240982,1,1,FALSE,NA,FALSE,fails,TRUE
