r,q,p,variable,h,point,lo68,hi68,lo90,hi90,cell
5,5,2,yield_6m,15,-5.70355757721433e-4,-0.0014126968239571683,6.400823358776169e-4,-0.001981267713758418,0.002305347389674588,q=5
5,5,2,yield_6m,16,-8.630156255542007e-4,-0.00174351880602988,3.7275678877273557e-4,-0.002353782454947292,0.002041495965739838,q=5
5,5,2,yield_6m,17,-0.0011416617246247653,-0.0020655795915232138,1.2087555160613543e-4,-0.002725300721567504,0.0017894663611766374,q=5
5,5,2,yield_6m,18,-0.0014046982096956831,-0.0023763076145549705,-1.1468795933879456e-4,-0.0030926082520541234,0.0015502439441332603,q=5
5,5,2,yield_6m,19,-0.0016507033054121106,-0.0026734363679918227,-3.3307965328524834e-4,-0.0034528475229436586,0.0013249172128584812,q=5
5,5,2,yield_6m,20,-0.0018784040904186966,-0.0029549476455862436,-5.334638711938168e-4,-0.003803413986763,0.0011146531958147253,q=5
5,5,2,yield_6m,21,-0.002086698480941511,-0.003219065574174833,-7.150841751164043e-4,-0.004141923388646622,9.205776075946689e-4,q=5
5,5,2,yield_6m,22,-0.002274649663338925,-0.003464229010232583,-8.77280199635075e-4,-0.004466160866219297,7.43733560038966e-4,q=5
5,5,2,yield_6m,23,-0.002441492226599565,-0.0036890787264017805,-0.0010195184200230533,-0.00477405438807966,5.850200943739306e-4,q=5
5,5,2,yield_6m,24,-0.002586630291463025,-0.003892442714362305,-0.001141405899545145,-0.005063652698630613,4.451627577040997e-4,q=5
5,5,2,yield_6m,25,-0.0027096379311738307,-0.004073327149590823,-0.0012427044224040638,-0.00533311532819415,3.2468583466976143e-4,q=5
5,5,2,yield_6m,26,-0.0028102567157104897,-0.004230909016579902,-0.001323336353382751,-0.005580709708696256,2.2390085915658306e-4,q=5
5,5,2,yield_6m,27,-0.002888393086408489,-0.004364531496274347,-0.0013833877493054428,-0.005804815473152513,1.4290124331621225e-4,q=5
5,5,2,yield_6m,28,-0.002944114227395792,-0.004473700874673322,-0.0014231066298769194,-0.006003933806139354,8.156620981020991e-5,q=5
5,5,2,yield_6m,29,-0.002977643180060813,-0.004558084765080944,-0.0014428984251687645,-0.006176700529579553,3.956995646846332e-5,q=5
5,5,2,yield_6m,30,-0.002989352895964259,-0.004617511052209368,-0.0014433183758965802,-0.006321901456682227,1.6396017017509625e-5,q=5
5,5,2,yield_6m,31,-0.002979759474517907,-0.004651967202506539,-0.0014250618044693128,-0.0064384887880840425,1.1354821889258979e-5,q=5
5,5,2,yield_6m,32,-0.0029495145597101084,-0.0046615995891928766,-0.0013889524833975383,-0.00652559754948233,2.3603802278400768e-5,q=5
5,5,2,yield_6m,33,-0.0028993970174287127,-0.004646712574525014,-0.0013359296067987664,-0.006582561276609308,5.216897968332814e-5,q=5
5,5,2,yield_6m,34,-0.002830303945766939,-0.004607767156896642,-0.0012670336295144782,-0.0066089263936095705,9.596751213356189e-5,q=5
5,5,2,yield_6m,35,-0.0027432411109915757,-0.004545379055873483,-0.001183391277081766,-0.006604464913101146,1.5383067591396866e-4,q=5
5,5,2,yield_6m,36,-0.0026393128848574868,-0.004460316169703639,-0.0010861999258327975,-0.006569185266290445,2.2452700964022926e-4,q=5
5,5,2,yield_6m,37,-0.0025197117701739303,-0.004353495391427503,-9.767115316968405e-4,-0.006503341206917993,3.0678542691155885e-4,q=5
5,5,2,yield_6m,38,-0.002385707597248509,-0.004225978817386608,-8.562162296116417e-4,-0.006407438852410054,3.993182336490319e-4,q=5
5,5,2,yield_6m,39,-0.0022386364765001427,-0.004078969421143629,-7.260256957923406e-4,-0.00628224201721932,5.008440556997286e-4,q=5
5,5,2,yield_6m,40,-0.0020798895906926087,-0.003913806299744505,-5.87456329258349e-4,-0.006128776069972097,6.101107556338788e-4,q=5
5,5,2,yield_6m,41,-0.0019109019098008128,-0.003731959625081099,-4.4181228530022087e-4,-0.005948330604490878,7.259184651032531e-4,q=5
5,5,2,yield_6m,42,-0.0017331409094999439,-0.003535025449941537,-2.9036837494923756e-4,-0.0057424612571669,8.471428966112016e-4,q=5
5,5,2,yield_6m,43,-0.0015480953722349275,-0.0033247205209880684,-1.3435284031884984e-4,-0.005512991022127747,9.72759111534572e-4,q=5
5,5,2,yield_6m,44,-0.0013572643470263184,-0.0031028772316494565,2.5069968419179873e-5,-0.00526201139871676,0.001101865900984511,q=5
5,5,2,yield_6m,45,-0.0011621463410377434,-0.002871438792840889,1.86816937622813e-4,-0.004991883627469772,0.001233710855164703,q=5
5,5,2,yield_6m,46,-9.642288122982755e-4,-0.002632454587078892,3.499033724005393e-4,-0.004705240088977514,0.0013677160142012733,q=5
5,5,2,yield_6m,47,-7.649780289849129e-4,-0.0023880754701393362,5.134596371575438e-4,-0.004404985588173406,0.0015035036418539777,q=5
5,5,2,yield_6m,48,-5.658293563109133e-4,-0.002140548451459923,6.767465491659295e-4,-0.004094297628386232,0.0016409210470094224,q=5
5,5,2,yield_2y,0,0.0068530989586741906,0.0060020435760284405,0.007642100673805076,0.005090326505587398,0.008368937427484095,q=5
5,5,2,yield_2y,1,0.007657409174828945,0.0060209350824392315,0.009281992100789522,0.004381051842870663,0.010886447255216099,q=5
5,5,2,yield_2y,2,0.0067454225856923965,0.004645605516233914,0.00892393176010833,0.002632569938907341,0.011171419576502273,q=5
5,5,2,yield_2y,3,0.0060882620252781195,0.003872479530822365,0.008418761088755902,0.0017776745381720834,0.010855348226894398,q=5
5,5,2,yield_2y,4,0.005200816970382296,0.003127790738202533,0.007462093666478954,0.0012401369700555192,0.009910613645977827,q=5
5,5,2,yield_2y,5,0.004439675318320065,0.002529423251691726,0.006598521362204147,8.532073607191259e-4,0.00901538861353605,q=5
5,5,2,yield_2y,6,0.0037639375537881705,0.0020399760010966716,0.005794419716169381,5.920700902140058e-4,0.008155561374156628,q=5
5,5,2,yield_2y,7,0.0031667444063676804,0.001599681029737687,0.005091428705009033,3.4156474590703675e-4,0.007415027046388384,q=5
5,5,2,yield_2y,8,0.0025960482913559143,0.0011588033568350636,0.004436998421606316,5.6512534483007824e-5,0.0067420730189394155,q=5
5,5,2,yield_2y,9,0.002048175705512611,7.039730587722778e-4,0.0038347110880717844,-2.8589161697943096e-4,0.006142444950085582,q=5
5,5,2,yield_2y,10,0.0015111742467240634,2.2580463302504094e-4,0.0032698584343828986,-6.90719820113099e-4,0.005596558173950373,q=5
5,5,2,yield_2y,11,9.861114530030073e-4,-2.7198271483440617e-4,0.0027403330228451812,-0.0011503396430561064,0.005096832902327249,q=5
5,5,2,yield_2y,12,4.720180573700745e-4,-7.848325531638141e-4,0.0022398366801153415,-0.001653815116287154,0.004631177739297981,q=5
5,5,2,yield_2y,13,-2.8704576088931667e-5,-0.0013052148105261079,0.0017658304768728647,-0.002188305078816498,0.0041923040192698435,q=5
5,5,2,yield_2y,14,-5.141662119295383e-4,-0.0018265656082732747,0.0013158364207345068,-0.0027428025940964855,0.003774200634815669,q=5
5,5,2,yield_2y,15,-9.816488817237985e-4,-0.0023424386266490795,8.891774434094711e-4,-0.0033075728253168543,0.003373895065353173,q=5
5,5,2,yield_2y,16,-0.0014287178981701898,-0.0028474692460824375,4.857522252147992e-4,-0.003874800544029711,0.002990009028206903,q=5
5,5,2,yield_2y,17,-0.0018529014555406778,-0.00333694015856776,1.0622633692575605e-4,-0.004437955467941775,0.002622703856082628,q=5
5,5,2,yield_2y,18,-0.0022519844223378056,-0.0038069025442859406,-2.484423782514315e-4,-0.004991699608610574,0.0022729675915402953,q=5
5,5,2,yield_2y,19,-0.002623923268162772,-0.004253956520237905,-5.770598076595783e-4,-0.005531514761023798,0.001942386367496896,q=5
5,5,2,yield_2y,20,-0.002966924364426217,-0.004675212385428128,-8.783976442125881e-4,-0.006053541347321644,0.0016327999130559922,q=5
5,5,2,yield_2y,21,-0.00327942427059059,-0.005068185423574013,-0.0011512619840346977,-0.006554385162182906,0.0013461364733160246,q=5
5,5,2,yield_2y,22,-0.0035601126016247616,-0.005430751949695038,-0.001394587620490303,-0.007031008098279604,0.0010842394721309147,q=5
5,5,2,yield_2y,23,-0.003807928093676759,-0.005761099237903466,-0.0016074836057375075,-0.007480634417964972,8.487682897610898e-4,q=5
5,5,2,yield_2y,24,-0.0040220645406750756,-0.006057697996450547,-0.0017892771033081727,-0.00790069511353036,6.411130241651672e-4,q=5
5,5,2,yield_2y,25,-0.004201968382268851,-0.006319278996780206,-0.0019395360155683144,-0.008288790851871933,4.6234602146900293e-4,q=5
5,5,2,yield_2y,26,-0.004347337572804342,-0.006544819266574431,-0.0020580850664726727,-0.008642675458023481,3.131895638112292e-4,q=5
5,5,2,yield_2y,27,-0.004458116980675749,-0.0067335324053513276,-0.0021450107088751354,-0.008960253157567962,1.9400470753415527e-4,q=5
5,5,2,yield_2y,28,-0.004534492896528087,-0.006884863315093732,-0.0022006599642735813,-0.009239587405802668,1.0479297405877852e-4,q=5
5,5,2,yield_2y,29,-0.004576885476532888,-0.006998485325477504,-0.00222563263139439,-0.009478917677982984,4.521055631566902e-5,q=5
5,5,2,yield_2y,30,-0.004585939881381298,-0.007074299104352324,-0.0022207690313293216,-0.009676681671668448,1.4590822926125082e-5,q=5
5,5,2,yield_2y,31,-0.004562515893708153,-0.007112432370308424,-0.002187133725995249,-0.009831540484648498,1.1973563168706554e-5,q=5
