painel,escolhido,r,standardize_resid,q_hat,q,aw_ic2
completa_0.80,FALSE,5,FALSE,2,4,-0.36300740119744473
completa_0.80,FALSE,5,FALSE,2,5,-0.34475249427468674
completa_0.80,FALSE,5,TRUE,2,1,-0.06890723955103932
completa_0.80,TRUE,5,TRUE,2,2,-0.10629642211280518
completa_0.80,FALSE,5,TRUE,2,3,-0.09208616855577587
completa_0.80,FALSE,5,TRUE,2,4,-0.07230541296624704
completa_0.80,FALSE,5,TRUE,2,5,-0.052519544340952906
completa_0.80,FALSE,6,FALSE,2,1,-0.414742534237587
completa_0.80,TRUE,6,FALSE,2,2,-0.4453547485810715
completa_0.80,FALSE,6,FALSE,2,3,-0.43129738707165655
completa_0.80,FALSE,6,FALSE,2,4,-0.4153700604293094
completa_0.80,FALSE,6,FALSE,2,5,-0.3995059873100924
completa_0.80,FALSE,6,FALSE,2,6,-0.3776899545802684
completa_0.80,FALSE,6,TRUE,2,1,-0.06071344033650168
completa_0.80,TRUE,6,TRUE,2,2,-0.0954622384420501
completa_0.80,FALSE,6,TRUE,2,3,-0.08183897648505697
completa_0.80,FALSE,6,TRUE,2,4,-0.0639021098027201
completa_0.80,FALSE,6,TRUE,2,5,-0.046081084296190455
completa_0.80,FALSE,6,TRUE,2,6,-0.020614189225869106
completa_0.80,FALSE,7,FALSE,2,1,-0.4543247512973898
completa_0.80,TRUE,7,FALSE,2,2,-0.4860925739787749
completa_0.80,FALSE,7,FALSE,2,3,-0.4736791148732703
completa_0.80,FALSE,7,FALSE,2,4,-0.45881295599505184
completa_0.80,FALSE,7,FALSE,2,5,-0.4383258697966574
completa_0.80,FALSE,7,FALSE,2,6,-0.4147402892291407
completa_0.80,FALSE,7,FALSE,2,7,-0.38998808395399154
completa_0.80,FALSE,7,TRUE,2,1,-0.06114547645421835
completa_0.80,TRUE,7,TRUE,2,2,-0.09699498784777441
completa_0.80,FALSE,7,TRUE,2,3,-0.08465580619962429
completa_0.80,FALSE,7,TRUE,2,4,-0.06730964603328549
completa_0.80,FALSE,7,TRUE,2,5,-0.04527557545887145
completa_0.80,FALSE,7,TRUE,2,6,-0.020275131255443668
completa_0.80,FALSE,7,TRUE,2,7,0.006332914197237249
completa_0.80,FALSE,8,FALSE,2,1,-0.488500158598277
completa_0.80,TRUE,8,FALSE,2,2,-0.5208509989817008
completa_0.80,FALSE,8,FALSE,2,3,-0.509339134964261
completa_0.80,FALSE,8,FALSE,2,4,-0.4952121763856144
completa_0.80,FALSE,8,FALSE,2,5,-0.47597933005705245
completa_0.80,FALSE,8,FALSE,2,6,-0.45382794743897076
completa_0.80,FALSE,8,FALSE,2,7,-0.43034111136560005
completa_0.80,FALSE,8,FALSE,2,8,-0.406647325079203
completa_0.80,FALSE,8,TRUE,2,1,-0.061161921509059095
completa_0.80,TRUE,8,TRUE,2,2,-0.09722750804142014
completa_0.80,FALSE,8,TRUE,2,3,-0.08513814795658695
completa_0.80,FALSE,8,TRUE,2,4,-0.06812925098683648
completa_0.80,FALSE,8,TRUE,2,5,-0.04769753982323088
completa_0.80,FALSE,8,TRUE,2,6,-0.02432979683507419
completa_0.80,FALSE,8,TRUE,2,7,0.002236304495966568
completa_0.80,FALSE,8,TRUE,2,8,0.026734116786546136
completa_0.85,FALSE,3,FALSE,2,1,-0.2813637291675154
completa_0.85,TRUE,3,FALSE,2,2,-0.31032220629468577
completa_0.85,FALSE,3,FALSE,2,3,-0.3010470254074898
completa_0.85,FALSE,3,TRUE,2,1,-0.08592930814144166
completa_0.85,TRUE,3,TRUE,2,2,-0.11808087407853848
completa_0.85,FALSE,3,TRUE,2,3,-0.10482346973218887
completa_0.85,FALSE,4,FALSE,2,1,-0.3211737579566109
completa_0.85,TRUE,4,FALSE,2,2,-0.3516918528496956
completa_0.85,FALSE,4,FALSE,2,3,-0.3401945286480779
completa_0.85,FALSE,4,FALSE,2,4,-0.3240203205937994
completa_0.85,FALSE,4,TRUE,2,1,-0.08566337009392645
completa_0.85,TRUE,4,TRUE,2,2,-0.11918998664882888
completa_0.85,FALSE,4,TRUE,2,3,-0.10564690171086655
completa_0.85,FALSE,4,TRUE,2,4,-0.09218694728230553
completa_0.85,FALSE,5,FALSE,2,1,-0.36657495433638554
completa_0.85,TRUE,5,FALSE,2,2,-0.3996019960348751
