window_cell,q,variable,h,point,lo68,hi68,lo90,hi90,set_type68,set_type90
cheia_p4,5,cds_5y,19,-11.92060362959578,-23.96201333799414,-1.8973469986681817,-38.82715307987442,6.636785477866716,interval,interval
cheia_p4,5,price_ipca,19,-0.229182947263723,-0.42161204318666606,-0.08863572573071715,-0.687791556734198,0.014788778115531856,interval,interval
cheia_p4,5,cambio_usd,20,-0.09017569108026827,-0.16270724706724618,-0.02965234931888176,-0.25204747193811383,0.02201774420529973,interval,interval
cheia_p4,5,yield_6m,20,-0.0024655278498886776,-0.00784304240756324,0.0020267592588516445,-0.014459930645053255,0.005866662205558131,interval,interval
cheia_p4,5,yield_2y,20,-0.004679272946315246,-0.011003652228004299,4.431182647934145e-4,-0.019006416069859783,0.0046752091618394356,interval,interval
cheia_p4,5,ibc_br,20,-0.40826899022837126,-0.8203276960626599,-0.07239194412211727,-1.338769593492555,0.20706578178561427,interval,interval
cheia_p4,5,asset_ibov,20,0.3719197088029038,-1.0134498478185456,1.4465527232767925,-2.834474884573226,2.2927878256574257,interval,interval
cheia_p4,5,cds_5y,20,-13.251903131286277,-25.510513765403807,-3.1283593511247174,-40.75322123773462,5.416578801678744,interval,interval
cheia_p4,5,price_ipca,20,-0.23938097591800073,-0.4344335871882403,-0.096539133025158555,-0.7036497547197469,0.008890274415373075,interval,interval
cheia_p4,5,cambio_usd,21,-0.09233548635608442,-0.165056970850964,-0.03257201570308299,-0.25588122613643133,0.017602558102231415,interval,interval
cheia_p4,5,yield_6m,21,-0.0032014299166094194,-0.00866589947530093,0.001362480575283016,-0.015391153855762998,0.005262653915845511,interval,interval
cheia_p4,5,yield_2y,21,-0.005451906618544963,-0.011908105073097457,-2.2827413037739545e-4,-0.020085399423789473,0.004082423491200327,interval,interval
cheia_p4,5,ibc_br,21,-0.41524949817304824,-0.8272307905024391,-0.07943366025748669,-1.3455726616422574,0.19997487592113863,interval,interval
cheia_p4,5,asset_ibov,21,0.14925903875695892,-1.2713437071197333,1.2563559829279007,-3.131158498010769,2.1326935884240203,interval,interval
cheia_p4,5,cds_5y,21,-14.446378419183961,-26.922305663724277,-4.232877724095994,-42.558132210485866,4.305648284966155,interval,interval
cheia_p4,5,price_ipca,21,-0.2480434294222504,-0.4454514405034488,-0.1031512439058661,-0.7174105115416306,0.004064093414592644,interval,interval
cheia_p4,5,cambio_usd,22,-0.09361228538929758,-0.1662991697192648,-0.03476679525598231,-0.25831340804703573,0.013826570691119809,interval,interval
cheia_p4,5,yield_6m,22,-0.003901171919601174,-0.009462156269237328,7.342003768018131e-4,-0.016318530675734525,0.0046869017669515555,interval,interval
cheia_p4,5,yield_2y,22,-0.006169357547958505,-0.012763175384382278,-8.475442118777869e-4,-0.021133231290009137,0.003532195090354297,interval,interval
cheia_p4,5,ibc_br,22,-0.4214035145459635,-0.8340442091781822,-0.08503823255826289,-1.353199140414868,0.19483842142065774,interval,interval
cheia_p4,5,asset_ibov,22,-0.07748691108480517,-1.5333467201923054,1.0626400755929097,-3.4312236804101426,1.9700536190237052,interval,interval
cheia_p4,5,cds_5y,22,-15.46906669005648,-28.15204356192974,-5.186320196390183,-44.186550321413264,3.31859124519256,interval,interval
cheia_p4,5,price_ipca,22,-0.25518020761999977,-0.45469217731573514,-0.10849405516270222,-0.7291606876665188,2.5826821107970653e-4,interval,interval
cheia_p4,5,cambio_usd,23,-0.09413773283800302,-0.16653034454019686,-0.03636367309901228,-0.25934737533725477,0.010594517889989224,interval,interval
cheia_p4,5,yield_6m,23,-0.004562086522113097,-0.010229113987933578,1.4576329407023234e-4,-0.017237769097971974,0.004145449096279836,interval,interval
cheia_p4,5,yield_2y,23,-0.006831238171310948,-0.013566433979755934,-0.0014142476352403649,-0.02214257895129476,0.0030266475131889748,interval,interval
cheia_p4,5,ibc_br,23,-0.42616846109087775,-0.8402887240362681,-0.08873800731798596,-1.361500680308372,0.19189569725008135,interval,interval
cheia_p4,5,asset_ibov,23,-0.30354221753149335,-1.7947852717596757,0.8684035974730899,-3.7328268784079945,1.8048001040070383,interval,interval
cheia_p4,5,cds_5y,23,-16.341241146255758,-29.208022442786117,-6.011726194512216,-45.618519031345755,2.4392891028199823,interval,interval
cheia_p4,5,price_ipca,23,-0.260701031620586,-0.4620144924844976,-0.11251200192265298,-0.7386838091031102,-0.002495633206612947,interval,interval
cheia_p4,5,cambio_usd,24,-0.09398844417294892,-0.16587938844096003,-0.0373908900180576,-0.2591659700460649,0.007919864084772662,interval,interval
cheia_p4,5,yield_6m,24,-0.005181412988049592,-0.01096335058633653,-3.999829680479107e-4,-0.0181438724506177,0.0036419163517554354,interval,interval
cheia_p4,5,yield_2y,24,-0.007437034601380531,-0.014316030219480419,-0.0019283785447197332,-0.023109183767017746,0.0025659783375350216,interval,interval
cheia_p4,5,ibc_br,24,-0.42944838165020977,-0.8454874343444084,-0.09064850711468359,-1.369383810295078,0.1909462300005913,interval,interval
cheia_p4,5,asset_ibov,24,-0.5234692191983626,-2.05014077231257,0.6789264689394083,-4.030455659197129,1.6419781560894515,interval,interval
cheia_p4,5,cds_5y,24,-17.07712402265757,-30.108954195530274,-6.718856558599557,-46.87737599513884,1.6625181320379274,interval,interval
cheia_p4,5,price_ipca,24,-0.2647402880770617,-0.4675118123284159,-0.11534432016541965,-0.745977292901323,-0.004319574763139971,interval,interval
cheia_p4,5,cambio_usd,25,-0.0931692884676505,-0.16439034204202133,-0.03781723290344937,-0.25785292090415085,0.005863819067744595,interval,interval
cheia_p4,5,yield_6m,25,-0.005756675582036343,-0.011660960556871738,-9.010913049287139e-4,-0.019030394584370332,0.0031785369042679704,interval,interval
cheia_p4,5,yield_2y,25,-0.007984524538886097,-0.01500763426181689,-0.0023890255580716535,-0.024025592173390353,0.002150474261635566,interval,interval
cheia_p4,5,ibc_br,25,-0.4316420036596565,-0.8497957484856057,-0.0913115018637918,-1.3766210892918895,0.19137997093398826,interval,interval
cheia_p4,5,asset_ibov,25,-0.7381907326641993,-2.3011712597179304,0.4947430519338917,-4.325782738247215,1.4839879134724996,interval,interval
cheia_p4,5,cds_5y,25,-17.668635941504842,-30.845860167053488,-7.301076874893408,-47.95414043942515,0.9931987845516759,interval,interval
cheia_p4,5,price_ipca,25,-0.26738809284689746,-0.47128236630342,-0.11707086485691674,-0.7511436706658378,-0.005282373152253624,interval,interval
cheia_p4,5,cambio_usd,26,-0.09174909368943066,-0.1621452524330203,-0.037681827440697764,-0.2554753458298224,0.004424036152119422,interval,interval
cheia_p4,5,yield_6m,26,-0.006286455816639872,-0.012318532172965626,-0.0013569239690124205,-0.019890387481147433,0.0027562158567524236,interval,interval
cheia_p4,5,yield_2y,26,-0.00847356172376193,-0.015638431756886423,-0.0027971347706751914,-0.024884195559544808,0.001779338055511868,interval,interval
cheia_p4,5,ibc_br,26,-0.4326643826317001,-0.8530810301031547,-0.09074521502559305,-1.3831093043809068,0.19303408989169824,interval,interval
cheia_p4,5,asset_ibov,26,-0.9462375155197498,-2.5466967656818085,0.3170268900874273,-4.61875233782982,1.3312920326861795,interval,interval
cheia_p4,5,cds_5y,26,-18.123886164900824,-31.42023516100252,-7.767622237104731,-48.835907041040016,0.42491382832756464,interval,interval
cheia_p4,5,price_ipca,26,-0.2686599857462099,-0.47333014002544027,-0.1177077024478757,-0.7541585498747656,-0.005393879155656863,interval,interval
cheia_p4,5,cambio_usd,27,-0.08979862625390789,-0.15926330370052932,-0.03700473041893636,-0.25219214869951284,0.0036273682724715676,interval,interval
cheia_p4,5,yield_6m,27,-0.006769699239039311,-0.012932847365045673,-0.0017675294063449476,-0.020717116723059124,0.002374715918943457,interval,interval
cheia_p4,5,yield_2y,27,-0.008904794649064409,-0.016207023290165667,-0.003154193611259625,-0.0256799164023659,0.0014511967632932518,interval,interval
cheia_p4,5,ibc_br,27,-0.43244047640810096,-0.8550667387047973,-0.08902151947004326,-1.388294485944928,0.19573051436066452,interval,interval
