var,grupo,tcode,adf_rejeita_RU_5pct,kpss_p,kpss_rejeita_estac_5pct,veredito_adf_kpss,pp_stat,pp_cv5,pp_rejeita_RU_5pct,tres_concordam
embi_perc,risco_ext,1,FALSE,0.06272600981336285,FALSE,ambiguo,-2.9424938480394407,-2.8804749999999997,TRUE,FALSE
cds_5y,risco_ext,1,FALSE,0.09942274001584976,FALSE,ambiguo,-2.861978686559226,-2.8804749999999997,FALSE,FALSE
msci,risco_ext,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-0.4956433933290888,-2.8804749999999997,FALSE,TRUE
sp500_vix,risco_ext,1,TRUE,0.02048534435128691,TRUE,ambiguo,-5.337698524969784,-2.8804749999999997,TRUE,FALSE
epu_brazil,incerteza,1,TRUE,0.1,FALSE,I(0) — os dois concordam,-5.190408988010091,-2.8804749999999997,TRUE,FALSE
epu_canada,incerteza,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-2.791633210907554,-2.8804749999999997,FALSE,TRUE
epu_chile,incerteza,1,TRUE,0.01,TRUE,ambiguo,-2.709339802978413,-2.8804749999999997,FALSE,FALSE
epu_china,incerteza,1,TRUE,0.01,TRUE,ambiguo,-3.539193717020497,-2.8804749999999997,TRUE,FALSE
epu_germany,incerteza,1,FALSE,0.01,TRUE,I(1) — os dois concordam,-1.3388584919148685,-2.8804749999999997,FALSE,TRUE
epu_india,incerteza,1,TRUE,0.04827911511484632,TRUE,ambiguo,-5.870004945778268,-2.8804749999999997,TRUE,FALSE
epu_russia,incerteza,1,TRUE,0.01,TRUE,ambiguo,-6.431279573603183,-2.8804749999999997,TRUE,FALSE
epu_us,incerteza,1,TRUE,0.01,TRUE,ambiguo,-3.8384283847824157,-2.8804749999999997,TRUE,FALSE
