fator,transf,teste,spec,stat,cv5,h0,rejeita_h0_5pct,veredito
F7,nivel,PP,drift,-4.350058426481237,-2.8804749999999997,raiz unitaria,TRUE,I(0) - ADF e KPSS concordam
F7,nivel,PP,trend,-4.313184517011592,-3.4399440962603878,raiz unitaria,TRUE,I(0) - ADF e KPSS concordam
F7,nivel,KPSS,drift,0.08451296927984055,0.463,estacionaria,FALSE,I(0) - ADF e KPSS concordam
F7,nivel,KPSS,trend,0.08451296927982782,0.146,estacionaria,FALSE,I(0) - ADF e KPSS concordam
F7,diferenca,ADF,drift,-10.4629355078817,-2.88,raiz unitaria,TRUE,I(0) - ADF e KPSS concordam
F7,diferenca,ADF,trend,-10.491219551911978,-3.43,raiz unitaria,TRUE,I(0) - ADF e KPSS concordam
F7,diferenca,PP,drift,-16.65090822347343,-2.8805991009166263,raiz unitaria,TRUE,I(0) - ADF e KPSS concordam
F7,diferenca,PP,trend,-16.703404394768203,-3.4401303276172093,raiz unitaria,TRUE,I(0) - ADF e KPSS concordam
F7,diferenca,KPSS,drift,0.10989694847692526,0.463,estacionaria,FALSE,I(0) - ADF e KPSS concordam
F7,diferenca,KPSS,trend,0.051283478458811114,0.146,estacionaria,FALSE,I(0) - ADF e KPSS concordam
