p,variable,h,point,lo68,hi68,lo90,hi90
4,yield_2y,12,0.0049354727309732695,0.0027729814004795635,0.009905237587366923,0.0011356445940879192,0.01315391888348077
4,yield_2y,13,0.004316449272232722,0.002283966795533801,0.009399769448217098,5.915515192956553e-4,0.012721492339071739
4,yield_2y,14,0.0036729072052241562,0.0017347087319296694,0.00880931961427076,2.5953525276015647e-5,0.012241556477934117
4,yield_2y,15,0.0030368177104721345,0.0012045453569860221,0.008180368033797653,-5.8734840839905e-4,0.01157263995123753
4,yield_2y,16,0.0024228825531839946,5.91576545923078e-4,0.007687748553717429,-0.0012916408366705496,0.01103622235032549
4,yield_2y,17,0.0018185693925382362,5.54189050685637e-6,0.007208859515463509,-0.0019126427735109762,0.01073967432223228
4,yield_2y,18,0.0012302944626168698,-5.692791309638978e-4,0.0066837576539690805,-0.0026353373170261035,0.010390134125488752
4,yield_2y,19,6.671921843677133e-4,-0.001150841022599992,0.006146848137245108,-0.0032030291872954496,0.00985448422320969
4,yield_2y,20,1.2798563183779828e-4,-0.0015833193437375954,0.005581445850506379,-0.0038608178758508136,0.009185622229377422
4,yield_2y,21,-3.856868722967057e-4,-0.002082143021214849,0.0050826059120903065,-0.004319787835033724,0.008545725641357983
4,yield_2y,22,-8.696610849049205e-4,-0.002548792823555288,0.004511477424517201,-0.004928254577064502,0.008001693025068517
4,yield_2y,23,-0.0013228828777299196,-0.0030175700150416253,0.004130457246847078,-0.005329368384523688,0.007467018775572279
4,yield_2y,24,-0.0017445401751588145,-0.00350087138967968,0.0036102636019783073,-0.0057512643575899,0.006983355196872816
4,yield_2y,25,-0.002132947801561562,-0.003795241933259776,0.003268233458287672,-0.006124715419702529,0.006304745664852248
4,yield_2y,26,-0.0024873354386376625,-0.0040045348721812505,0.0029090139804644525,-0.006490758212089725,0.005861317767469685
4,yield_2y,27,-0.002807453269045393,-0.004427969937903616,0.0024880314312025827,-0.006847617471158304,0.005512331520858919
