matriz,p,ordem,re,im,modulo,arg,complexo,periodo_meses,quarto_ciclo,meia_volta_ciclo,meia_vida_meses
OLS,6,16,-0.34957228668892604,-0.6755163336074472,0.760607060571602,-2.048337062158677,TRUE,3.067456730269743,0.7668641825674357,1.5337283651348714,2.533077152016282
OLS,6,17,0.6933298122269524,0.26457037596030186,0.7420941398221903,0.36453899023965947,TRUE,17.23597605580907,4.308994013952267,8.617988027904534,2.3238202611724823
OLS,6,18,0.6933298122269524,-0.26457037596030186,0.7420941398221903,-0.36453899023965947,TRUE,17.23597605580907,4.308994013952267,8.617988027904534,2.3238202611724823
OLS,6,19,-0.7207941919942145,0,0.7207941919942145,3.141592653589793,FALSE,2,0.5,1,2.11711584827437
OLS,6,20,-0.6443033125470052,0.26521248571697575,0.6967527690215669,2.7511035624805826,TRUE,2.283878147253111,0.5709695368132778,1.1419390736265556,1.9183501672328538
OLS,6,21,-0.6443033125470052,-0.26521248571697575,0.6967527690215669,-2.7511035624805826,TRUE,2.283878147253111,0.5709695368132778,1.1419390736265556,1.9183501672328538
OLS,6,22,0.4104021697797529,0.5558404777519387,0.6909331209801949,0.9347960878658511,TRUE,6.7214501523259065,1.6803625380814766,3.3607250761629532,1.8748288392869008
OLS,6,23,0.4104021697797529,-0.5558404777519387,0.6909331209801949,-0.9347960878658511,TRUE,6.7214501523259065,1.6803625380814766,3.3607250761629532,1.8748288392869008
OLS,6,24,-0.33219835267883174,0.5882930413293616,0.6756067258391374,2.0848416061302326,TRUE,3.0137470821306596,0.7534367705326649,1.5068735410653298,1.7675826617863384
OLS,6,25,-0.33219835267883174,-0.5882930413293616,0.6756067258391374,-2.0848416061302326,TRUE,3.0137470821306596,0.7534367705326649,1.5068735410653298,1.7675826617863384
OLS,6,26,-0.4589716909166515,0.4238390884571264,0.6247356128531958,2.3959698008827606,TRUE,2.622397538092774,0.6555993845231936,1.311198769046387,1.4734434170211046
OLS,6,27,-0.4589716909166515,-0.4238390884571264,0.6247356128531958,-2.3959698008827606,TRUE,2.622397538092774,0.6555993845231936,1.311198769046387,1.4734434170211046
OLS,6,28,0.6101313758634722,0,0.6101313758634722,0,FALSE,NA,NA,NA,1.402901985713611
OLS,6,29,-0.012775592806752362,0.5459672842998485,0.546116737792677,1.5941919809922123,TRUE,3.941297774731612,0.985324443682903,1.970648887365806,1.1458445618156405
OLS,6,30,-0.012775592806752362,-0.5459672842998485,0.546116737792677,-1.5941919809922123,TRUE,3.941297774731612,0.985324443682903,1.970648887365806,1.1458445618156405
Kilian,6,1,0.9716380893473016,0.08506634057673648,0.9753547349398536,0.08732674642011677,TRUE,71.95029661304521,17.987574153261303,35.975148306522605,27.7769485345979
Kilian,6,2,0.9716380893473016,-0.08506634057673648,0.9753547349398536,-0.08732674642011677,TRUE,71.95029661304521,17.987574153261303,35.975148306522605,27.7769485345979
Kilian,6,3,0.9652308168784984,0.01763442232955245,0.9653918907380724,0.01826761061613595,TRUE,343.9522244704291,85.98805611760727,171.97611223521454,19.67985340037643
Kilian,6,4,0.9652308168784984,-0.01763442232955245,0.9653918907380724,-0.01826761061613595,TRUE,343.9522244704291,85.98805611760727,171.97611223521454,19.67985340037643
Kilian,6,5,0.8183684943676821,0.12290242780031735,0.8275457687239052,0.14906579962325986,TRUE,42.15041493796256,10.53760373449064,21.07520746898128,3.6618100170734182
Kilian,6,6,0.8183684943676821,-0.12290242780031735,0.8275457687239052,-0.14906579962325986,TRUE,42.15041493796256,10.53760373449064,21.07520746898128,3.6618100170734182
Kilian,6,7,0.3246418556149177,0.7158667706978791,0.7860391642955883,1.1450399289350035,TRUE,5.487306729140484,1.371826682285121,2.743653364570242,2.879132034526345
Kilian,6,8,0.3246418556149177,-0.7158667706978791,0.7860391642955883,-1.1450399289350035,TRUE,5.487306729140484,1.371826682285121,2.743653364570242,2.879132034526345
Kilian,6,9,-0.12074830240385709,0.7765541446938136,0.7858858009752776,1.725053482326501,TRUE,3.6423133378483667,0.9105783344620917,1.8211566689241834,2.876800372847823
Kilian,6,10,-0.12074830240385709,-0.7765541446938136,0.7858858009752776,-1.725053482326501,TRUE,3.6423133378483667,0.9105783344620917,1.8211566689241834,2.876800372847823
Kilian,6,11,-0.586691873024408,0.5009520599727484,0.7714663442197774,2.434862577875347,TRUE,2.580509209953965,0.6451273024884913,1.2902546049769825,2.67147621192729
Kilian,6,12,-0.586691873024408,-0.5009520599727484,0.7714663442197774,-2.434862577875347,TRUE,2.580509209953965,0.6451273024884913,1.2902546049769825,2.67147621192729
Kilian,6,13,-0.3458451506475508,0.6781792296431431,0.7612725765097507,2.0423811695325242,TRUE,3.0764018983869352,0.7691004745967338,1.5382009491934676,2.541199280553538
Kilian,6,14,-0.3458451506475508,-0.6781792296431431,0.7612725765097507,-2.0423811695325242,TRUE,3.0764018983869352,0.7691004745967338,1.5382009491934676,2.541199280553538
Kilian,6,15,0.5793947063818283,0.4801992805911512,0.752522142440702,0.6920537719292402,TRUE,9.079042065855566,2.2697605164638914,4.539521032927783,2.4378704920774594
Kilian,6,16,0.5793947063818283,-0.4801992805911512,0.752522142440702,-0.6920537719292402,TRUE,9.079042065855566,2.2697605164638914,4.539521032927783,2.4378704920774594
Kilian,6,17,0.6930097664004784,0.23312395065306524,0.73116982479759,0.3245021321750373,TRUE,19.362539361653315,4.840634840413329,9.681269680826658,2.2137530772118827
Kilian,6,18,0.6930097664004784,-0.23312395065306524,0.73116982479759,-0.3245021321750373,TRUE,19.362539361653315,4.840634840413329,9.681269680826658,2.2137530772118827
Kilian,6,19,-0.7304648083166789,0,0.7304648083166789,3.141592653589793,FALSE,2,0.5,1,2.2069534147191368
Kilian,6,20,0.41932878569781257,0.5679235327805628,0.7059559261035756,0.9347902193928421,TRUE,6.7214923485834,1.68037308714585,3.3607461742917,1.9906440596586603
Kilian,6,21,0.41932878569781257,-0.5679235327805628,0.7059559261035756,-0.9347902193928421,TRUE,6.7214923485834,1.68037308714585,3.3607461742917,1.9906440596586603
Kilian,6,22,-0.3419370204484934,0.6008474074672291,0.6913309865855022,2.0881787092426154,TRUE,3.0089308349755677,0.7522327087438919,1.5044654174877838,1.8777526545059153
Kilian,6,23,-0.3419370204484934,-0.6008474074672291,0.6913309865855022,-2.0881787092426154,TRUE,3.0089308349755677,0.7522327087438919,1.5044654174877838,1.8777526545059153
Kilian,6,24,0.6828360287443296,0,0.6828360287443296,0,FALSE,NA,NA,NA,1.8168970637381028
Kilian,6,25,-0.63036329706968,0.25955635143786066,0.6817091651608418,2.7509924003305755,TRUE,2.2839704342420437,0.5709926085605109,1.1419852171210219,1.809065065814823
Kilian,6,26,-0.63036329706968,-0.25955635143786066,0.6817091651608418,-2.7509924003305755,TRUE,2.2839704342420437,0.5709926085605109,1.1419852171210219,1.809065065814823
Kilian,6,27,-0.44887561863735737,0.43384821930049533,0.624270452926679,2.3732167424883475,TRUE,2.6475396008674656,0.6618849002168664,1.3237698004337328,1.4711141346946262
Kilian,6,28,-0.44887561863735737,-0.43384821930049533,0.624270452926679,-2.3732167424883475,TRUE,2.6475396008674656,0.6618849002168664,1.3237698004337328,1.4711141346946262
Kilian,6,29,-0.013937644270321046,0.5011502125762182,0.5013439871914239,1.598600470427101,TRUE,3.9304287865628464,0.9826071966407116,1.9652143932814232,1.0038877810542595
Kilian,6,30,-0.013937644270321046,-0.5011502125762182,0.5013439871914239,-1.598600470427101,TRUE,3.9304287865628464,0.9826071966407116,1.9652143932814232,1.0038877810542595
