penalty,c,r_full,S_c,r_min,r_max
IC2,0.02,20,0,20,20
IC2,0.03,20,0,20,20
IC2,0.04,20,0,20,20
IC2,0.05,20,0,20,20
IC2,0.060000000000000005,20,0,20,20
IC2,0.06999999999999999,20,0,20,20
IC2,0.08,20,0,20,20
IC2,0.09,20,0,20,20
IC2,0.09999999999999999,20,0,20,20
IC2,0.11,20,0,20,20
IC2,0.12,20,0,20,20
IC2,0.13,20,0,20,20
IC2,0.14,20,0,20,20
IC2,0.15000000000000002,20,0,20,20
IC2,0.16,20,0,20,20
IC2,0.17,20,0,20,20
IC2,0.18000000000000002,20,0,20,20
IC2,0.19,20,0,20,20
IC2,0.2,20,0,20,20
IC2,0.21000000000000002,20,0,20,20
IC2,0.22,20,0,20,20
IC2,0.23,20,0,20,20
IC2,0.24000000000000002,20,0,20,20
IC2,0.25,20,0,20,20
IC2,0.26,20,0,20,20
IC2,0.27,20,0,20,20
IC2,0.28,20,0,20,20
IC2,0.29000000000000004,20,0,20,20
IC2,0.3,20,0,20,20
IC2,0.31,20,0,20,20
IC2,0.32,20,0,20,20
IC2,0.33,20,0,20,20
IC2,0.34,20,0,20,20
IC2,0.35000000000000003,20,0,20,20
IC2,0.36000000000000004,20,0,20,20
IC2,0.37,20,0,20,20
IC2,0.38,20,0,20,20
IC2,0.39,20,0,20,20
IC2,0.4,20,0,20,20
IC2,0.41000000000000003,20,0,20,20
IC2,0.42000000000000004,20,0,20,20
IC2,0.43,20,0,20,20
IC2,0.44,20,0,20,20
IC2,0.45,20,0,20,20
IC2,0.46,20,0,20,20
IC2,0.47000000000000003,20,0,20,20
IC2,0.48000000000000004,20,0,20,20
IC2,0.49,20,0,20,20
IC2,0.5,20,0,20,20
IC2,0.51,20,0,20,20
IC2,0.52,20,0,20,20
IC2,0.53,20,0,20,20
IC2,0.54,20,0,20,20
IC2,0.55,20,0,20,20
IC2,0.56,20,0,20,20
IC2,0.5700000000000001,20,0,20,20
IC2,0.5800000000000001,20,0,20,20
IC2,0.59,20,0,20,20
