r,q,p,variable,point,lo68,hi68,lo90,hi90,n_obs_1st,xi_mp,f_robust_mp,ar_bounded,bands_valid,impacto_mp_pre,max_companion_root,dim_companion
4,4,6,yield_2y,0.007018788343328002,0.006167460771440673,0.007698331936746265,0.005696384637647827,0.008362650099716165,147,6.963790354061728,13.948418079844716,TRUE,FALSE,1.0614571288105423e-4,0.9592665369691116,24
4,4,6,yield_5y,0.006945692063006544,0.005871114451644058,0.008208665703949644,0.005218787597185963,0.009168966003933422,147,6.963790354061728,13.948418079844716,TRUE,FALSE,1.0614571288105423e-4,0.9592665369691116,24
4,4,6,yield_10y,0.006171008342939512,0.005165368701974191,0.00742759431840031,0.004585800959772783,0.008286970691043007,147,6.963790354061728,13.948418079844716,TRUE,FALSE,1.0614571288105423e-4,0.9592665369691116,24
4,4,6,cambio_usd,0.13456681162899217,0.08887208709243573,0.15030498510001697,0.06940641517685874,0.18017561583988623,147,6.963790354061728,13.948418079844716,TRUE,FALSE,1.0614571288105423e-4,0.9592665369691116,24
4,4,6,embi_perc,0.20830023538107256,0.1635971860151378,0.2885580777414901,0.12996887524737288,0.35087053736356894,147,6.963790354061728,13.948418079844716,TRUE,FALSE,1.0614571288105423e-4,0.9592665369691116,24
4,4,6,cds_5y,26.95057094121927,20.908583875598246,34.40510826048967,17.333109279942633,40.852594185400555,147,6.963790354061728,13.948418079844716,TRUE,FALSE,1.0614571288105423e-4,0.9592665369691116,24
4,4,6,asset_ibov,-0.8646054413745772,-3.500422681651279,-0.18517875449329402,-4.7521249503213605,1.1376033301179485,147,6.963790354061728,13.948418079844716,TRUE,FALSE,1.0614571288105423e-4,0.9592665369691116,24
4,4,3,yield_3m,0.003957267987901251,0.003734117410292539,0.004275690956250081,0.003556776998246164,0.004426489471240367,150,6.651837257773857,11.246895140137983,TRUE,FALSE,1.0984300725827925e-4,0.9696162053637338,12
4,4,3,yield_6m,0.005,0.005,0.005,0.005,0.005,150,6.651837257773857,11.246895140137983,TRUE,FALSE,1.0984300725827925e-4,0.9696162053637338,12
4,4,3,yield_1y,0.0062102426851671135,0.005781334650022428,0.006547269690899615,0.005570117154708766,0.0068424354474821095,150,6.651837257773857,11.246895140137983,TRUE,FALSE,1.0984300725827925e-4,0.9696162053637338,12
4,4,3,yield_2y,0.007179412102487527,0.006265523388855488,0.008054033639954243,0.005776618308199163,0.008645242876447006,150,6.651837257773857,11.246895140137983,TRUE,FALSE,1.0984300725827925e-4,0.9696162053637338,12
4,4,3,yield_5y,0.007455611137603738,0.00608777189854797,0.008646303862550324,0.005550236381970163,0.009565213417494224,150,6.651837257773857,11.246895140137983,TRUE,FALSE,1.0984300725827925e-4,0.9696162053637338,12
4,4,3,yield_10y,0.006765101101158276,0.005439968907762533,0.007930325271199181,0.004888005759947567,0.008833244838131873,150,6.651837257773857,11.246895140137983,TRUE,FALSE,1.0984300725827925e-4,0.9696162053637338,12
