r,q,p,variable,h,point,lo68,hi68,lo90,hi90,cell
5,5,4,yield_6m,40,-0.008935949318989254,-0.009145456616814443,-4.480117140802977e-4,-0.012339285985402324,0.002800432651741309,q=5
5,5,4,yield_6m,41,-0.008830495728814105,-0.009033294854340262,-2.899424078043778e-4,-0.012254256250280935,0.0028113082857677664,q=5
5,5,4,yield_6m,42,-0.00869579495406173,-0.008896653761047328,-1.8699240305301132e-4,-0.012344473162450546,0.0027865138707980287,q=5
5,5,4,yield_6m,43,-0.00853413489466904,-0.008948270917911559,4.5344909313320406e-5,-0.012338590023646153,0.0025515378644502987,q=5
5,5,4,yield_6m,44,-0.008347829874563142,-0.008742288110622555,1.979042707294091e-4,-0.012135172865378827,0.0025361628815415717,q=5
5,5,4,yield_6m,45,-0.00813920577689952,-0.008495056132294395,3.1799590427179455e-4,-0.011976009818141412,0.002700408052285602,q=5
5,5,4,yield_6m,46,-0.00791058462561733,-0.008252391461381476,4.5874796836251714e-4,-0.011751593604824409,0.00288004900145934,q=5
5,5,4,yield_6m,47,-0.007664269885828958,-0.007962910528196974,5.30429458282016e-4,-0.011591564961860663,0.002950383778652402,q=5
5,5,4,yield_6m,48,-0.007402533595119282,-0.007727795971655725,6.779890951044923e-4,-0.01115134633577481,0.0032514372565579587,q=5
5,5,4,yield_2y,0,0.00702636423396999,0.0062318632405610995,0.0077959071547082075,0.005687731747093067,0.008379753777632871,q=5
5,5,4,yield_2y,1,0.008455433043610336,0.00693616357108699,0.009571598215838221,0.006029536733540498,0.010750687234414016,q=5
5,5,4,yield_2y,2,0.008551113362313725,0.006559935335218405,0.010271515744006017,0.005504054641387834,0.01151402631293947,q=5
5,5,4,yield_2y,3,0.009738183936670895,0.0073309857673180875,0.011758643852392107,0.005899168352727814,0.013252726482234092,q=5
5,5,4,yield_2y,4,0.009615782654876755,0.006960353911423713,0.01227616982947123,0.0053040270203269825,0.014160023440015473,q=5
5,5,4,yield_2y,5,0.008793592810885476,0.006151958158556351,0.012227820951368297,0.004231400552671825,0.014398182772238508,q=5
5,5,4,yield_2y,6,0.008370166452451705,0.005833293324367645,0.012594535976334444,0.0039057986505805498,0.014909652228583939,q=5
5,5,4,yield_2y,7,0.0076651696711005825,0.005280025392034088,0.012612742379166647,0.003082864214007802,0.015401117422537117,q=5
5,5,4,yield_2y,8,0.006676862895879738,0.004511267316312674,0.012351869455529598,0.002312594175939728,0.015720695076032888,q=5
5,5,4,yield_2y,9,0.005799941927766334,0.003944719447954261,0.011996206007177055,0.0015957270310554392,0.015567857769650844,q=5
5,5,4,yield_2y,10,0.0048956662308196,0.0030668030780761743,0.011525406723862866,7.520631196108923e-4,0.015294395927529462,q=5
5,5,4,yield_2y,11,0.0038688318294132873,0.002259746409577651,0.01088178168918797,-5.4086072473760266e-5,0.015054915312222654,q=5
5,5,4,yield_2y,12,0.002859295258670481,0.0014713087396296333,0.0102129742591089,-7.5609120792592e-4,0.014710712061021097,q=5
5,5,4,yield_2y,13,0.001867642160723098,6.511322034250595e-4,0.009442364609983992,-0.001534087716159913,0.014354483659036984,q=5
5,5,4,yield_2y,14,8.458020607541746e-4,-1.4740747254456615e-4,0.00881232317506395,-0.0025063884163411478,0.013627875470477203,q=5
5,5,4,yield_2y,15,-1.59785091474292e-4,-0.001014186754516811,0.008131410279417226,-0.003394973888853381,0.012995465480111093,q=5
5,5,4,yield_2y,16,-0.0011291055728245647,-0.0018506193919375423,0.007511991764300818,-0.004396339787101228,0.012322014547878395,q=5
5,5,4,yield_2y,17,-0.002077442972318263,-0.0025816781232371614,0.0068317683368971215,-0.005467153773456809,0.011427312771697602,q=5
5,5,4,yield_2y,18,-0.002991719404332918,-0.0034743992822154177,0.006169162203871099,-0.006440226291501079,0.010814696349873823,q=5
5,5,4,yield_2y,19,-0.0038581054027031726,-0.004204426548859651,0.005506851495411981,-0.007367064236391586,0.009929329345192639,q=5
5,5,4,yield_2y,20,-0.004679272946315246,-0.005016037694700225,0.004820985313221281,-0.008450831003655096,0.00918396184757235,q=5
5,5,4,yield_2y,21,-0.005451906618544963,-0.005828461732256171,0.004173909242264127,-0.009214136146885639,0.008658853764962473,q=5
5,5,4,yield_2y,22,-0.006169357547958505,-0.0063988516968736895,0.003516703764754311,-0.009928327560490445,0.008081501266159839,q=5
