month,s,weight,mahal_ols,mahal_wls
2024-04-01,1.050478032712378,0.9062041568555665,0.4024475684007964,0.48181510950539996
2024-05-01,1.0476475365953215,0.9111074707649319,0.8277236775574728,1.426497233981583
2024-06-01,1.0449757572078635,0.91577244046877,1.1320253129751534,1.5826665543429586
2024-07-01,1.0424537946966876,0.9202087760917049,0.20802824187491803,0.18625000304870926
2024-08-01,1.0400732482572497,0.9244259919073727,0.6322076846500095,0.6833670723993153
2024-09-01,1.0378261881502069,0.9284333865400014,0.2514844648542053,0.33854689565751833
2024-10-01,1.0357051292869928,0.9322400266150691,0.3251362640802401,0.6349352358769089
2024-11-01,1.0337030062965489,0.9358547335474011,1.6610781204312879,1.9231086606700554
2024-12-01,1.0318131499901617,0.9392860731682745,2.7349006617748457,2.887650854636931
2025-01-01,1.0300292651460043,0.9425423479079476,1.1465736455790245,1.4307823610577473
2025-02-01,1.0283454095393856,0.945631591265987,1.3067487093227372,1.797424763744417
2025-03-01,1.0267559741488512,0.948561564318416,1.4428893460687804,1.6400490158314267
2025-04-01,1.0252556644722062,0.9513397540276618,1.236797648730494,1.2659712422178633
2025-05-01,1.0238394828902182,0.953973373138269,0.38018806048344234,0.6703528962535986
2025-06-01,1.0225027120192558,0.9564693614581107,0.3350475848747889,0.563282871184062
2025-07-01,1.021240898997408,0.9588343883411597,0.18086913731860876,0.3720425431545601
2025-08-01,1.0200498406517404,0.9610748562036772,0.37805129387951675,0.4487152493568128
2025-09-01,1.0189255694972819,0.9631969049207547,0.5855058842664113,0.6020735211090854
2025-10-01,1.0178643405210979,0.9652064169645113,0.4597086350030623,0.7427498801326958
2025-11-01,1.0168626187074357,0.9671090231587465,0.19892035972408617,0.5015879176238465
2025-12-01,1.0159170672623792,0.9689101089375587,0.782366544473078,0.6295813420391608
