window_cell,q,variable,share_in68,share_in90,share_in90_h12,first_out90_h,cor_path,max_abs_dev,max_abs_dev_h,rel_max_abs_dev,sign_flip_h0,ratio_h0,resto_coluna_h0,share_in90_resc,denom_ratio,veredito
pre_p2,3,base_demand_deposit,1,1,1,NA,0.9999725592571855,0.03571160263224904,0,0.020541394976778322,FALSE,1.0355352051287174,1.0381462931189744,1,1.0025214864519574,imaterial
pre_p2,3,base_savings_deposit,1,1,1,NA,0.9999753497893821,0.012142393644487548,22,0.011887012757100383,FALSE,1.1061314938611437,1.108920589436998,1,1.0025214864519574,imaterial
pre_p2,3,base_m1,1,1,1,NA,0.9999764387312384,0.016603556991479085,0,0.012863780556008087,FALSE,1.0261326883262119,1.028720067997737,1,1.0025214864519574,imaterial
pre_p2,3,base_m2,1,1,1,NA,0.9999563157280764,0.005678212278303896,22,0.011769664491604923,FALSE,0.9908195584184869,0.9933178965113735,1,1.0025214864519574,imaterial
pre_p2,3,base_m3,1,1,1,NA,0.9998637784055592,0.009557358114209435,0,0.05800091648260127,FALSE,1.1573727702053023,1.1602910699652391,1,1.0025214864519574,imaterial
pre_p2,3,credito_agro,1,1,1,NA,0.9998922187730648,0.02115698276961009,0,0.027206672063112582,FALSE,0.9651256482160753,0.9675591994624887,1,1.0025214864519574,imaterial
pre_p2,3,credito_industria_total,1,1,1,NA,0.999973377434396,0.013186050092173218,2,0.012843417187498152,FALSE,1.0063457515458765,1.008883238724384,1,1.0025214864519574,imaterial
pre_p2,3,credito_construcao,1,1,1,NA,0.9999708290731165,0.01471978961571363,1,0.01359143296179925,FALSE,1.0217943801354332,1.024370820821631,1,1.0025214864519574,imaterial
pre_p2,3,credito_comercio,1,1,1,NA,0.9999621744482368,0.013903179659757736,24,0.011828775485670628,FALSE,1.0433953067330386,1.0460262138630019,1,1.0025214864519574,imaterial
pre_p2,3,credito_transporte,1,1,1,NA,0.9999671247858893,0.025720728786815528,2,0.015006837130503825,FALSE,1.0048597694120345,1.007393509706724,1,1.0025214864519574,imaterial
pre_p2,3,credito_pessoa_fisica,1,1,1,NA,0.9999711868740494,0.007058253143354953,24,0.011899877713600914,FALSE,1.0144295216764334,1.016987391971806,1,1.0025214864519574,imaterial
pre_p2,3,spread_credito_pj_total,1,1,1,NA,0.9999789592620599,2.986542831523685e-4,21,0.011904607307721367,FALSE,1.043438561083416,1.0460695772786377,1,1.0025214864519574,imaterial
pre_p2,3,spread_credito_pf_total,1,1,1,NA,0.9999678735049555,2.30834622341268e-4,22,0.011832640632479142,FALSE,1.0148677901556207,1.017426765539026,1,1.0025214864519574,imaterial
pre_p2,3,credit_outstanding,1,1,1,NA,0.9999619681233582,0.009310104746207415,24,0.011854816844881442,FALSE,0.9939467495480242,0.9964529728109767,1,1.0025214864519574,imaterial
pre_p2,3,fin_inst_reserve_req,1,1,1,NA,0.9991533860111024,0.0959006643676874,0,0.14148711104844316,FALSE,0.7980144568964018,0.8000266395379322,1,1.0025214864519574,imaterial
pre_p2,3,consumo_gasolina,1,1,1,NA,0.9999851635029883,0.206230544108017,0,0.028865125110623408,FALSE,1.0380859241117104,1.0407034437053257,1,1.0025214864519574,imaterial
pre_p2,3,consumo_glp,1,1,1,NA,0.9999790318249339,0.04224363547003762,1,0.008127429544708669,FALSE,0.9980789004117003,1.000595542837073,1,1.0025214864519574,imaterial
pre_p2,3,consumo_oleo_combustivel,1,1,1,NA,0.9973301845432421,0.2932262335353284,0,0.16902248827452865,FALSE,0.6545262476568128,0.65617662672273,1,1.0025214864519574,imaterial
pre_p2,3,consumo_oleo_diesel,1,1,1,NA,0.9999833268620333,0.30197164884550176,2,0.009003008892257032,FALSE,0.9947794105792876,0.9972877333857495,1,1.0025214864519574,imaterial
pre_p2,3,consumo_demais_derivados,1,1,1,NA,0.999963354771876,0.012785984266773243,0,0.0196265756773537,FALSE,1.0196265756773537,1.0221975502739797,1,1.0025214864519574,imaterial
pre_p2,3,consumo_alcool,1,1,1,NA,0.9999833420950243,0.10474057675601323,23,0.011911852011483799,FALSE,0.9272968279537543,0.9296349943423828,1,1.0025214864519574,imaterial
pre_p2,3,capacidade_instalada_industria,1,1,1,NA,0.9999752952038303,0.004424124187590833,2,0.011846546929541957,FALSE,0.9939338357616887,0.9964400264627038,1,1.0025214864519574,imaterial
pre_p2,3,vendas_varejo,1,1,1,NA,0.9999489878753339,0.020093590211597956,0,0.01872573141858558,FALSE,0.9739266566847951,0.9763823995548259,1,1.0025214864519574,imaterial
pre_p2,3,vendas_servicos,1,1,1,NA,0.9999282960351211,0.02558846744293386,0,0.03096575647639079,FALSE,0.9690342435236092,0.9714776502401368,1,1.0025214864519574,imaterial
pre_p2,3,ind_automoveis,1,1,1,NA,0.9999776438554651,106.43392100608935,2,0.020630793177222165,FALSE,0.9891155347808969,0.9916095762012674,1,1.0025214864519574,imaterial
pre_p2,3,ind_leves,1,1,1,NA,0.9999524413573099,54.32293564615611,0,0.015584698813644401,FALSE,0.9844153011863556,0.9868974910313965,1,1.0025214864519574,imaterial
