variant,sample,block,factor,squared_loading_share
drop_near_duplicates,pre_covid,vendas,F5,0.010906795953266442
drop_near_duplicates,pre_covid,vendas,F6,0.012671106396061362
drop_near_duplicates,pre_covid,vendas,F7,0.03793690062035092
add_fiscal,full,acoes,F1,0.03338968696541699
add_fiscal,full,acoes,F2,0.23141478808373664
add_fiscal,full,acoes,F3,0.008576240212570375
add_fiscal,full,acoes,F4,0.3730148891895564
add_fiscal,full,acoes,F5,0.015320723452680866
add_fiscal,full,acoes,F6,0.05627153077040753
add_fiscal,full,acoes,F7,0.013135547368702283
add_fiscal,full,atividade_agregada,F1,0.04202475113977554
add_fiscal,full,atividade_agregada,F2,0.00175795344408126
add_fiscal,full,atividade_agregada,F3,0.006771164856531245
add_fiscal,full,atividade_agregada,F4,0.005232472070625559
add_fiscal,full,atividade_agregada,F5,0.010362069493848769
add_fiscal,full,atividade_agregada,F6,0.004603301947575439
add_fiscal,full,atividade_agregada,F7,0.019911136636967933
add_fiscal,full,cambio,F1,0.028835021856133333
add_fiscal,full,cambio,F2,0.1080747360953306
add_fiscal,full,cambio,F3,0.06248690865522995
add_fiscal,full,cambio,F4,0.058021178487325506
add_fiscal,full,cambio,F5,0.12988903129101212
add_fiscal,full,cambio,F6,0.04387476884356681
add_fiscal,full,cambio,F7,0.01600962242639217
add_fiscal,full,combustiveis,F1,0.093814589343481955
add_fiscal,full,combustiveis,F2,0.003944583277538502
add_fiscal,full,combustiveis,F3,0.015626768675484428
add_fiscal,full,combustiveis,F4,0.023485125229268017
add_fiscal,full,combustiveis,F5,0.00691738140628766
add_fiscal,full,combustiveis,F6,0.04637994201554265
add_fiscal,full,combustiveis,F7,0.02272529127275182
add_fiscal,full,commodities,F1,0.001005773902515504
add_fiscal,full,commodities,F2,0.03544080032880247
add_fiscal,full,commodities,F3,0.010194333913786605
add_fiscal,full,commodities,F4,0.04496460936543588
add_fiscal,full,commodities,F5,0.009909750650604489
