variant,sample,block,n_series,share_panel,n_effective,share_effective,overweight,shock_share,commonality_mean
add_setor_externo,full,acoes,8,0.07272727272727272,1.7354065472488096,0.03238762991606145,2.245526236892262,0.1145629854964253,0.7175710946870495
add_setor_externo,full,atividade_agregada,2,0.01818181818181818,1.8704615034734624,0.03490814013740891,0.5208475189525736,0.014262663065300645,0.4686076184308508
add_setor_externo,full,cambio,5,0.045454545454545456,1.5864590116315722,0.029607844586722807,1.535219671982771,0.06973948809628162,0.6882976880961599
add_setor_externo,full,combustiveis,6,0.05454545454545454,4.070071782915109,0.07595913409790749,0.7180894726254805,0.034376420162077814,0.35586981413748514
add_setor_externo,full,commodities,3,0.02727272727272727,2.474591613023542,0.046182928999002594,0.5905369768408643,0.03583546190379806,0.4135408412482899
add_setor_externo,full,confianca,2,0.01818181818181818,1.9146273425215652,0.03573240051160768,0.508832821794657,0.010177678380133207,0.36168681865999963
add_setor_externo,full,credito_existente,10,0.09090909090909091,5.235249083146598,0.09770466182241627,0.9304478334342255,0.10815265350267356,0.4705362628463929
add_setor_externo,full,curva,6,0.05454545454545454,1.6430490818899979,0.030663976508870632,1.7788121683981644,0.11028120050849727,0.7876263040304953
add_setor_externo,full,energia,4,0.03636363636363636,2.436167308579475,0.04546582201672838,0.7998015817300516,0.01781150984498213,0.28306427105162546
add_setor_externo,full,epu,8,0.07272727272727272,5.617878668643942,0.1048456199049302,0.69366057249906,0.0723076179582889,0.27302195885634944
add_setor_externo,full,industria,12,0.10909090909090909,3.213024649655,0.05996419307578506,1.8192675244213792,0.08247238673483556,0.513110751273723
add_setor_externo,full,monetario,7,0.06363636363636363,3.0030012301773605,0.0560445577635113,1.1354601798249018,0.04193243897226306,0.5273154613499871
add_setor_externo,full,politica,2,0.01818181818181818,1.000294269319664,0.01866834065668505,0.9739386331214903,0.019332066641547584,0.6788627135310049
add_setor_externo,full,precos,11,0.1,4.928642243175725,0.09198250474144153,1.087163263069377,0.12021372327207488,0.44363064911856515
add_setor_externo,full,risco_externo,4,0.03636363636363636,2.567623721608858,0.047919173170691824,0.7588535852675559,0.04089186730066515,0.4240957512080279
add_setor_externo,full,setor_externo,4,0.03636363636363636,3.684455651817347,0.06876243856655938,0.5288299414866995,0.010535139833278891,0.1461735797351887
add_setor_externo,full,trabalho,14,0.12727272727272726,5.001918949458962,0.09335005682791477,1.363392070637374,0.08180541177217263,0.48101959565322056
add_setor_externo,full,vendas,2,0.01818181818181818,1.5994651776379512,0.0298505766957547,0.6090943691685518,0.015309286554703209,0.5958574206680465
add_setor_externo,pre_covid,acoes,8,0.07272727272727272,1.8302237579017453,0.03209318595618219,2.2661281689692476,0.11641704123567984,0.7112809896051459
add_setor_externo,pre_covid,atividade_agregada,2,0.01818181818181818,1.913649621758761,0.0335560681588413,0.541833986501415,0.012057198398782162,0.39771952781278197
add_setor_externo,pre_covid,cambio,5,0.045454545454545456,1.547647863479572,0.02713818486012923,1.6749294652099662,0.09707409772553659,0.7409195344587343
add_setor_externo,pre_covid,combustiveis,6,0.05454545454545454,3.9772565786524687,0.06974165558886548,0.7821072511815009,0.030981851648559884,0.4238457537219094
add_setor_externo,pre_covid,commodities,3,0.02727272727272727,2.063854499918693,0.03618992812568978,0.753599929184923,0.045640823210511654,0.5450687222956967
add_setor_externo,pre_covid,confianca,2,0.01818181818181818,1.9326186206053482,0.033888691754594455,0.5365157886141528,0.011481973865604924,0.3409352852841306
add_setor_externo,pre_covid,credito_existente,10,0.09090909090909091,4.9569441482132035,0.08692059079453597,1.0458867119757964,0.09917595951584232,0.4631425823778299
add_setor_externo,pre_covid,curva,6,0.05454545454545454,1.675929714382259,0.029387622000286925,1.8560690124883867,0.13571276216407696,0.7203502421084643
add_setor_externo,pre_covid,energia,4,0.03636363636363636,2.2211908387068697,0.0389488390821199,0.9336256797530502,0.016328953657333552,0.2956773347809442
add_setor_externo,pre_covid,epu,8,0.07272727272727272,6.248217693709238,0.10956322224163997,0.6637927512470733,0.021677684296473203,0.13780641988224107
add_setor_externo,pre_covid,industria,12,0.10909090909090909,3.8541486597597805,0.0675829439468359,1.614178115364809,0.06071785677633644,0.5424119505591135
add_setor_externo,pre_covid,monetario,7,0.06363636363636363,4.072175642679075,0.0714060723900576,0.8911898037011233,0.036956568059942616,0.40277216813272626
add_setor_externo,pre_covid,politica,2,0.01818181818181818,1.0008012278163507,0.017549165653006394,1.0360502910121774,0.03516893774312013,0.5572308382572341
add_setor_externo,pre_covid,precos,11,0.1,4.597049436018363,0.08060979525751522,1.2405440266972647,0.1050350396023778,0.5000973384411191
add_setor_externo,pre_covid,risco_externo,4,0.03636363636363636,2.6266749486556527,0.04605904999850662,0.7895003558435396,0.04884002100905714,0.4013249153372381
add_setor_externo,pre_covid,setor_externo,4,0.03636363636363636,3.6924740529666025,0.06474796095756762,0.5616182475223762,0.016934775904119022,0.2349306974795204
add_setor_externo,pre_covid,trabalho,14,0.12727272727272726,7.018442659772448,0.12306920639097682,1.0341557486638562,0.09954156069181223,0.3954357794958341
add_setor_externo,pre_covid,vendas,2,0.01818181818181818,1.7991222178496697,0.031547816842648645,0.5763257176401084,0.010256894494833226,0.5555990144877179
add_expectativas,full,acoes,8,0.07272727272727272,1.7354065472488096,0.03261272076588207,2.2300277627666274,0.10553228834172167,0.7214644997524143
add_expectativas,full,atividade_agregada,2,0.01818181818181818,1.8704615034734624,0.03515074828593818,0.5172526636962576,0.013783979379019129,0.4749032385417591
add_expectativas,full,cambio,5,0.045454545454545456,1.5864590116315722,0.029813616201276098,1.5246236869648804,0.0710290682457281,0.7033101135075819
add_expectativas,full,combustiveis,6,0.05454545454545454,4.070071782915109,0.07648704262625762,0.7131332664015089,0.029825988829848618,0.3488303353607833
add_expectativas,full,commodities,3,0.02727272727272727,2.474591613023542,0.04650389582376046,0.5864611295381555,0.029934267816932866,0.41105917414479476
add_expectativas,full,confianca,2,0.01818181818181818,1.9146273425215652,0.035980737188855555,0.5053208911864568,0.009145649736823547,0.3601749921435494
add_expectativas,full,credito_existente,10,0.09090909090909091,5.235249083146598,0.09838369963463167,0.9240259437965915,0.10761005926440881,0.47559129498948255
add_expectativas,full,curva,6,0.05454545454545454,1.6430490818899979,0.030877088136647954,1.7665349240207224,0.10983963826941931,0.7910799063787047
add_expectativas,full,energia,4,0.03636363636363636,2.436167308579475,0.045781805018326883,0.7942814039131847,0.020490581785170915,0.3040666857031804
add_expectativas,full,epu,8,0.07272727272727272,5.617878668643942,0.10557428667509938,0.6888729729341007,0.07975980658327027,0.24642159756985374
add_expectativas,full,expectativas,4,0.03636363636363636,3.3146335416049335,0.06229042889400255,0.5837756619964055,0.034315479311658716,0.42093627172683656
add_expectativas,full,industria,12,0.10909090909090909,3.213024649655,0.060380938333564574,1.8067110598423344,0.07422115136264922,0.506353210154878
add_expectativas,full,monetario,7,0.06363636363636363,3.0030012301773605,0.05643406194049196,1.127623308481078,0.049344221605585104,0.5267173677615429
add_expectativas,full,politica,2,0.01818181818181818,1.000294269319664,0.018798083792383603,0.9672165728500948,0.02149263022153951,0.6858943030215343
add_expectativas,full,precos,11,0.1,4.928642243175725,0.09262177412344139,1.079659733862637,0.10587004320876366,0.4267812973950288
add_expectativas,full,risco_externo,4,0.03636363636363636,2.567623721608858,0.048252206722070756,0.7536160278241427,0.03873563059130198,0.42731085191915286
add_expectativas,full,trabalho,14,0.12727272727272726,5.001918949458962,0.09399883056272204,1.3539820284019677,0.08489153157703208,0.4844038117656442
add_expectativas,full,vendas,2,0.01818181818181818,1.5994651776379512,0.030058035274647225,0.6048904399667743,0.01417798386912662,0.5984503837305464
add_expectativas,pre_covid,acoes,8,0.07272727272727272,1.8302237579017453,0.032432109400844955,2.2424465775074736,0.09910126126940798,0.7086590207225807
add_expectativas,pre_covid,atividade_agregada,2,0.01818181818181818,1.913649621758761,0.03391044052390537,0.5361716893356427,0.011761385193668731,0.3968753247090473
add_expectativas,pre_covid,cambio,5,0.045454545454545456,1.547647863479572,0.027424780497821544,1.657426044236018,0.10156431509120346,0.7545314606400927
add_expectativas,pre_covid,combustiveis,6,0.05454545454545454,3.9772565786524687,0.07047816963209369,0.7739340398621269,0.0374331996852445,0.4231791488553044
add_expectativas,pre_covid,commodities,3,0.02727272727272727,2.063854499918693,0.0365721156442242,0.7457246263256424,0.04261648051508666,0.51572536455907
add_expectativas,pre_covid,confianca,2,0.01818181818181818,1.9326186206053482,0.03424657682590721,0.5309090679119732,0.013622403318015638,0.3412514789204495
add_expectativas,pre_covid,credito_existente,10,0.09090909090909091,4.9569441482132035,0.08783852477854207,1.0349569410266206,0.09021656304877376,0.4470904070963501
add_expectativas,pre_covid,curva,6,0.05454545454545454,1.675929714382259,0.02969797305400853,1.8366726391144121,0.10580469296239654,0.7364679054108327
add_expectativas,pre_covid,energia,4,0.03636363636363636,2.2211908387068697,0.03936016236817044,0.9238690639407195,0.017243083847323665,0.30319883418670435
add_expectativas,pre_covid,epu,8,0.07272727272727272,6.248217693709238,0.1107202761016459,0.656855955276936,0.02653211908087881,0.13326930442288593
add_expectativas,pre_covid,expectativas,4,0.03636363636363636,3.0965131473404846,0.054871134046929296,0.6627097652571907,0.034215606769731455,0.4493560141064531
add_expectativas,pre_covid,industria,12,0.10909090909090909,3.8541486597597805,0.0682966606901404,1.5973095607975738,0.08122137661218483,0.5461709281732092
add_expectativas,pre_covid,monetario,7,0.06363636363636363,4.072175642679075,0.07216016368087927,0.8818766531321734,0.0554662960912425,0.40992351753424827
add_expectativas,pre_covid,politica,2,0.01818181818181818,1.0008012278163507,0.017734495451119776,1.025223313058515,0.03179562108596433,0.5453744743838862
add_expectativas,pre_covid,precos,11,0.1,4.597049436018363,0.08146108342564969,1.2275800393849532,0.10095470994842157,0.4904710262488225
add_expectativas,pre_covid,risco_externo,4,0.03636363636363636,2.6266749486556527,0.04654546141009729,0.7812498847792677,0.039186441931192265,0.39619625505837364
add_expectativas,pre_covid,trabalho,14,0.12727272727272726,7.018442659772448,0.12436889160823422,1.0233485691393005,0.09956592186162136,0.4008328508167407
add_expectativas,pre_covid,vendas,2,0.01818181818181818,1.7991222178496697,0.031880980859786086,0.570302973480728,0.01169852168764264,0.5413156314628553
add_eua,full,acoes,8,0.07207207207207207,1.7354065472488096,0.03250654821470567,2.2171554972873837,0.10797408745112919,0.7067049115186733
add_eua,full,atividade_agregada,2,0.018018018018018018,1.8704615034734624,0.035036313043074856,0.5142669548552681,0.01550353867492848,0.4650625510848254
add_eua,full,cambio,5,0.04504504504504504,1.5864590116315722,0.02971655629282482,1.5158231862795402,0.06576492192030836,0.6919432667075989
add_eua,full,combustiveis,6,0.05405405405405406,4.070071782915109,0.07623803474660645,0.7090168868297085,0.03726832817165546,0.35085954368554656
add_eua,full,commodities,3,0.02702702702702703,2.474591613023542,0.04635249976899108,0.5830759325111433,0.033531641150340345,0.42444932864020246
add_eua,full,confianca,2,0.018018018018018018,1.9146273425215652,0.03586359987032355,0.5024040554536631,0.011885793102432424,0.3558351562352314
add_eua,full,credito_existente,10,0.09009009009009009,5.235249083146598,0.09806340595354422,0.9186922401284803,0.10582394453201702,0.48096972026766477
add_eua,full,curva,6,0.05405405405405406,1.6430490818899979,0.030776566035351945,1.7563380525288004,0.09702555960083364,0.7779091367861216
add_eua,full,energia,4,0.036036036036036036,2.436167308579475,0.04563275977088646,0.7896966174512833,0.02026332859325613,0.2906992419528358
add_eua,full,epu,8,0.07207207207207207,5.617878668643942,0.10523058363249245,0.6848966297077355,0.04754936405181984,0.2394310649881215
add_eua,full,eua,5,0.04504504504504504,3.488435872766778,0.06534319527131766,0.6893609175065476,0.035645774013561164,0.35532298788780153
add_eua,full,industria,12,0.10810810810810811,3.213024649655,0.06018436478450925,1.7962822818715514,0.09758858182315454,0.5065182052708639
add_eua,full,monetario,7,0.06306306306306306,3.0030012301773605,0.05625033767006135,1.1211143910452952,0.041065740216501875,0.5244237252970622
add_eua,full,politica,2,0.018018018018018018,1.000294269319664,0.018736885570751233,0.9616335623111567,0.020647578646477833,0.6854038796534043
add_eua,full,precos,11,0.0990990990990991,4.928642243175725,0.09232023871571614,1.0734276739064472,0.10558257720896762,0.44086661354523565
add_eua,full,risco_externo,4,0.036036036036036036,2.567623721608858,0.0480951189426012,0.7492659718555433,0.04094285235697729,0.4431061217427601
add_eua,full,trabalho,14,0.12612612612612611,5.001918949458962,0.09369281207011951,1.3461665130910319,0.09673656381561122,0.4814349698167482
add_eua,full,vendas,2,0.018018018018018018,1.5994651776379512,0.029960179646122107,0.6013988644540781,0.019199824670027725,0.6022862138117164
add_eua,pre_covid,acoes,8,0.07207207207207207,1.8302237579017453,0.03209138630977378,2.2458385367453486,0.10678528641655698,0.6972970564297357
add_eua,pre_covid,atividade_agregada,2,0.018018018018018018,1.913649621758761,0.03355418648035589,0.5369827108926204,0.008549165653657327,0.3407713948714931
add_eua,pre_covid,cambio,5,0.04504504504504504,1.547647863479572,0.027136663068650476,1.6599330924030653,0.12155455792995509,0.7439650087347025
add_eua,pre_covid,combustiveis,6,0.05405405405405406,3.9772565786524687,0.06973774477988041,0.7751047044132239,0.017078302629454974,0.40157382514478723
add_eua,pre_covid,commodities,3,0.02702702702702703,2.063854499918693,0.036187898751782785,0.7468526208832601,0.05560418532547693,0.5037353022927259
add_eua,pre_covid,confianca,2,0.018018018018018018,1.9326186206053482,0.03388679142402319,0.5317121291467152,0.011401426729078745,0.35510068832439734
add_eua,pre_covid,credito_existente,10,0.09009009009009009,4.9569441482132035,0.08691571666551513,1.036522432839059,0.10695148960021435,0.4670877239661831
add_eua,pre_covid,curva,6,0.05405405405405406,1.675929714382259,0.029385974070148216,1.8394508184421543,0.15024347362624565,0.7248959471822132
add_eua,pre_covid,energia,4,0.036036036036036036,2.2211908387068697,0.038946655000475235,0.9252665225189767,0.009563808298818893,0.30660593691895105
add_eua,pre_covid,epu,8,0.07207207207207207,6.248217693709238,0.1095570784122405,0.6578495257137094,0.0194280768579534,0.13909191751162722
