variant,sample,response,horizon,point,lower_68,upper_68,lower_90,upper_90
baseline,full,asset_ibov,5,3.2651147689969484,-8.322016858256438,15.156729804132603,-15.246974155744864,26.837796245941927
baseline,full,asset_ibov,6,5.135314130467742,-7.672869596730338,18.073554380990345,-15.509511582045917,30.837699423818545
baseline,full,asset_ibov,7,6.607607224981379,-7.625013099910829,20.51542732278951,-16.415601818593803,35.56355329946797
baseline,full,asset_ibov,8,9.523960258280859,-6.186512147634394,24.330938628923654,-15.196349730597982,40.81670992693601
baseline,full,asset_ibov,9,11.962902547592966,-5.374396174213553,27.905475310474277,-14.794877424502591,45.15318345967866
baseline,full,asset_ibov,10,13.928524409154475,-4.46261359414928,31.031267531722094,-15.183889838125548,50.402764356365374
baseline,full,asset_ibov,11,16.598412892718148,-3.6166652770032606,34.28140904677837,-15.662053323635902,54.913856313674735
baseline,full,asset_ibov,12,19.15753289137166,-2.944548651067195,37.738910998947965,-14.854431456727538,59.77648084138576
baseline,full,asset_ibov,13,21.147762916299083,-2.614081448453603,40.617655768932764,-14.887950844901752,63.02561867002866
baseline,full,asset_ibov,14,23.376589137949207,-1.523542549127813,43.50715541707354,-15.16666297783319,66.75856688468907
baseline,full,asset_ibov,15,25.10607602049273,-1.0372531554658813,45.97974293130925,-15.22270020172333,71.03234100618023
baseline,full,asset_ibov,16,26.33363417805054,-0.7331847768773209,48.18553327468511,-15.584408697340377,74.61620111334871
baseline,full,asset_ibov,17,27.67275116479444,-0.4899309058420015,50.46155464917767,-16.706757240145322,78.7546972822711
baseline,full,asset_ibov,18,28.82231806476092,-0.10619076040902958,51.86360791960082,-17.082916668817123,82.82687147542167
baseline,full,asset_ibov,19,29.669350815460504,-0.2095840750029353,53.2789380877833,-17.79657263492373,84.60488498206742
baseline,full,asset_ibov,20,30.54677735233282,0.14909914743174263,54.93451708112791,-17.9461647777467,88.19219012122525
