tag,instrument,r,q,sample,var,h,point,lo90,hi90,sig90
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,36,-0.006881968698585121,-0.021259171718571765,0.003323081935431327,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,37,-0.007007482352495153,-0.021264254395673313,0.0030902071573497927,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,38,-0.007099137711579681,-0.021201360800171477,0.0031086379861935513,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,39,-0.007156538451001749,-0.020712877227957963,0.002684065260995462,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_6m,40,-0.007178944293161288,-0.020232278858924837,0.0029158470499470387,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,0,0.008446105367231062,0.00670825007317585,0.013583074231620768,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,1,0.009589038403526763,0.006368836448523095,0.01517397167257662,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,2,0.008621454579498776,0.0040980374435894695,0.012768502685983512,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,3,0.009297257067529265,0.0037563237493426355,0.013500658052876743,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,4,0.008729090749805248,0.0021742042967016974,0.012603784111698064,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,5,0.008490921253665953,0.0012147600391043908,0.012537059091296812,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,6,0.007912960524985373,0.0010753549658530427,0.012156336742166065,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,7,0.006872636572971792,-2.576529870972279e-4,0.011239908145890508,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,8,0.005595010493920446,-0.002061639118852142,0.009980713503520935,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,9,0.0041314664347655615,-0.003854692203501696,0.008767929553631022,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,10,0.003223931732322258,-0.00505393965266099,0.008768026405179293,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,11,0.002193772874195855,-0.0060338895630340905,0.007939989534556595,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,12,0.0011306128135401567,-0.006903497009218261,0.007450773111173616,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,13,3.409031655402434e-4,-0.007491824402268581,0.007162600060055313,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,14,-5.754507588343402e-4,-0.0084047340376265,0.0069176506555447895,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,15,-0.0012786472960770376,-0.009453425049166882,0.0069702470101564344,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,16,-0.0017281517680983903,-0.009679637348665395,0.007543955521760906,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,17,-0.002253987267011065,-0.009953797063753739,0.0074686710846875145,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,18,-0.0026906203811750684,-0.010647651209040513,0.00737634091314636,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,19,-0.0029926753962482015,-0.01130091675502739,0.007054029866292208,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,20,-0.003302630962703104,-0.01205535563321351,0.006983383170023888,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,21,-0.003579904345512895,-0.012927856206748835,0.006799717220094506,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,22,-0.0037906111968734274,-0.013513975053872553,0.006763640923150918,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,23,-0.004002221888147071,-0.014673550475888891,0.006575323163541853,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,24,-0.004224534601648722,-0.015079420875250698,0.00643688113283996,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,25,-0.004430780439794844,-0.01567376998855865,0.006063502767569595,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,26,-0.004629876930579266,-0.016550408618935256,0.005746153864659879,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,27,-0.004832430896511538,-0.017376280813672578,0.005446690073230692,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,28,-0.005035568416165718,-0.017411192642136364,0.005003499486850683,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,29,-0.005230576948119701,-0.017539295283113078,0.004705336101264774,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,30,-0.0054174344463989825,-0.01753483358038037,0.003954082294827252,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,31,-0.005595856515865254,-0.018067828018912095,0.0033783512831878546,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,32,-0.005753939561349832,-0.018031720667329994,0.0033018249508778657,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,33,-0.00589097279361175,-0.018604761528133545,0.0030416454184192237,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,34,-0.006006200651689484,-0.01876831800564778,0.0026872267492056177,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,35,-0.006091116165769663,-0.018502408638926066,0.0024470918352141025,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,36,-0.006145809951668702,-0.0184043306979907,0.002460133041886538,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,37,-0.006169172994361632,-0.018113499138602437,0.0024588488343902297,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,38,-0.006157316719387779,-0.018020603534962303,0.0024433510909782578,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,39,-0.006111774641594316,-0.01769706990910422,0.0024142012366592793,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_2y,40,-0.0060336342655526445,-0.017523915494177856,0.002308478018520469,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,0,0.008753908967703028,0.006691459432278738,0.016299467634083842,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,1,0.00960538323572678,0.006418473187767682,0.01757333026442686,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,2,0.007871529013038845,0.004132199165257822,0.01396719538486784,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,3,0.008754433653811178,0.003984181150308157,0.014366411977568936,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,4,0.008361162016601639,0.0029291612034733354,0.013659811421646132,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,5,0.008111403567035954,0.0017401957882484356,0.012747712272612843,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,6,0.0075622076929791554,0.0016312698873206062,0.012581481676063029,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,7,0.006509457773891626,4.0963403018639535e-4,0.011424713471091023,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,8,0.005354271272362023,-0.0013739349898689343,0.009871779766709351,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,9,0.003966915438152669,-0.003101702742780599,0.008451121037937192,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,10,0.0031392802762353024,-0.0038213160134212077,0.007962094482601746,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,11,0.002239232775904203,-0.004757350313208861,0.007185541356506861,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,12,0.001214113138305997,-0.00549545339656113,0.006764010433622091,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,13,4.862187256082776e-4,-0.006191791457905125,0.0064798414172759925,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,14,-3.7330240133468917e-4,-0.00718393978422893,0.005915793267035949,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,15,-0.0010273615174274148,-0.008074816481404599,0.006021521633100826,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,16,-0.0014184601334823591,-0.008825988058990172,0.006051762612837247,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,17,-0.0019174878836557693,-0.008912915050290118,0.005925191753509175,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,18,-0.0023247006669303515,-0.009913782672908782,0.0053431123295841374,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,19,-0.0025911313470580372,-0.010163694475321913,0.005251122042234535,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,20,-0.0028653053286107804,-0.011161126498458681,0.0051006956696012995,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,21,-0.003104803535594246,-0.011603340387316268,0.005158996753871825,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,22,-0.0032785910483148664,-0.012132869198229236,0.005152651214814822,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,23,-0.0034407372536417423,-0.0125275145873485,0.004923271301880907,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,24,-0.0036125990446067035,-0.013297618495794132,0.004959426594995002,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,25,-0.003765887804077228,-0.014278700841430967,0.004620229342895621,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,26,-0.0039005861955865306,-0.014581334699688097,0.004288165693524611,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,27,-0.004035780378741248,-0.014601752371685036,0.0038209333854899467,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,28,-0.004169357553401798,-0.014873010005387363,0.003422763927435629,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,29,-0.004290886373320112,-0.014690769856038148,0.0030034187893536483,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,30,-0.004401461914903981,-0.014601608509452536,0.0027145628274370002,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,31,-0.004503054449315589,-0.014804608467782884,0.0026045492332450663,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,32,-0.004585658813844098,-0.014847210127912647,0.0022463020109806885,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,33,-0.004648137208176661,-0.014853262917822381,0.001996574803280881,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,34,-0.004691995111600308,-0.014663421849409905,0.002059865508137023,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,35,-0.004710055538834282,-0.014722398048737878,0.0020837652691118366,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,36,-0.004702722427860888,-0.014654649167780948,0.0021721729363217606,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,37,-0.004670309932624533,-0.014456180831433477,0.002041684688187965,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,38,-0.00460948499145181,-0.014083862348489639,0.001972338002040361,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,39,-0.004522468518145693,-0.013762214808059009,0.0020192296803242136,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,yield_5y,40,-0.004410929807784326,-0.013697016776639122,0.002108626356076056,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,0,0.08477354776507508,-0.029305336692258543,0.1890570460408668,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,1,0.08357194386487228,-0.010212498648301746,0.1710257819582878,FALSE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,2,0.10092697245610718,0.004205522279258971,0.1887660247033181,TRUE
z_jk_bs_purif_r6q5_full,z_jk_bs_purif,6,5,full,price_core_ipca_ex0,3,0.09999518842116936,-0.0037786893149549007,0.18986724462024265,FALSE
