sample,r,q,p,instrument,mp_var,n_obs_align,wald_mp,f_robust_mp,fs_beta,fs_se,fs_p,impact_mp_pre,sign_mp,score_hard,n_hard_avail,score_ext,n_ext_avail,fx_channel,risk_channel,yield_ordering_ok,magnitude_flag,h0_yield6m,h0_yield2y,h0_yield5y,h0_ibov,h0_cambio,dfm_max_eig,failure_class,err_msg,denom_ratio
full,5,4,6,z_bs_purif,juros_selic,147,0.012513433268895577,0.009777512341234643,-6.76295929831119e-5,6.839472179078174e-4,0.9214046676582488,-4.782826926937137e-5,-1,0,4,2,3,apreciacao,standard,FALSE,TRUE,-0.20438647019196,-0.5445067194245294,-0.7313136731181221,300.8285869787805,-20.76748048981601,0.9654973075567307,negative_control,NA,0.13850378119298332
full,5,4,6,z_jk_bs_purif,yield_3m,147,3.868596244312616,4.901330958454387,3.189175139047495e-5,1.440526843265356e-5,0.02880870249908139,2.3153911856194688e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.008645569261113664,0.01972916463704295,0.024380212772623526,-12.839347770969928,0.6453699277983134,0.9654973075567307,weak_xi_mp,NA,0.9986256774593569
full,5,4,6,z_jk_bs_purif,yield_6m,147,4.769182441787656,6.853932184994816,5.5144469100988034e-5,2.106357378689803e-5,0.010034772106851756,4.00357497236904e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.011409985878999003,0.01409983081292384,-7.425391771898228,0.3732373822398718,0.9654973075567307,weak_xi_mp,NA,0.9805895173228173
full,5,4,6,z_jk_bs_purif,yield_1y,147,5.269432044680356,8.093431162395794,8.861957957195275e-5,3.115037984010739e-5,0.005260636572926969,6.433920511339606e-5,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0031113027937731364,0.0070999841884483265,0.008773768599995698,-4.620528432953402,0.232250902020697,0.9654973075567307,weak_xi_mp,NA,0.9091048660515766
full,5,4,6,z_jk_bs_purif,yield_2y,147,5.542395212760944,8.735065640083992,1.2583952274969042e-4,4.257787436062249e-5,0.003787644383728358,9.136146780048914e-5,1,3,3,1,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.002191063184925979,0.005,0.006178724041576473,-3.253900509011698,0.1635573374927857,0.9654973075567307,weak_xi_mp,NA,0.9145085621907191
full,5,4,6,z_jk_bs_purif,juros_selic,147,0.29322706072250637,0.24003516558395874,4.4961602679560936e-4,9.177076412242805e-4,0.6251140732720514,3.2642828944363705e-4,1,4,4,1,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.06132395845949375,0.13994110001342902,0.1729314878115263,-91.07088331307071,4.577678744801618,0.9654973075567307,negative_control,NA,0.9452893250572679
full,6,5,6,z_bruto,yield_3m,147,2.700727923231676,2.2390908575906345,2.0788421979401503e-5,1.389266826397473e-5,0.1374500422820757,1.3402027072324071e-5,1,4,4,3,3,depreciacao,fiscal_dominance,FALSE,TRUE,0.009405381876009125,0.022403100754451618,0.027309030580016835,-6.2596589787365655,0.6678665014760248,0.9736805284239931,weak_xi_mp_severe,NA,0.5780279568978132
full,6,5,6,z_bruto,yield_6m,147,3.326110324450143,2.8158755965468645,3.9104609463131266e-5,2.3303503618196717e-5,0.09620101423422903,2.521023650556409e-5,1,3,3,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.005,0.011909724161012837,0.014517768092795695,-3.327700598049855,0.35504486169753086,0.9736805284239931,weak_xi_mp_severe,NA,0.6174704811873932
full,6,5,6,z_bruto,yield_1y,147,3.7912433458595727,3.213637383216111,6.495074121050196e-5,3.6231446756407285e-5,0.07580074262971175,4.187290372183689e-5,1,4,4,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.003010328191356938,0.007170435678636359,0.008740649313065027,-2.003494184540964,0.2137603112729005,0.9736805284239931,weak_xi_mp_severe,NA,0.591658856557822
full,6,5,6,z_bruto,yield_2y,147,4.186232924106257,3.5193064395478633,9.314502242584757e-5,4.965135551438451e-5,0.06333309280519155,6.004939256303288e-5,1,3,3,3,3,depreciacao,fiscal_dominance,FALSE,FALSE,0.0020991250227137027,0.005,0.006094922055508406,-1.3970519186931605,0.14905671067504261,0.9736805284239931,weak_xi_mp,NA,0.601081451243401
