instrument,r,q,sample,cfg,var,esign,f_factor,wald_mp,h0,h6,h12,h24,peak_h,peak_val,sign_h0,sign_ok_h0,share_sign_ok,n_sig90
z_jk,6,5,full,r6q5·full,spread_icc_juridica,1,8.270692938202027,5.473533304545747,-0.02869972432669049,-0.05500975552413968,0.006542280178379278,0.0769042509415855,25,0.07703944336244628,-1,FALSE,0.7073170731707317,2
z_jk,6,5,full,r6q5·full,spread_icc_fisica,1,8.270692938202027,5.473533304545747,-0.0012498602627435869,-0.052186225766839,0.034345827520263515,0.11626558479169312,24,0.11626558479169312,-1,FALSE,0.7317073170731707,0
z_jk,6,5,full,r6q5·full,credit_outstanding,-1,8.270692938202027,5.473533304545747,0.39078936105132467,0.3268928656678938,-0.11633301463647161,-0.683477244566566,37,-0.8889324796373166,1,FALSE,0.7317073170731707,2
z_jk,6,5,full,r6q5·full,credito_pessoa_fisica,-1,8.270692938202027,5.473533304545747,0.024984352363399687,0.027975236397348446,-0.14150764357918622,-0.3565034713839288,40,-0.7246631823570548,1,FALSE,0.8780487804878049,0
z_jk,6,5,full,r6q5·full,price_ipca,-1,8.270692938202027,5.473533304545747,0.09355212045164624,0.14763183675386982,0.013651147501047544,-0.020301096898870764,4,0.1893107308721989,1,FALSE,0.5365853658536586,0
z_jk,6,5,full,r6q5·full,price_core_ipca_ex0,-1,8.270692938202027,5.473533304545747,0.06136605195617545,0.08547793205428522,0.054053828563039065,0.06690957370305106,5,0.10383621801587578,1,FALSE,0,0
z_jk,6,5,full,r6q5·full,cds_5y,-1,8.270692938202027,5.473533304545747,5112.242889628663,3483.4144353047013,937.1621452520401,-1389.5335319713804,1,5470.998487013584,1,FALSE,0.6097560975609756,8
z_jk,6,5,pre_covid,r6q5·pre_covid,asset_ibov,-1,15.17164547988407,12.718135399213438,-0.14232978378062888,-0.005216591740260176,-0.015081543627498445,-0.012752795328566309,0,-0.14232978378062888,-1,TRUE,0.8292682926829268,1
z_jk,6,5,pre_covid,r6q5·pre_covid,cambio_usd,-1,15.17164547988407,12.718135399213438,0.07044080233602791,-0.05334055867050533,0.026159763509393367,-0.017120098123396522,1,0.12758379399106956,1,FALSE,0.6829268292682927,0
z_jk,6,5,pre_covid,r6q5·pre_covid,yield_6m,1,15.17164547988407,12.718135399213438,0.005,0.004240633464890989,0.005127237296530858,0.0015988709335336383,3,0.005267374674641778,1,TRUE,0.6829268292682927,5
z_jk,6,5,pre_covid,r6q5·pre_covid,yield_5y,1,15.17164547988407,12.718135399213438,0.008648002694905574,-2.476533947852718e-5,0.0026281998852480787,-0.0016913057021095725,0,0.008648002694905574,1,TRUE,0.3902439024390244,2
z_jk,6,5,pre_covid,r6q5·pre_covid,spread_icc_juridica,1,15.17164547988407,12.718135399213438,-0.03401016681262602,0.04935936864891583,0.0767200129785172,0.14688705764658674,33,0.16207179675023356,-1,FALSE,0.9512195121951219,0
z_jk,6,5,pre_covid,r6q5·pre_covid,spread_icc_fisica,1,15.17164547988407,12.718135399213438,0.044619784472096455,0.21710507891014114,0.29342194273237743,0.45229606431887526,28,0.4631787412556831,1,TRUE,1,0
z_jk,6,5,pre_covid,r6q5·pre_covid,credit_outstanding,-1,15.17164547988407,12.718135399213438,0.12925313815763673,-0.48088101100328684,-0.6639845310421277,-1.257712711910286,33,-1.4221663522246741,1,FALSE,0.926829268292683,0
z_jk,6,5,pre_covid,r6q5·pre_covid,credito_pessoa_fisica,-1,15.17164547988407,12.718135399213438,0.13664858023096915,-0.052911295557489524,-0.18969327373422606,-0.704383011924592,36,-0.964269806008422,1,FALSE,0.8780487804878049,3
z_jk,6,5,pre_covid,r6q5·pre_covid,price_ipca,-1,15.17164547988407,12.718135399213438,-0.09407094472832023,-0.17234575397717128,-0.1562952655945125,-0.14463424796401766,9,-0.20199978783237807,-1,TRUE,0.926829268292683,0
z_jk,6,5,pre_covid,r6q5·pre_covid,price_core_ipca_ex0,-1,15.17164547988407,12.718135399213438,-0.05894971627196695,-0.0489609438582188,-0.03294481693808022,-0.019908680979218437,2,0.09012657751328504,-1,TRUE,0.8048780487804879,0
z_jk,6,5,pre_covid,r6q5·pre_covid,cds_5y,-1,15.17164547988407,12.718135399213438,4149.427558355613,921.4979816108062,2944.041580675685,1636.1011208691582,1,4463.12156124298,1,FALSE,0.21951219512195122,2
z_jk,7,6,full,r7q6·full,asset_ibov,-1,8.407040573489137,5.332252738925228,-0.08159895848673615,0.006126909471601686,0.011577195413120587,1.1700695102542395e-4,0,-0.08159895848673615,-1,TRUE,0.43902439024390244,1
z_jk,7,6,full,r7q6·full,cambio_usd,-1,8.407040573489137,5.332252738925228,0.2361600975574682,0.21698828193086736,0.06188511902960328,-0.05912036072588818,1,0.3218710580584998,1,FALSE,0.5853658536585366,8
z_jk,7,6,full,r7q6·full,yield_6m,1,8.407040573489137,5.332252738925228,0.005,0.0026520900016729436,-0.0011636688805136061,-0.004371945363622958,1,0.006458048465231736,1,TRUE,0.24390243902439024,3
z_jk,7,6,full,r7q6·full,yield_5y,1,8.407040573489137,5.332252738925228,0.011873133958253075,0.006806026570735792,3.8736954888341564e-4,-0.003214321050944651,1,0.013446464193948775,1,TRUE,0.3170731707317073,6
z_jk,7,6,full,r7q6·full,spread_icc_juridica,1,8.407040573489137,5.332252738925228,-0.020856485358911145,-0.049719406016860104,0.012180875175305193,0.049589840458107,3,-0.057546094153252146,-1,FALSE,0.6585365853658537,1
