sample,r,q,p,instrument,mp_var,response_var,theory_sign,tier,score_h,h0,h6,h12,h24,peak_h,peak_val,sign_at_score_h,consistent,mechanical
pre_covid,5,4,6,z_jk_purif,yield_1y,yield_6m,1,hard,0,0.004053733772415001,0.0027363696054226385,0.0023209070966951208,-0.0011601230715325473,3,0.00427693012286582,1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_1y,yield_2y,1,hard,0,0.006228619859940977,0.0011980394405676326,0.0011889715767690017,-0.0024405338773349893,0,0.006228619859940977,1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_1y,yield_5y,1,hard,0,0.007342015105244848,-1.6732965562544258e-4,3.523355703497181e-4,-0.0023955633447255978,0,0.007342015105244848,1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_1y,asset_ibov,-1,hard,0,-0.09445518772097287,-0.007001313208617579,-0.025323170579568687,-0.027101541026237196,0,-0.09445518772097287,-1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_1y,price_ipca,-1,ext,24,-0.054401284916760384,-0.051669733839628175,-0.0018055064453970941,0.032209059030804475,2,0.15847178061439338,1,FALSE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_1y,pib,-1,ext,24,0.06143381804364356,0.0873591234273885,-6.038559217880213e-4,-0.24104496859105318,24,-0.24104496859105318,-1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_1y,vendas_varejo,-1,ext,24,-0.8037295119072191,-0.9905679776931643,-1.1180964311382267,-0.8820890890586498,14,-1.1406081155361127,-1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_1y,cambio_usd,-1,soft,0,0.0852999647664681,-0.05399390116092724,-0.040668523862992946,-0.0590035536826656,1,0.0922063349356707,1,FALSE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_1y,cds_5y,-1,soft,0,3698.1252901504954,206.12663101226565,586.3747481117526,-652.331515660224,0,3698.1252901504954,1,FALSE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_1y,embi_perc,-1,soft,0,0.355344638895927,0.05685876793135969,0.08865930361818138,-0.051555965682254956,0,0.355344638895927,1,FALSE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_2y,yield_6m,1,hard,0,0.0032541187803789124,0.0021966098966975395,0.0018630990081943402,-9.312842151387456e-4,3,0.0034332887694532932,1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_2y,yield_2y,1,hard,0,0.005,9.617214306758042e-4,9.544422388142569e-4,-0.0019591289340285057,0,0.005,1,TRUE,TRUE
pre_covid,5,4,6,z_jk_purif,yield_2y,yield_5y,1,hard,0,0.005893773637129961,-1.3432322038274802e-4,2.828359879656044e-4,-0.001923029016534249,0,0.005893773637129961,1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_2y,asset_ibov,-1,hard,0,-0.07582352900395815,-0.005620276534811617,-0.020328075198835983,-0.02175565505332831,0,-0.07582352900395815,-1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_2y,price_ipca,-1,ext,24,-0.04367041667339439,-0.041477674831256924,-0.0014493631703301633,0.025855694965392938,2,0.12721259619132952,1,FALSE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_2y,pib,-1,ext,24,0.04931276754951419,0.07012115138032016,-4.8474324569891536e-4,-0.19354394241709594,24,-0.19354394241709594,-1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_2y,vendas_varejo,-1,ext,24,-0.6451906923043745,-0.7951745330164933,-0.8975474954967166,-0.7080935334742106,14,-0.9156186612638465,-1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_2y,cambio_usd,-1,soft,0,0.06847420992495472,-0.043343390971879676,-0.03264649695878079,-0.047364869754007374,1,0.0740182713097412,1,FALSE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_2y,cds_5y,-1,soft,0,2968.6554752962074,165.46733919175068,470.71001385314054,-523.6565485844288,0,2968.6554752962074,1,FALSE,FALSE
pre_covid,5,4,6,z_jk_purif,yield_2y,embi_perc,-1,soft,0,0.28525150586031617,0.04564315146044126,0.0711709059244318,-0.04138634789211836,0,0.28525150586031617,1,FALSE,FALSE
pre_covid,5,4,6,z_jk_purif,juros_selic,yield_6m,1,hard,0,0.008745451817304935,0.005903394224210412,0.005007082932951504,-0.002502828501780808,3,0.009226971581120869,1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,juros_selic,yield_2y,1,hard,0,0.013437511669882262,0.0025846285895763967,0.002565065744459026,-0.005265163582762408,0,0.013437511669882262,1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,juros_selic,yield_5y,1,hard,0,0.015839530405715656,-3.609939682858687e-4,7.601223777900976e-4,-0.005168144970240236,0,0.015839530405715656,1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,juros_selic,asset_ibov,-1,hard,0,-0.20377591116846877,-0.01510450630489931,-0.05463174954212054,-0.05846837373300643,0,-0.20377591116846877,-1,TRUE,FALSE
pre_covid,5,4,6,z_jk_purif,juros_selic,price_ipca,-1,ext,24,-0.11736434673547162,-0.11147134791691936,-0.003895166903041824,0.06948724056607673,2,0.34188414917540205,1,FALSE,FALSE
