tag,instrument,r,q,sample,var,theory_sign,h0,share_correct,verdict
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,spread_icc_juridica,1,-0.03222389967399579,0.8461538461538461,coerente
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,spread_icc_fisica,1,0.05002036714022475,1,coerente
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,ibc_br,-1,-0.6197788003344334,1,coerente_forte
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,trab_tx_desemprego,1,0.06377474829142595,1,coerente
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,price_ipca,-1,-0.08957410928149072,1,coerente
z_jk_purif_r6q5_pre_covid,z_jk_purif,6,5,pre_covid,price_core_ipca_ex0,-1,-0.05808418644215922,0.8918918918918919,coerente
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,asset_ibov,-1,-0.09635885310126399,0.2857142857142857,incoerente
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,cambio_usd,-1,0.2505623929286711,0,soft_depreciacao_fiscal_dom
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,embi_perc,-1,0.46911297074547753,0,soft_risco_abre_fiscal_dom
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,credit_outstanding,-1,0.36086304983997675,0.8387096774193549,coerente
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,credito_pessoa_fisica,-1,-0.032558796901516196,1,coerente
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,spread_icc_juridica,1,-0.022640550857136496,0.07692307692307693,incoerente
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,spread_icc_fisica,1,0.015063486252638774,0.3076923076923077,incoerente
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,ibc_br,-1,-1.0421616847151136,1,coerente_forte
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,trab_tx_desemprego,1,0.004584108033912714,1,coerente
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,price_ipca,-1,0.005943378934949931,0.5945945945945946,parcial
z_jk_purif_r7q6_full,z_jk_purif,7,6,full,price_core_ipca_ex0,-1,0.03545869169102764,0,incoerente
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,asset_ibov,-1,-0.09488145146020652,0.2857142857142857,incoerente
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,cambio_usd,-1,0.12801303531402744,0.42857142857142855,soft_depreciacao_fiscal_dom
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,embi_perc,-1,0.47328198233928526,0.7142857142857143,soft_risco_abre_fiscal_dom
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,credit_outstanding,-1,0.05148222297375327,0,incoerente
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,credito_pessoa_fisica,-1,-0.1110712141307868,0.06451612903225806,incoerente
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,spread_icc_juridica,1,0.027332698061888157,0.46153846153846156,incoerente
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,spread_icc_fisica,1,0.09280033436906963,0.46153846153846156,incoerente
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,ibc_br,-1,-1.3558078799137614,0.13636363636363635,incoerente
z_jk_purif_r7q6_pre_covid,z_jk_purif,7,6,pre_covid,trab_tx_desemprego,1,-0.01452594401900509,0,incoerente
