var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
price_ipca_difusao,35,0.11228611944542768,-1.1333886572235872,0.9095117306891694,-2.099375901985837,1.830487333090803,1,FALSE,FALSE
price_ipca_difusao,36,0.23509616171230135,-0.9927286305603674,1.063515023479597,-1.7967399407377322,1.9924405555725773,1,FALSE,FALSE
price_ipca_difusao,37,0.3541427244397145,-0.836219667500268,1.19173206130101,-1.6181353988017608,2.1781260212795495,1,FALSE,FALSE
price_ipca_difusao,38,0.4668590047811248,-0.7088474669491247,1.340782056769841,-1.4791230055745392,2.336485143423608,1,FALSE,FALSE
price_ipca_difusao,39,0.5733462819411231,-0.5910715486877687,1.451050850062575,-1.3294688326444144,2.4664613510544053,1,FALSE,FALSE
price_ipca_difusao,40,0.6729769166600693,-0.45877333042003715,1.5963971569930897,-1.1834411327905427,2.6097930533709186,1,FALSE,FALSE
price_ipca_difusao,41,0.7639083306147189,-0.3074637041944155,1.6773605187532412,-1.023572607955814,2.7134905694608147,1,FALSE,FALSE
price_ipca_difusao,42,0.8456796411366102,-0.15608199408553552,1.7684935681667442,-0.8898310352854023,2.8651715471386523,1,FALSE,FALSE
price_ipca_difusao,43,0.9180366599425913,-0.09038565097053855,1.8840340204289208,-0.7934381764542582,2.902082822880416,1,FALSE,FALSE
price_ipca_difusao,44,0.9799081709199379,-0.003051053627172232,1.9746544992385733,-0.7336672114181739,2.985131274285783,1,FALSE,FALSE
price_ipca_difusao,45,1.0307839800495315,0.046348287343526466,2.0784130078163434,-0.6268019070246105,3.025963179631818,1,TRUE,FALSE
price_ipca_difusao,46,1.0706380468864267,0.10147286198768815,2.1419795999032987,-0.5547940671513095,3.219533763252915,1,TRUE,FALSE
price_ipca_difusao,47,1.0990771657693899,0.13322083776652702,2.1893829771492275,-0.5253694804711656,3.444064602139849,1,TRUE,FALSE
price_ipca_difusao,48,1.1158536554454197,0.14500339744437413,2.244719257776962,-0.46321963736278915,3.5959039819551135,1,TRUE,FALSE
price_core_ipca_ex0,0,-0.012422390899492415,-0.07618787221380371,0.04573379977432736,-0.12534207504851635,0.08779387644893517,-1,FALSE,FALSE
price_core_ipca_ex0,1,-0.0058498746741345135,-0.06492935047191976,0.03800134560105355,-0.11084772674443885,0.0685277798629713,-1,FALSE,FALSE
price_core_ipca_ex0,2,0.05429739691776003,-0.013755008602056563,0.07139129018764676,-0.0469474411467161,0.10299137188557042,1,FALSE,FALSE
price_core_ipca_ex0,3,0.007175861841732071,-0.06075655730480175,0.03805246578545886,-0.09724294753934398,0.07916390546902227,1,FALSE,FALSE
price_core_ipca_ex0,4,0.026406792718316485,-0.03711362350215646,0.051279190514218496,-0.07063808443347308,0.08788559486749524,1,FALSE,FALSE
price_core_ipca_ex0,5,0.05124755534327105,-0.017215124218979375,0.06528129072800148,-0.0486413932889453,0.0991357248508526,1,FALSE,FALSE
price_core_ipca_ex0,6,0.0016468409024150393,-0.058548562462790235,0.02927520132568797,-0.09340694092060207,0.06438481606276152,1,FALSE,FALSE
price_core_ipca_ex0,7,0.002551478542401475,-0.05104606768638639,0.03338205584693405,-0.08742915121288823,0.06022578330179547,1,FALSE,FALSE
price_core_ipca_ex0,8,-4.7935733480864656e-5,-0.050790695591645375,0.028184507460845346,-0.08543246321436275,0.05745024532496228,-1,FALSE,FALSE
price_core_ipca_ex0,9,-0.03323677276477895,-0.07642530293174012,0.0027420255140144117,-0.1099251957335285,0.03278648766072203,-1,FALSE,FALSE
