tag,instrument,r,q,sample,f_factor,wald_mp,dfm_max_eig,mp_impact,curve_slope,argmax_mat,curve_ok,nucleo_share,nucleo_h0,nucleo_puzzle,cambio_h0,fx_wrong_sig,cds_h0,cds_wrong_sig,n_contam,clean
z_jk_purif_r8q8_full,z_jk_purif,8,8,full,11.76463930966032,5.279797588604101,0.9800073730917406,0.005,0.00915862425696964,yield_5y,FALSE,0,0.042460175854034395,TRUE,0.24000406993904566,TRUE,5614.140753486986,TRUE,3,FALSE
z_jk_purif_r8q8_pre_covid,z_jk_purif,8,8,pre_covid,8.070196451387407,4.9853719362033155,1.0005636406944047,0.005,-0.0036704619715301925,yield_1y,FALSE,0.7297297297297297,-0.021590616155981398,FALSE,-0.022139656434970973,FALSE,239.694242419296,FALSE,1,FALSE
z_jk_raw_purif_r6q5_full,z_jk_raw_purif,6,5,full,5.527446621003156,6.612445704397418,0.9801840973162619,0.005,0.005519101872910187,yield_5y,FALSE,0,0.08350523883304256,TRUE,0.19040864317271747,TRUE,3370.8379323431323,TRUE,3,FALSE
z_jk_raw_purif_r6q5_pre_covid,z_jk_raw_purif,6,5,pre_covid,11.945824783219738,10.800319787200465,0.9894543448006934,0.005,0.004084905347782177,yield_5y,FALSE,0.8108108108108109,-0.11413970264014422,FALSE,0.08178666408681673,FALSE,3962.4108794401086,FALSE,1,FALSE
z_jk_raw_purif_r7q6_full,z_jk_raw_purif,7,6,full,6.7831218438513385,9.339472004923158,0.9803559968450436,0.005,0.006339463503587469,yield_5y,FALSE,0,0.008457943266351249,TRUE,0.1446671534024614,TRUE,2879.9944037266764,TRUE,3,FALSE
z_jk_raw_purif_r7q6_pre_covid,z_jk_raw_purif,7,6,pre_covid,2.7202522260730544,6.375774053899113,0.9964816815029509,0.005,0.0059176976452092475,yield_2y,FALSE,0.7297297297297297,0.03973030130650544,FALSE,0.1616487115043125,FALSE,4285.991063772993,FALSE,1,FALSE
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,5.091289636266244,12.396276712512693,0.9800073730917406,0.005,0.004571607320456772,yield_2y,FALSE,0.4594594594594595,0.01644814305083361,TRUE,0.1165304079783035,TRUE,2431.9685851911795,TRUE,3,FALSE
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,4.214421099329528,4.587386916152006,1.0005636406944047,0.005,-0.003598995922913182,yield_1y,FALSE,0.7837837837837838,-0.14540229426765947,FALSE,0.016677662909660287,FALSE,628.2605262514494,FALSE,1,FALSE
z_bruto_r6q5_full,z_bruto,6,5,full,4.8218075229485695,5.389953334537411,0.9801840973162619,0.005,0.006526822362922739,yield_5y,FALSE,0,0.08531459420613156,TRUE,0.2256366814737977,TRUE,4201.56443267203,TRUE,3,FALSE
z_bruto_r6q5_pre_covid,z_bruto,6,5,pre_covid,9.762191641606597,11.617880750934251,0.9894543448006934,0.005,0.002123708066624674,yield_5y,FALSE,0.8108108108108109,-0.09453450953000302,FALSE,0.03520086995480876,FALSE,3245.902495854437,FALSE,1,FALSE
