tag,r,q,sample,mp_var,f_factor,wald_mp,dfm_max_eig,mp_impact,var,theory_sign,h0,sig90_h0,h_first_signflip,extreme_h,extreme_val,n_reversals,share_correct,verdict
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,yield_10y,1,0.007101211187024085,FALSE,4,0,0.007101211187024085,6,0.5714285714285714,parcial
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,price_ipca,-1,-0.2531873684888411,FALSE,1,0,-0.2531873684888411,17,1,coerente
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,price_core_ipca_ex0,-1,-0.10460926690920204,FALSE,2,0,-0.10460926690920204,21,0.8108108108108109,coerente
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,price_core_ipca_ex1,-1,-0.06625991377510367,FALSE,1,9,-0.15583659817065262,10,1,coerente
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,price_core_ipca_dw,-1,-0.08896456952222408,FALSE,2,9,-0.11135759013086521,18,1,coerente
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,pib,-1,0.25195733633456285,FALSE,14,40,-0.5489073104677056,11,0.5,parcial
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,ibc_br,-1,-0.35104816023726904,FALSE,1,25,-0.9090715061201772,12,1,coerente
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,cambio_usd,-1,0.08994952717353352,FALSE,3,5,-0.07279221106877592,13,0.5714285714285714,soft_depreciacao_fiscal_dom
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,cds_5y,-1,4083.21850423877,TRUE,5,40,-655.933061031218,10,0.14285714285714285,soft_risco_abre_fiscal_dom
r6q5_pre_covid_yield_6m,6,5,pre_covid,yield_6m,11.658939965686008,12.486667913216092,0.9894543448006934,0.005,embi_perc,-1,0.39046376411380856,TRUE,33,40,-0.10600126131345007,10,0,soft_risco_abre_fiscal_dom
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,yield_3m,1,0.003272282743431127,TRUE,14,27,-0.004434444790330115,4,1,coerente_forte
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,yield_6m,NA,0.005,TRUE,13,3,0.005558834780720188,6,NA,NA
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,yield_1y,1,0.006756131662003152,TRUE,12,1,0.007485953486217697,6,1,coerente_forte
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,yield_2y,1,0.00802700739545289,TRUE,12,1,0.00902934200350644,6,1,coerente_forte
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,yield_5y,1,0.007980534676952762,TRUE,12,1,0.00894662614231471,8,1,coerente_forte
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,yield_10y,1,0.006951406379337591,TRUE,12,1,0.007790767365980439,6,1,coerente_forte
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,price_ipca,-1,-0.06597012173074433,FALSE,2,12,-0.09997241713752346,10,0.4864864864864865,incoerente
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,price_core_ipca_ex0,-1,0.01951257413959246,FALSE,16,23,-0.024055345591789918,8,0.4594594594594595,incoerente
r8q8_full_yield_6m,8,8,full,yield_6m,5.27028232509031,13.12831927597384,0.9800073730917406,0.005,price_core_ipca_ex1,-1,-0.04148519882991322,FALSE,4,12,-0.056946288539861306,10,0.6756756756756757,parcial
