group,var,tier,theory_sign,w_lo,w_hi,h0,h3,h6,h12,h24,h36,h48,peak_h,peak_val,share_correct,first_correct_h,right_sig68,right_sig90,wrong_sig90,contain0_share,channel,verdict
credito_setorial,credito_construcao,ambiguous,NA,6,36,0.6080613786000333,0.9360242964386423,0.797957249305381,0.14550987038675078,-0.9192587308665012,-1.3135625933793804,-1.1961986589550166,38,-1.3230195621905305,NA,NA,NA,NA,NA,NA,NA,ambigua
precos,price_ipca,scored,-1,12,48,-0.045129593487767815,-0.03784578203550525,-0.034188081198144385,-0.1379423118873133,-0.29638853944454563,-0.2967206552086224,-0.2141902675836396,30,-0.3112701338740573,1,12,TRUE,TRUE,FALSE,NA,NA,coerente_forte
precos,price_ipca_difusao,scored,-1,12,48,0.331061912922963,0.4345374428036234,0.34577267533432454,-0.5651599114059633,-1.9827552627512322,-2.2122238693770746,-1.73667614838709,33,-2.239804692019482,1,12,TRUE,TRUE,FALSE,NA,NA,coerente_forte
precos,price_core_ipca_ex0,scored,-1,12,48,0.029362996405483194,0.05126661896681435,0.056018359544168894,0.004595558546812719,-0.10743466845562498,-0.14688942941616173,-0.12975785698416004,37,-0.14723232809564826,0.972972972972973,13,TRUE,TRUE,FALSE,NA,NA,coerente_forte
precos,price_core_ipca_ex1,scored,-1,12,48,-0.013085089921924045,-0.021428233530550088,-0.017951065846258506,-0.07166245769134673,-0.15720885793117037,-0.15718727590545806,-0.11317317861126636,30,-0.16507186395943219,1,12,TRUE,TRUE,FALSE,NA,NA,coerente_forte
precos,price_core_ipca_dw,scored,-1,12,48,0.007841968325663362,0.021200166630280064,0.01717045914819761,-0.04045835161680632,-0.1305175585730713,-0.14458284715291503,-0.11314476347535654,33,-0.14653753765991262,1,12,TRUE,TRUE,FALSE,NA,NA,coerente_forte
precos,price_inpc,scored,-1,12,48,-0.06356299876413435,-0.0719040604604954,-0.07437436772662488,-0.17522454741194907,-0.30151040872280255,-0.27579974272109004,-0.18383756947972316,27,-0.3052480504927681,1,12,TRUE,TRUE,FALSE,NA,NA,coerente_forte
precos_ambiguos,price_igp_m,ambiguous,NA,12,48,0.06626930834433493,0.14361739334352047,0.05749009946913656,-0.1957707988677354,-0.4426204080088342,-0.44538343876101766,-0.3320573389029792,30,-0.4644488928585489,NA,NA,NA,NA,NA,NA,NA,ambigua
precos_ambiguos,price_ipp,ambiguous,NA,12,48,0.34208970525576154,0.3563762405177414,0.13359373483961529,-0.19674405584243143,-0.3384819887437485,-0.2797484077969658,-0.18031468780081084,1,0.47097444725540377,NA,NA,NA,NA,NA,NA,NA,ambigua
commodity_domestica,commodity_metal,ambiguous,NA,0,24,6.432703221345029,8.945454251152558,5.931055817426869,-1.6631236931815159,-9.926747023752919,-11.74399984363379,-9.842046374887596,35,-11.764496618029511,NA,NA,NA,NA,NA,NA,NA,ambigua
