r,q,group,var,tier,theory_sign,w_lo,w_hi,h0,h3,h6,h12,h24,h36,peak_h,peak_val,share_correct,first_correct_h,right_sig68,right_sig90,wrong_sig90,verdict,yield6m_impact,dfm_max_eig
7,7,credito,credito_pessoa_fisica,scored,-1,6,36,0.07554201637287594,0.2235598667459593,0.31575683812565813,0.16220141237297536,-0.41302848059420194,-0.45589484551868953,31,-0.48420620454078245,0.7096774193548387,15,FALSE,FALSE,FALSE,parcial,0.005,0.9803559968450436
7,7,credito,spread_icc_juridica,scored,1,0,12,-0.009694974183514641,5.010837055455361e-4,0.021377032274071842,0.04856428263859382,0.020624103705255473,-0.00880326481669046,11,0.05001386559763122,0.7692307692307693,3,FALSE,FALSE,FALSE,parcial,0.005,0.9803559968450436
7,7,credito,spread_icc_fisica,scored,1,0,12,-0.0025129888942142164,0.01651316778012226,0.06065478334543038,0.11204911143955597,0.01508714523576858,-0.03182907737730908,11,0.11689114109902438,0.8461538461538461,2,TRUE,FALSE,FALSE,coerente_forte,0.005,0.9803559968450436
7,7,atividade,ibc_br,scored,-1,3,24,-0.41352610469505735,-0.1673926085617649,-0.10014554055019886,-0.3726523726098925,-0.0626818691784192,-0.10443934408454744,0,-0.41352610469505735,1,3,FALSE,FALSE,FALSE,coerente,0.005,0.9803559968450436
7,7,trabalho,trab_tx_desemprego,scored,1,6,36,-0.060102719449553685,-0.10711308813307652,-0.14123684051006166,-0.1195758223420658,0.1313631013876553,0.17846280873573947,34,0.1807164403832788,0.6451612903225806,17,FALSE,FALSE,FALSE,parcial,0.005,0.9803559968450436
7,7,precos,price_ipca,scored,-1,12,48,-0.07892409813831093,-0.005671033799576405,0.07568455128339685,-0.07322050366764375,-0.04659831765895219,0.022694487301425027,5,0.15684620900274693,0.5135135135135135,12,FALSE,FALSE,FALSE,parcial,0.005,0.9803559968450436
7,6,acoes,asset_ibov,scored,-1,0,6,-0.022234333160129537,0.006675768121441324,0.010542147644959558,0.014873883709465574,0.001560451020596579,-0.004008591022673102,0,-0.022234333160129537,0.2857142857142857,0,TRUE,FALSE,FALSE,incoerente,0.005,0.9803559968450436
7,6,risco_cambio_soft,cambio_usd,soft,-1,0,6,0.14412043411227532,0.14193605885936134,0.08814245574598178,-2.595547682236237e-4,-0.05191371304721633,0.01448262015682171,1,0.19130056759356442,0,NA,FALSE,FALSE,TRUE,soft_depreciacao_fiscal_dom,0.005,0.9803559968450436
7,6,risco_cambio_soft,embi_perc,soft,-1,0,6,0.20883103045219084,0.13638291444705133,0.08303697630108872,-0.02875295674111385,-0.18192749774169772,-0.11555979583040882,0,0.20883103045219084,0,NA,FALSE,FALSE,TRUE,soft_risco_abre_fiscal_dom,0.005,0.9803559968450436
7,6,credito,credit_outstanding,scored,-1,6,36,-0.0030617318858894293,0.0037637957157166113,0.007922460652731722,-0.344805873389209,-1.0978320692503374,-1.0157571524396114,28,-1.1442597282801392,0.9354838709677419,8,TRUE,FALSE,FALSE,coerente_forte,0.005,0.9803559968450436
7,6,credito,credito_pessoa_fisica,scored,-1,6,36,-0.04475240441613737,0.015729615332760183,0.022564501405586412,-0.2178769155544158,-0.7688723311483403,-0.8272006319478664,31,-0.8575160530776782,0.9354838709677419,8,TRUE,FALSE,FALSE,coerente_forte,0.005,0.9803559968450436
7,6,credito,spread_icc_juridica,scored,1,0,12,-0.020157980073758103,-0.00726312896241031,0.01878582128066592,0.05265176756866537,0.03780311807199195,-0.008249170659153092,11,0.0528198497427505,0.6923076923076923,4,FALSE,FALSE,FALSE,parcial,0.005,0.9803559968450436
7,6,credito,spread_icc_fisica,scored,1,0,12,-0.025560177404495527,-0.006377900019921191,0.04903075365895319,0.10830059970913507,0.03292065741271942,-0.044738938880020916,11,0.11249994506965133,0.6923076923076923,4,FALSE,FALSE,FALSE,parcial,0.005,0.9803559968450436
7,6,atividade,ibc_br,scored,-1,3,24,-0.4753058109620404,-0.21706303746191943,-0.2679293793008879,-0.5586926115911589,-0.19226918740819787,-0.18670171139989045,12,-0.5586926115911589,1,3,FALSE,FALSE,FALSE,coerente,0.005,0.9803559968450436
7,6,trabalho,trab_tx_desemprego,scored,1,6,36,-0.01174618228867122,-0.026752841400737398,-0.03687824110697975,0.010565752274366975,0.24541110871058433,0.31778329069367955,35,0.3183149316307032,0.8064516129032258,12,TRUE,FALSE,FALSE,coerente_forte,0.005,0.9803559968450436
7,6,precos,price_ipca,scored,-1,12,48,-0.06451493733316208,0.029865042619073603,0.10069651681303846,-0.04896256434085037,-0.03676884189887129,0.02606561522381268,5,0.1698605279398694,0.5135135135135135,12,FALSE,FALSE,FALSE,parcial,0.005,0.9803559968450436
6,6,acoes,asset_ibov,scored,-1,0,6,-0.01349614188568727,0.01275355895554679,0.008740295543365398,0.012939265833658323,0.006763149550519333,0.0032021203102328773,2,0.020368767822006053,0.2857142857142857,0,TRUE,FALSE,FALSE,incoerente,0.005,0.9801840973162619
6,6,risco_cambio_soft,cambio_usd,soft,-1,0,6,0.12762644327513706,0.12314242581729883,0.08993624225243034,-0.03227135665469959,-0.07297576321938372,-0.01147942997762065,1,0.16773714409685272,0,NA,FALSE,FALSE,TRUE,soft_depreciacao_fiscal_dom,0.005,0.9801840973162619
6,6,risco_cambio_soft,embi_perc,soft,-1,0,6,0.2106776528712686,0.1739345285323571,0.17312714345859018,0.03399866713226885,-0.10204929935938055,-0.08788392341716027,0,0.2106776528712686,0,NA,FALSE,FALSE,TRUE,soft_risco_abre_fiscal_dom,0.005,0.9801840973162619
6,6,credito,credit_outstanding,scored,-1,6,36,0.3487027110788743,0.49949377830260655,0.5811636258283404,0.3292980725045469,-0.27908535793385036,-0.5367409282709512,6,0.5811636258283404,0.6129032258064516,18,FALSE,FALSE,FALSE,parcial,0.005,0.9801840973162619
6,6,credito,credito_pessoa_fisica,scored,-1,6,36,0.18695072547609826,0.39383653673426,0.48540389394087224,0.3832390144930864,-0.08134051102264284,-0.42806276202292937,7,0.4957846673211197,0.4838709677419355,22,FALSE,FALSE,FALSE,incoerente,0.005,0.9801840973162619
6,6,credito,spread_icc_juridica,scored,1,0,12,-0.00454056286648183,0.0013984025055345682,0.008786637370472562,0.0426316294931735,0.0521725670221181,0.012869019714069813,20,0.05608223132474588,0.6923076923076923,3,FALSE,FALSE,FALSE,parcial,0.005,0.9801840973162619
6,6,credito,spread_icc_fisica,scored,1,0,12,0.0249765597822967,0.030234959254727536,0.0446241522624618,0.09255753957365569,0.08197503900839352,0.012633319676049762,15,0.09887889557957484,0.9230769230769231,0,FALSE,FALSE,FALSE,coerente,0.005,0.9801840973162619
6,6,atividade,ibc_br,scored,-1,3,24,-0.4594857036656794,-0.20457566262138968,-0.1988035025665766,-0.17505010923594705,-0.01402355469419233,-0.15935849444374925,0,-0.4594857036656794,1,3,FALSE,FALSE,FALSE,coerente,0.005,0.9801840973162619
6,6,trabalho,trab_tx_desemprego,scored,1,6,36,-0.08711925941476702,-0.1702979230852453,-0.21370877287766393,-0.20893794492094395,-0.0244825951930927,0.1518703381029363,9,-0.22976652785371474,0.3548387096774194,26,FALSE,FALSE,FALSE,incoerente,0.005,0.9801840973162619
6,6,precos,price_ipca,scored,-1,12,48,0.021543275316853187,0.01659186297284444,0.030521173369727244,-0.06322579012898148,-0.06397350126064348,-0.008221098766525612,5,0.10860155654034814,0.7027027027027027,12,TRUE,FALSE,FALSE,parcial,0.005,0.9801840973162619
6,5,acoes,asset_ibov,scored,-1,0,6,-0.011142483090391588,0.005895008006260295,0.008151954938064018,0.015048867718204698,0.007127550838133462,0.0035298012082907483,2,0.026672823722582117,0.14285714285714285,0,TRUE,FALSE,FALSE,incoerente,0.005,0.9801840973162619
6,5,risco_cambio_soft,cambio_usd,soft,-1,0,6,0.18516757891865593,0.16107225384827628,0.1339692540041655,0.020822725753171203,-0.050989609930773366,-0.010777190834575606,1,0.21976416233476567,0,NA,FALSE,FALSE,TRUE,soft_depreciacao_fiscal_dom,0.005,0.9801840973162619
6,5,risco_cambio_soft,embi_perc,soft,-1,0,6,0.250466766350897,0.1810561197254643,0.18290696994011968,0.025387270376066137,-0.1577744145017049,-0.1486397185382821,0,0.250466766350897,0,NA,FALSE,FALSE,TRUE,soft_risco_abre_fiscal_dom,0.005,0.9801840973162619
6,5,credito,credit_outstanding,scored,-1,6,36,0.2886456726232778,0.32118913586158815,0.3054802387930433,-0.1307175746132372,-0.8139391175674304,-0.9545972342672515,34,-0.9578374849576354,0.8387096774193549,11,TRUE,FALSE,FALSE,coerente_forte,0.005,0.9801840973162619
6,5,credito,credito_pessoa_fisica,scored,-1,6,36,0.07593043817875067,0.21655964732356647,0.19212716559933174,-0.08599614134409128,-0.5179880806592152,-0.7600730228357944,40,-0.7805492359080013,0.8387096774193549,11,FALSE,FALSE,FALSE,coerente,0.005,0.9801840973162619
6,5,credito,spread_icc_juridica,scored,1,0,12,-0.02412472989219484,-0.012703043119189763,-0.002097586046281986,0.028407339334178387,0.06172929511877769,0.021687289490662624,23,0.061753225943322373,0.38461538461538464,8,FALSE,FALSE,FALSE,incoerente,0.005,0.9801840973162619
6,5,credito,spread_icc_fisica,scored,1,0,12,-0.005395131622692522,-0.0030555676681451485,0.029127194525412774,0.07117664148174184,0.08904066008845093,0.01832143310345536,21,0.09101890203111104,0.6923076923076923,4,FALSE,FALSE,FALSE,parcial,0.005,0.9801840973162619
6,5,atividade,ibc_br,scored,-1,3,24,-0.5572155169091417,-0.12048256123825128,-0.4532483824399007,-0.5525258079710325,-0.16351339200438988,-0.2352939327490562,11,-0.5620828511465087,1,3,TRUE,FALSE,FALSE,coerente_forte,0.005,0.9801840973162619
6,5,trabalho,trab_tx_desemprego,scored,1,6,36,-0.025658089273387877,-0.07867705492094053,-0.0947542437124503,-0.021083874183278506,0.13587653978735809,0.2739763801584358,43,0.3094813720410223,0.7419354838709677,14,FALSE,FALSE,FALSE,parcial,0.005,0.9801840973162619
6,5,precos,price_ipca,scored,-1,12,48,0.09793984910350284,0.12186374324417107,0.06962240465601412,-0.02145183934338056,-0.017209745837252648,0.010087313638829807,5,0.13058025942451817,0.5945945945945946,12,FALSE,FALSE,FALSE,parcial,0.005,0.9801840973162619
