tag,r,q,sample,mp_var,var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
r6q5_full_yield_6m,6,5,full,yield_6m,yield_3m,32,-0.0057629789544707604,-0.0123248529506971,9.202456616027469e-4,-0.01982591686884632,0.004776843064322178,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_3m,33,-0.005995585849615332,-0.012669906165256335,7.220294497084492e-4,-0.020297339762674445,0.004500807512367538,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_3m,34,-0.006211721062783023,-0.01275989878166633,7.328105825268576e-4,-0.020606101551966616,0.004424478663715163,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_3m,35,-0.006406879374698994,-0.012878351067235708,6.978181300522961e-4,-0.020599169918720375,0.003737627048488922,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_3m,36,-0.006579112055326746,-0.013072051748437043,4.5601851963155196e-4,-0.02102489337585124,0.00337681973644784,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_3m,37,-0.006724816827707289,-0.013341910530825524,1.9999678066448035e-4,-0.02076217816921607,0.0032606250318347792,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_3m,38,-0.006840752602471589,-0.013283302605935252,2.2983461602697324e-4,-0.02102015024587903,0.00305225074045238,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_3m,39,-0.0069258677867584904,-0.013303261237623053,1.5467667291913312e-4,-0.02087343724449608,0.002735606971811544,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_3m,40,-0.006978886846128522,-0.013086768489166782,1.5163833047525976e-4,-0.020999413583522128,0.0025675672017297893,-1,FALSE,FALSE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,0,0.005,0.005,0.005,0.005,0.005,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,1,0.005815627813491247,0.004541800830644661,0.006474651712621492,0.003787074070687955,0.00725777066666981,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,2,0.005844769390728539,0.003247575923737837,0.006238696168485861,0.0016518553923699313,0.007161494447319431,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,3,0.006378582167810267,0.002908861319498784,0.006831585750195277,7.734245984458922e-4,0.0081207199828356,1,TRUE,TRUE
r6q5_full_yield_6m,6,5,full,yield_6m,yield_6m,4,0.005985048788621556,0.0014705923458485201,0.006392899892272531,-0.0015503781363495628,0.008203832169295652,1,TRUE,FALSE
