var,h,point,lo68,hi68,lo90,hi90,set_type68,set_type90,sign,sig68,sig90
yield_6m,21,-0.0032014299166094194,-0.00866589947530093,0.001362480575283016,-0.015391153855762998,0.005262653915845511,interval,interval,-1,FALSE,FALSE
yield_6m,22,-0.003901171919601174,-0.009462156269237328,7.342003768018131e-4,-0.016318530675734525,0.0046869017669515555,interval,interval,-1,FALSE,FALSE
yield_6m,23,-0.004562086522113097,-0.010229113987933578,1.4576329407023234e-4,-0.017237769097971974,0.004145449096279836,interval,interval,-1,FALSE,FALSE
yield_6m,24,-0.005181412988049592,-0.01096335058633653,-3.999829680479107e-4,-0.0181438724506177,0.0036419163517554354,interval,interval,-1,TRUE,FALSE
yield_6m,25,-0.005756675582036343,-0.011660960556871738,-9.010913049287139e-4,-0.019030394584370332,0.0031785369042679704,interval,interval,-1,TRUE,FALSE
yield_6m,26,-0.006286455816639872,-0.012318532172965626,-0.0013569239690124205,-0.019890387481147433,0.0027562158567524236,interval,interval,-1,TRUE,FALSE
yield_6m,27,-0.006769699239039311,-0.012932847365045673,-0.0017675294063449476,-0.020717116723059124,0.002374715918943457,interval,interval,-1,TRUE,FALSE
yield_6m,28,-0.007205590823614796,-0.01350076083008046,-0.0021333969471808837,-0.021503781362836698,0.0020331104632514197,interval,interval,-1,TRUE,FALSE
yield_6m,29,-0.007593868757820156,-0.014019606552281162,-0.0024555423523693392,-0.022243820018003308,0.0017300226340577617,interval,interval,-1,TRUE,FALSE
yield_6m,30,-0.007934642420496898,-0.01448727503090958,-0.0027352327659330824,-0.0229314760808448,0.0014638669283368064,interval,interval,-1,TRUE,FALSE
yield_6m,31,-0.00822825906436256,-0.014902120265490634,-0.0029738243259861156,-0.02356176213637741,0.0012330337850254113,interval,interval,-1,TRUE,FALSE
yield_6m,32,-0.008475394039422606,-0.015263047122982687,-0.0031727875838110276,-0.02413044846188483,0.0010359775515869684,interval,interval,-1,TRUE,FALSE
yield_6m,33,-0.008677008927826394,-0.015569566135538983,-0.0033336186309478773,-0.024634284876890886,8.713166394620253e-4,interval,interval,-1,TRUE,FALSE
yield_6m,34,-0.00883427166043741,-0.0158217275668198,-0.0034577692512784137,-0.025070985058683323,7.378783787223855e-4,interval,interval,-1,TRUE,FALSE
yield_6m,35,-0.008948564660699142,-0.01602008774256399,-0.003546670550629561,-0.025439114956246945,6.346800621712386e-4,interval,interval,-1,TRUE,FALSE
yield_6m,36,-0.009021469709728041,-0.016165697277250125,-0.0036017249783735867,-0.02573810154130309,5.609244526003979e-4,interval,interval,-1,TRUE,FALSE
yield_6m,37,-0.009054723860048072,-0.016260042224424544,-0.0036242911039018623,-0.025968183048816634,5.15979866462514e-4,interval,interval,-1,TRUE,FALSE
yield_6m,38,-0.009050203840533263,-0.016304980227070463,-0.003615707364480717,-0.026130287800307777,4.99327055105047e-4,interval,interval,-1,TRUE,FALSE
yield_6m,39,-0.00900991201678381,-0.016302694443041645,-0.0035773095432299158,-0.026225959696980435,5.105149173981599e-4,interval,interval,-1,TRUE,FALSE
yield_6m,40,-0.008935949318989254,-0.01625563710726869,-0.003510438267939388,-0.026257285343775496,5.491202335917464e-4,interval,interval,-1,TRUE,FALSE
yield_6m,41,-0.008830495728814105,-0.01616646712079745,-0.0034164588829564803,-0.026226789374465397,6.146965493872194e-4,interval,interval,-1,TRUE,FALSE
yield_6m,42,-0.00869579495406173,-0.016037997319128056,-0.0032967804877696125,-0.02613734583790955,7.067287993870423e-4,interval,interval,-1,TRUE,FALSE
yield_6m,43,-0.00853413489466904,-0.015873144182461524,-0.0031528673016570333,-0.025992103569588372,8.245971554330595e-4,interval,interval,-1,TRUE,FALSE
