r,q,var,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
8,4,asset_ibov,16,0.007743332246608642,-0.007658227749439454,0.018717126861049965,-0.018045352796683636,0.028994865835707925,1,FALSE,FALSE
8,4,asset_ibov,17,0.004906253011331065,-0.008649807000707792,0.01652464115314358,-0.01952084889644367,0.027081578920905642,1,FALSE,FALSE
8,4,asset_ibov,18,0.006185473962535976,-0.006745907516448548,0.01794702461966311,-0.016008946095024953,0.028122776992028618,1,FALSE,FALSE
8,4,asset_ibov,19,0.004763369819480628,-0.006996327149748779,0.016572138765817312,-0.018599251489603914,0.026784980259750134,1,FALSE,FALSE
8,4,asset_ibov,20,0.0021150095924997413,-0.008638322529472121,0.01482293102841235,-0.020177325095477764,0.02508375200894581,1,FALSE,FALSE
8,4,asset_ibov,21,0.0017111533664925364,-0.008410598745341207,0.014685723918031544,-0.019375038821344597,0.024886875069213277,1,FALSE,FALSE
8,4,asset_ibov,22,8.245131387096212e-4,-0.008365201091951744,0.01452355700343505,-0.02143718633522036,0.026013654260875232,1,FALSE,FALSE
8,4,asset_ibov,23,-6.615525807798808e-4,-0.009661073198289644,0.01313054204601434,-0.021004527093344067,0.0233493136568858,-1,FALSE,FALSE
8,4,asset_ibov,24,-9.874001479060661e-4,-0.009165518558683654,0.013187772773868659,-0.021981748656395232,0.024049036799100285,-1,FALSE,FALSE
8,4,asset_ibov,25,-0.0015345321438315449,-0.009727169675547266,0.012741103763428165,-0.02295324884499728,0.024275469373601477,-1,FALSE,FALSE
8,4,asset_ibov,26,-0.0020102052762500174,-0.010006458998227177,0.012251442502101167,-0.021677501492898394,0.02348167062637956,-1,FALSE,FALSE
8,4,asset_ibov,27,-0.0021040771001718294,-0.010098659473435074,0.011681719066779592,-0.021274041704266066,0.024219542846487627,-1,FALSE,FALSE
8,4,asset_ibov,28,-0.0022414576851035478,-0.010645603276222958,0.011760287442194865,-0.02004168011628839,0.02382800544619314,-1,FALSE,FALSE
8,4,asset_ibov,29,-0.002065045219427712,-0.010498170129983966,0.011972467244502023,-0.01999233980384294,0.022641941095209162,-1,FALSE,FALSE
8,4,asset_ibov,30,-0.002111900557871189,-0.010571374007822997,0.011417345422769069,-0.020547238884388683,0.022263033211026077,-1,FALSE,FALSE
8,4,asset_ibov,31,-0.0022350420139992957,-0.010591477681865006,0.011109331578455253,-0.020722619248379568,0.02231497151944984,-1,FALSE,FALSE
8,4,asset_ibov,32,-0.0020145105626884915,-0.01055735010293596,0.011020203769342898,-0.02114322651292899,0.02287105814977489,-1,FALSE,FALSE
8,4,asset_ibov,33,-0.0020329583634437027,-0.010365206994966686,0.010878750359691661,-0.021389531903735166,0.02268656915500002,-1,FALSE,FALSE
8,4,asset_ibov,34,-0.0019853940179151213,-0.010668967792361834,0.010669859251014664,-0.02136257325775111,0.0223040275791334,-1,FALSE,FALSE
