tag,instrument,r,q,sample,var,maturity,h0
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,yield_2y,2,0.007951419125098816
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,yield_5y,5,0.00783867888847623
z_jk_raw_purif_r8q8_full,z_jk_raw_purif,8,8,full,yield_10y,10,0.006793813889335302
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,yield_3m,0.25,0.0037727052435167826
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,yield_6m,0.5,0.005
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,yield_1y,1,0.005826947859250307
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,yield_2y,2,0.004788816040633155
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,yield_5y,5,1.7370932060360066e-4
z_jk_raw_purif_r8q8_pre_covid,z_jk_raw_purif,8,8,pre_covid,yield_10y,10,-0.0013062696866370665
z_bruto_r6q5_full,z_bruto,6,5,full,yield_3m,0.25,0.003152615863108596
z_bruto_r6q5_full,z_bruto,6,5,full,yield_6m,0.5,0.005
z_bruto_r6q5_full,z_bruto,6,5,full,yield_1y,1,0.007076893626368894
z_bruto_r6q5_full,z_bruto,6,5,full,yield_2y,2,0.008864606042282295
z_bruto_r6q5_full,z_bruto,6,5,full,yield_5y,5,0.009679438226031335
z_bruto_r6q5_full,z_bruto,6,5,full,yield_10y,10,0.00878784944061525
z_bruto_r6q5_pre_covid,z_bruto,6,5,pre_covid,yield_3m,0.25,0.004233177700186788
z_bruto_r6q5_pre_covid,z_bruto,6,5,pre_covid,yield_6m,0.5,0.005
z_bruto_r6q5_pre_covid,z_bruto,6,5,pre_covid,yield_1y,1,0.0055684493923269995
z_bruto_r6q5_pre_covid,z_bruto,6,5,pre_covid,yield_2y,2,0.006096104312955655
z_bruto_r6q5_pre_covid,z_bruto,6,5,pre_covid,yield_5y,5,0.006356885766811462
z_bruto_r6q5_pre_covid,z_bruto,6,5,pre_covid,yield_10y,10,0.005255797537586463
z_bruto_r7q6_full,z_bruto,7,6,full,yield_3m,0.25,0.0027641654734447997
z_bruto_r7q6_full,z_bruto,7,6,full,yield_6m,0.5,0.005
z_bruto_r7q6_full,z_bruto,7,6,full,yield_1y,1,0.007445374924420859
z_bruto_r7q6_full,z_bruto,7,6,full,yield_2y,2,0.009525993950651585
z_bruto_r7q6_full,z_bruto,7,6,full,yield_5y,5,0.010174293708651437
z_bruto_r7q6_full,z_bruto,7,6,full,yield_10y,10,0.00902387787892451
z_bruto_r7q6_pre_covid,z_bruto,7,6,pre_covid,yield_3m,0.25,0.003710965979160108
z_bruto_r7q6_pre_covid,z_bruto,7,6,pre_covid,yield_6m,0.5,0.005
z_bruto_r7q6_pre_covid,z_bruto,7,6,pre_covid,yield_1y,1,0.0060122760212761904
z_bruto_r7q6_pre_covid,z_bruto,7,6,pre_covid,yield_2y,2,0.005879270039835999
z_bruto_r7q6_pre_covid,z_bruto,7,6,pre_covid,yield_5y,5,0.003263274955398737
z_bruto_r7q6_pre_covid,z_bruto,7,6,pre_covid,yield_10y,10,0.002136353294946011
z_bruto_r8q8_full,z_bruto,8,8,full,yield_3m,0.25,0.0033203199085278085
z_bruto_r8q8_full,z_bruto,8,8,full,yield_6m,0.5,0.005
z_bruto_r8q8_full,z_bruto,8,8,full,yield_1y,1,0.006761650965602065
z_bruto_r8q8_full,z_bruto,8,8,full,yield_2y,2,0.008174305437054106
z_bruto_r8q8_full,z_bruto,8,8,full,yield_5y,5,0.008470835198757869
z_bruto_r8q8_full,z_bruto,8,8,full,yield_10y,10,0.007490650624202539
z_bruto_r8q8_pre_covid,z_bruto,8,8,pre_covid,yield_3m,0.25,0.004132663925239715
z_bruto_r8q8_pre_covid,z_bruto,8,8,pre_covid,yield_6m,0.5,0.005
