instrument,r,q,sample,cfg,var,h,point,lo68,hi68,lo90,hi90,sig90
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,35,-0.01599851446702341,-0.0826508411052193,0.05752604125622525,-0.1577339289183609,0.10646775125602415,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,36,-0.010777190834575606,-0.07445156714713501,0.06338892811510063,-0.14960547687756193,0.11017760094788852,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,37,-0.005394570876113664,-0.07088401386925879,0.06917750987288517,-0.14184547586026025,0.1129919554550071,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,38,1.1321446157549043e-4,-0.0651976080887013,0.07379972361119122,-0.13221844922052495,0.11776265395368149,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,39,0.005620052357660629,-0.056173202984267354,0.07866265764827558,-0.12881173246630978,0.13306479957128658,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,cambio_usd,40,0.011087966183588167,-0.0490987314490246,0.0820354457358899,-0.12444363590166013,0.1402820836231877,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,0,0.005,0.005,0.005,0.005,0.005,TRUE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,1,0.005815627813491247,0.004541800830644661,0.006474651712621492,0.003787074070687955,0.00725777066666981,TRUE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,2,0.005844769390728539,0.003247575923737837,0.006238696168485861,0.0016518553923699313,0.007161494447319431,TRUE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,3,0.006378582167810267,0.002908861319498784,0.006831585750195277,7.734245984458922e-4,0.0081207199828356,TRUE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,4,0.005985048788621556,0.0014705923458485201,0.006392899892272531,-0.0015503781363495628,0.008203832169295652,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,5,0.005938159029773794,0.001036449777696951,0.006408343951912679,-0.0020145081671568543,0.00840001828923682,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,6,0.005725572462235369,9.040813209598294e-4,0.006750319968994552,-0.002246491465701179,0.008787210492797593,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,7,0.004999739410987468,-1.0364671560319808e-4,0.006264509535348609,-0.003642639461433915,0.008446828173400811,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,8,0.004161079405484858,-0.0011754174891873317,0.005796661235561361,-0.004778999157065933,0.008334027808072953,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,9,0.003248383684001961,-0.001998422840920106,0.005371842329642526,-0.005739100686532123,0.008063285317362182,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,10,0.002489580976903347,-0.0028094436513019156,0.005112460466782411,-0.00650874853332317,0.007734257276279822,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,11,0.0017010434858264823,-0.003338950286699985,0.0048445947989616284,-0.00722230923530315,0.00756127532841664,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,12,9.453174445240675e-4,-0.00369993814041962,0.004700164273093044,-0.008054758192989215,0.007688332782726611,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,13,2.637831472386962e-4,-0.00403194638592225,0.004465057664642214,-0.008681700161198357,0.007701262887686469,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,14,-4.504007516859162e-4,-0.004459626594129854,0.004194976078197532,-0.009618622658706683,0.007650968866345514,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,15,-0.0010347741225547938,-0.005190886421932327,0.004247068157763184,-0.010650831817614911,0.007545643447218995,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,16,-0.0014823976184070444,-0.005748275866385504,0.004478056433357449,-0.0110048336947694,0.007692214048687158,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,17,-0.0019459944345384145,-0.006214569481154832,0.0042868444550893114,-0.01149350003598959,0.007664003067738931,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,18,-0.002349208316574149,-0.00680602611083822,0.004069452191145843,-0.012137188741868523,0.008079683034603324,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,19,-0.002666951859035565,-0.007430608551212395,0.003993548428482824,-0.012603343534750592,0.008216530571797566,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,20,-0.0029889784002792527,-0.007925195260111383,0.0037166814039681834,-0.013301076941835724,0.008063831286002743,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,21,-0.00328326890786371,-0.008485542053125126,0.0034839332891604224,-0.013440359198242971,0.007855146266563268,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,22,-0.0035312140022142682,-0.008679958817652697,0.0033861465721710116,-0.014673714262952999,0.007953294633254655,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,23,-0.003789896603750294,-0.008860694021047754,0.0031760697830590405,-0.015356335295481631,0.007872837797823615,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,24,-0.004051087726794999,-0.009383756235612866,0.002958431004852249,-0.01615994682305289,0.007462382063116725,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,25,-0.004302939774971181,-0.009938867122181427,0.0028409334234873436,-0.0170155196497554,0.007269626956436796,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,26,-0.004560579926010906,-0.010183517523127803,0.002569318645794263,-0.01715530544156235,0.006892001478491384,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,27,-0.00482243708245591,-0.010561790627130002,0.0022091033065402355,-0.0177309321189984,0.006645278738894345,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,28,-0.00508601230303517,-0.01097921821875669,0.001746051768467722,-0.018338522084746553,0.006432313659730218,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,29,-0.005349572215676396,-0.011371849719562696,0.001486180513266415,-0.018666860525374175,0.006101416895190986,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,30,-0.00561099655057691,-0.011835192031521714,0.0012115302953142485,-0.019154918202794295,0.005574114056462123,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,31,-0.0058663964255291495,-0.012288336043796942,8.498980368188243e-4,-0.019679644549084073,0.005035722703381337,FALSE
z_jk_bs_purif,6,5,full,r6q5·full,yield_6m,32,-0.006108468231788586,-0.012518175272085406,7.281396294914245e-4,-0.02023262574184474,0.004636817500182556,FALSE
