sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap
full,7,7,5,ok,0.9583573280722406,NA,intensidade_z,permute,FALSE,49,99,4.830544730616877,2.4053546119572107,10.434904902251581,-4.476383760629896,0.32843281765616666,2.861515176863084,2.231450888568915,0.4205794205794206,59.874224227334096,2.7399315128743304e-4,0.043912175648702596,0.14919590002430086
full,7,7,5,ok,0.9583573280722406,NA,volatilidade_juros,permute,TRUE,37,111,9.097910813345436,3.2703749432382265,27.852230899995952,-1.623638704567519,0.45424852068349003,1.9799509616952926,3.5467709817681703,0.08891108891108891,63.5086322639406,8.983188605202532e-5,0.14171656686626746,0.17818136678659174
full,7,7,5,ok,0.9583573280722406,2017-12-01,quebra_livre,rotate,TRUE,94,54,4.825617570704599,2.799207961002287,11.823718733377564,-1.0470409918160497,0.43652411228528903,1.9112615797751864,2.7302328997578718,0.24775224775224775,49.10288867570643,0.005766637447470126,0.18962075848303392,0.057694063727221336
full,7,7,6,ok,0.9767937023956682,NA,calendario,permute,TRUE,98,49,5.255480953758897,2.566532161151006,11.776884486857544,-3.305567638158929,0.45538878209711053,5.017613322565277,2.4293565681582883,0.07792207792207792,39.25856318454553,0.06000909399308434,0.5149700598802395,0.2069370875930941
full,7,7,6,ok,0.9767937023956682,NA,episodio_s2,rotate,TRUE,69,78,4.017108847118001,2.289750482177717,13.010353167954738,-2.563416711587993,0.3325598924453006,1.4271443762463913,2.3312624565335613,0.4225774225774226,51.9176865095584,0.002712596075457368,0.16167664670658682,0.07793766962986969
full,7,7,6,ok,0.9767937023956682,NA,intensidade_z,permute,FALSE,49,98,4.514095961318312,2.184902603511594,9.387660277616328,-4.286735558612926,0.3202057896722872,3.4671722683825745,2.245250946315512,0.3856143856143856,60.32100880459798,2.3939611430772074e-4,0.041916167664670656,0.1400090391388038
full,7,7,6,ok,0.9767937023956682,NA,volatilidade_juros,permute,TRUE,37,110,9.533434091377258,4.066577870075278,25.942515628079036,-1.6028903220039963,0.471893766534126,2.0814196701260883,3.4408055217372744,0.06793206793206794,56.32091549665045,7.83728442547396e-4,0.1996007984031936,0.18393340561892135
full,7,7,6,ok,0.9767937023956682,2018-04-01,quebra_livre,rotate,TRUE,90,57,4.2309676635387135,2.669105038397209,12.499847269834333,-0.658310664216907,0.41517275651318386,1.7908389884036002,2.51952930033794,0.26073926073926074,44.85784031750345,0.016830897172010084,0.25349301397205587,0.07106394060154539
full,7,7,7,ok,0.981175446921563,NA,calendario,permute,TRUE,97,49,4.189168592676387,1.7873297792589655,9.50510416543606,-3.559773021200228,0.40012047764229874,4.956430024495047,2.110827269457546,0.18581418581418582,36.815948036742135,0.0985544435465475,0.5429141716566867,0.11211022680094865
full,7,7,7,ok,0.981175446921563,NA,episodio_s2,rotate,TRUE,69,77,3.0701971578444875,1.9570067850391712,11.187279961473918,-2.263908305457633,0.3213039939121311,1.407823762247095,2.148812442422962,0.4405594405594406,48.496052036462025,0.006754991988413181,0.18562874251497005,0.1627676610104041
full,7,7,7,ok,0.981175446921563,NA,intensidade_z,permute,FALSE,49,97,4.166992492080308,1.9028685444716893,8.424088376893394,-3.9524897460583133,0.3228362549694779,3.286482906685967,2.219163141539479,0.37962037962037964,58.58536208246712,4.030359024477782e-4,0.0499001996007984,0.11998500737846905
full,7,7,7,ok,0.981175446921563,NA,volatilidade_juros,permute,TRUE,37,109,8.325285954451132,3.629067681832212,22.419133972841532,-1.6144911884933062,0.44700690262296294,1.683634387611278,3.15792740719867,0.0959040959040959,50.17722982595514,0.004341079927133215,0.2055888223552894,0.09507348378291923
full,7,7,7,ok,0.981175446921563,2022-10-01,quebra_livre,rotate,TRUE,36,110,3.7866281251504135,1.723410334745735,7.8383898397913105,-3.669078937213881,0.3244450720300056,3.6673891925864357,2.357861124081395,0.3206793206793207,48.52922065620578,0.006697117044607292,0.15169660678642716,0.09700640386003709
full,7,7,8,ok,0.9844869083898405,NA,calendario,permute,TRUE,96,49,4.02620414219104,1.8237725856800893,9.655841556453458,-3.1670899966346013,0.42240682191818413,5.375273354296224,2.132836364264633,0.1928071928071928,31.947425940064612,0.2340369603861173,0.6946107784431138,0.0457451331497123
full,7,7,8,ok,0.9844869083898405,NA,episodio_s2,rotate,TRUE,69,76,3.0714160914242727,1.8049927615411205,10.188410520966471,-2.2830028265727966,0.3488599806413471,1.3718078100266213,2.209839748655825,0.42657342657342656,52.054177419828754,0.0026130423740970453,0.10978043912175649,0.11498501752177005
full,7,7,8,ok,0.9844869083898405,NA,intensidade_z,permute,FALSE,48,97,3.4753879746416794,1.6760635543064577,7.914098841266625,-3.905473326819336,0.3024519836290963,3.098926933725467,1.9964099676438707,0.4125874125874126,54.51679004593748,0.0013147124150749614,0.05788423153692615,0.033360830750440065
full,7,7,8,ok,0.9844869083898405,NA,volatilidade_juros,permute,TRUE,36,109,8.210777616390839,3.2261143750845083,22.61805535818913,-1.4925543854629735,0.47526803319293165,2.1015317699424236,3.1184183972846644,0.08891108891108891,46.198081574718024,0.012112389396586364,0.249500998003992,0.019490587522304034
full,7,7,8,ok,0.9844869083898405,2022-10-01,quebra_livre,rotate,TRUE,36,109,3.550014214154238,1.9863731291198947,6.943761617687752,-3.26296772903594,0.3274803817269033,4.187906522088995,2.501028130649797,0.2887112887112887,45.44771367981273,0.014577956023029187,0.1656686626746507,0.09257034689378403
full,8,5,5,ok,0.9804083490210781,NA,calendario,permute,TRUE,98,50,0.5277020752002715,0.4479372699868802,1.5467672072955643,-0.6886805558659985,0.2769743606237978,1.7196676487532951,1.8042700155197227,0.8291708291708292,14.898796277021777,0.38510769931504363,0.7544910179640718,0.2144040655221896
full,8,5,5,ok,0.9804083490210781,NA,episodio_s2,rotate,TRUE,69,79,1.2568961465373791,0.8909333702414598,2.6154238309760753,-0.5746210152144897,0.3736056761281004,1.4471939141451355,4.0494661278720745,9.99000999000999e-4,45.54764284687465,3.323099144172565e-5,0.013972055888223553,0.3427325778776646
full,8,5,5,ok,0.9804083490210781,NA,intensidade_z,permute,FALSE,49,99,0.9980828393219444,0.5760173117951448,2.109827220807829,-0.8635084773745287,0.3404391016802949,1.8474446259466775,2.488520512098294,0.37462537462537465,36.86210396795722,7.74047092039208e-4,0.03992015968063872,0.3133641982042508
full,8,5,5,ok,0.9804083490210781,NA,volatilidade_juros,permute,TRUE,37,111,1.8395009265887599,0.7603549242869474,5.176251396295625,-0.6227230840760778,0.4791900585404996,2.0696402156392444,4.397837458437326,0.013986013986013986,35.96142155591578,0.0010574127782139767,0.1596806387225549,0.2035551302136903
full,8,5,5,ok,0.9804083490210781,2021-10-01,quebra_livre,rotate,TRUE,48,100,1.3733689185989424,0.8498633477783053,2.2299786766530376,-0.8142458237592344,0.41711746712195263,3.590593658892098,3.435304409078243,0.07392607392607392,54.510303428229264,1.0505755960442608e-6,0.005988023952095809,0.2531445979023781
full,8,5,6,ok,0.9764370706395482,NA,calendario,permute,TRUE,98,49,0.6448187319471772,0.4644291600712577,1.6053519866309052,-0.7580356506126148,0.2805473871466566,1.8585161142603381,2.1285689756684736,0.6373626373626373,20.55487837122175,0.11359535614793495,0.46107784431137727,0.16136074086726954
full,8,5,6,ok,0.9764370706395482,NA,episodio_s2,rotate,TRUE,69,78,1.1211255523346948,0.7979830014773411,2.5849353761747054,-0.7188187082267934,0.36136284008898795,1.4152007134281999,3.3837417464770367,0.005994005994005994,38.825260216772854,3.8810260082098447e-4,0.0499001996007984,0.3182023292039155
full,8,5,6,ok,0.9764370706395482,NA,intensidade_z,permute,FALSE,49,98,0.9753281202710765,0.58141853288575,1.9957768975642305,-0.8889613398268393,0.31386667919808914,1.7453683584793067,2.436278528029515,0.37662337662337664,38.857307364706834,3.8370988701594033e-4,0.011976047904191617,0.2732780436659785
full,8,5,6,ok,0.9764370706395482,NA,volatilidade_juros,permute,TRUE,37,110,1.7992403863547535,0.8374846953928713,4.688913569027939,-0.5398609344839302,0.44419321360761177,1.7845425189581745,4.298204677577599,0.03196803196803197,31.140387085370946,0.005297997213260299,0.25948103792415167,0.19941691961300004
full,8,5,6,ok,0.9764370706395482,2021-11-01,quebra_livre,rotate,TRUE,47,100,1.3197295264255149,0.7798974198491999,2.1890874555515074,-0.8564849796999988,0.43399049236619686,4.450584821041762,3.24480395887851,0.027972027972027972,48.46373067083709,1.101335186638092e-5,0.007984031936127744,0.32393753933937613
full,8,5,7,ok,0.9770192401191725,NA,calendario,permute,TRUE,97,49,0.6190146485743577,0.46802273987557996,1.5362448871489272,-0.7824525094017247,0.27760475406325397,1.941611336613903,2.0422396937427294,0.6503496503496503,18.751324033105103,0.17467055553235658,0.5109780439121756,0.08000904706122251
full,8,5,7,ok,0.9770192401191725,NA,episodio_s2,rotate,TRUE,69,77,1.0569329218441685,0.6310005296593539,2.503559242005224,-0.7306186715610443,0.3757113572121889,1.8627264322740467,3.16793522249805,9.99000999000999e-4,36.78599627346307,7.948175455038178e-4,0.06187624750499002,0.23774861143935436
full,8,5,7,ok,0.9770192401191725,NA,intensidade_z,permute,FALSE,49,97,0.97081351885451594,0.5884395260458195,2.0241768697950695,-0.9692802830749003,0.302279977615404,1.7473767659681654,2.4220615842996582,0.35864135864135865,40.90299720230499,1.8423178795787506e-4,0.013972055888223553,0.19487170303428625
full,8,5,7,ok,0.9770192401191725,NA,volatilidade_juros,permute,TRUE,37,109,1.6694053071726338,0.9133113042572458,4.33945334096197,-0.5234748619667291,0.40228555971238394,1.5584132379069915,3.918893942251737,0.055944055944055944,26.8173367032942,0.020333462293883168,0.3033932135728543,0.11593654654654754
full,8,5,7,ok,0.9770192401191725,2021-10-01,quebra_livre,rotate,TRUE,48,98,1.2311598197801872,0.7819552584402493,2.143751680921423,-0.7453499756485849,0.3939666789768798,2.427240976486958,3.034622770256398,0.028971028971028972,44.9654466982573,4.132364781120699e-5,0.007984031936127744,0.16845849044907588
full,8,5,8,ok,0.981143605907411,NA,calendario,permute,TRUE,96,49,0.659270585646053,0.5156855935747346,1.6611449742000644,-0.836537646168761,0.2754036194463926,1.5233477197355925,2.1623546317003055,0.5554445554445554,21.753228948444644,0.08382905954891037,0.3652694610778443,0.21741171588888145
full,8,5,8,ok,0.981143605907411,NA,episodio_s2,rotate,TRUE,69,76,1.1129280545571132,0.628569557917545,2.519100990831845,-0.7282077596198822,0.41560654925908647,2.1687820033136647,3.4211060640539546,9.99000999000999e-4,39.74336443234537,2.797192066621307e-4,0.031936127744510975,0.27616935041924123
full,8,5,8,ok,0.981143605907411,NA,intensidade_z,permute,FALSE,48,97,0.7508019493701985,0.5112540035741169,1.934330727728185,-1.0667732984683087,0.23524792074987708,1.3652963228579413,1.9893545839351596,0.5154845154845155,43.38441018591514,7.434785360080655e-5,0.005988023952095809,0.16072313884090325
full,8,5,8,ok,0.981143605907411,NA,volatilidade_juros,permute,TRUE,36,109,1.725982653169222,0.90637428438084,4.555985128289172,-0.46649037001319704,0.4345224471159016,1.842216305019648,4.006979966477805,0.05194805194805195,25.323316905791415,0.031506499738187074,0.29740518962075846,0.22402796010007378
