wed_date,thu_date,regime,DI_3m,DI_2y,IBOV,BRL
2013-07-24,2013-07-25,NC,2.999999999999947,5.000000000000004,1.421438208418735,-0.129335042156431
2013-07-31,2013-08-01,NC,2.0000000000000573,31.999999999999947,1.8614914651513104,1.2022228210828656
2013-08-07,2013-08-08,NC,1.0000000000000286,-5.000000000000004,3.0759402417267268,-1.117279368313151
2013-08-14,2013-08-15,NC,3.999999999999976,4.000000000000115,0.024399764924609713,0.6996771696710757
2013-08-21,2013-08-22,NC,8.00000000000009,-6.000000000000033,1.9498301774618199,-0.6270141675437824
2013-08-28,2013-08-29,C,2.999999999999947,27.999999999999968,0.11015265351854708,0.5789021765391533
2013-09-04,2013-09-05,NC,-0.6000000000000449,-0.9999999999998899,1.2217161563711443,-1.598939934274568
2013-09-11,2013-09-12,NC,0,15.999999999999904,-0.49284537884162205,0.035203518406945467
2013-09-18,2013-09-19,NC,0,-25.99999999999991,-1.0960718526073165,0.6620833156088191
2013-09-25,2013-09-26,NC,3.999999999999976,13.999999999999984,-0.8850889773572845,0.7036804526030505
2013-10-02,2013-10-03,NC,-0.30000000000002247,-8.00000000000009,-1.1560309986704098,0.6963293771088064
2013-10-09,2013-10-10,C,6.800000000000001,14.999999999999874,0.8506996487845697,-1.1598797941234085
2013-10-16,2013-10-17,NC,1.799999999999996,1.9999999999999185,-1.1046435745162952,-0.9039471539178168
2013-10-23,2013-10-24,NC,1.0000000000000286,1.9999999999999185,-1.0204845424778952,0.6519373751151525
2013-10-30,2013-10-31,NC,0.9999999999998899,11.000000000000037,0.15379649550499863,-0.041256454692950584
2013-11-06,2013-11-07,NC,1.6000000000000736,15.000000000000014,-1.2133154904867993,0.22808675759056207
2013-11-13,2013-11-14,NC,1.5000000000001124,-12.000000000000066,2.311397674393234,-0.06009331427828668
2013-11-27,2013-11-28,C,-3.000000000000086,-17.99999999999996,-0.027731697739419303,1.4369961178889334
2013-12-04,2013-12-05,NC,3.2999999999999696,-12.999999999999956,1.1323301923090057,0.6301262253843198
2013-12-11,2013-12-12,NC,-2.0000000000000573,-6.000000000000033,0.10703706795780477,1.408082404783706
2013-12-18,2013-12-19,NC,5.000000000000004,13.000000000000094,2.094074320112327,0.5381817084445961
2014-01-08,2014-01-09,NC,1.900000000000096,-0.9999999999998899,-2.5126068640199506,0.9788526301554468
2014-01-15,2014-01-16,C,19.99999999999988,16.000000000000043,-0.8198106768910307,0.16570933611735894
2014-01-22,2014-01-23,NC,0.9999999999998899,17.99999999999996,-2.0058385901181808,0.4992205051991272
2014-01-29,2014-01-30,NC,5.000000000000004,16.000000000000043,-0.6593200498866025,0.37069374393970955
