config,linkage,threshold,principal,series,block,group,group_size,kept,reason,kept_dentro_do_bloco
completa_0.90,complete,0.9,TRUE,epu_china,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,epu_germany,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,epu_india,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,epu_russia,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,epu_us,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,price_ipp,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,price_ipca,precos,8,2,TRUE,prioridade,TRUE
completa_0.90,complete,0.9,TRUE,price_ipca_difusao,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,price_core_ipca_dw,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,price_igp_m,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,price_ipc,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,price_core_ipc,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,price_incc,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,price_inpc,precos,8,2,FALSE,descartada,FALSE
completa_0.90,complete,0.9,TRUE,price_core_ipca_ex0,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,price_core_ipca_ex1,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,dlsp_exchange_adjustment,fiscal,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,expect_focus_fiscal_dlsp_ny,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,expect_focus_fiscal_primary_balance_ny,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,expect_focus_fiscal_nominal_balance_ny,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,cambio_eur,cambio,1,4,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,cambio_cny,cambio,1,4,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,cambio_ars,cambio,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,cambio_inr,cambio,1,4,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,cambio_usd,cambio,1,4,TRUE,prioridade,TRUE
completa_0.80,complete,0.8,FALSE,juros_selic,politica,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,yield_3m,curva,2,2,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,yield_6m,curva,2,2,TRUE,prioridade,TRUE
completa_0.80,complete,0.8,FALSE,yield_1y,curva,3,2,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,yield_2y,curva,3,2,TRUE,prioridade,TRUE
completa_0.80,complete,0.8,FALSE,yield_5y,curva,4,2,TRUE,prioridade,TRUE
completa_0.80,complete,0.8,FALSE,yield_10y,curva,4,2,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,base_monetary_base,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,base_money_supply,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,base_demand_deposit,monetario,5,2,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,base_savings_deposit,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,base_m1,monetario,5,2,TRUE,medoide,TRUE
completa_0.80,complete,0.8,FALSE,base_m2,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,base_m3,monetario,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,credito_agro,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,credito_industria_total,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,credito_construcao,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,credito_comercio,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,credito_transporte,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,credito_pessoa_fisica,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,spread_credito_pj_total,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,spread_credito_pf_total,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,credit_outstanding,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,fin_inst_reserve_req,credito_existente,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,consumo_gasolina,combustiveis,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,consumo_glp,combustiveis,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,consumo_oleo_combustivel,combustiveis,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,consumo_oleo_diesel,combustiveis,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,consumo_demais_derivados,combustiveis,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,consumo_alcool,combustiveis,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,capacidade_instalada_industria,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,vendas_varejo,vendas,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,vendas_servicos,vendas,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,ind_automoveis,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,ind_leves,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,ind_caminhoes,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,ind_onibus,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,ind_bens_consumo,industria,6,2,TRUE,medoide,TRUE
completa_0.80,complete,0.8,FALSE,ind_bens_duraveis,industria,7,2,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,ind_bens_nao_duraveis,industria,6,2,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,ind_bens_capital,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,ind_transformacao,industria,7,2,TRUE,medoide,TRUE
completa_0.80,complete,0.8,FALSE,ind_min_extr,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,ind_uti_cap_instalada,industria,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,energia_comercial,energia,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,energia_residencial,energia,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,energia_industrial,energia,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,energia_outros,energia,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,pib,atividade_agregada,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,ibc_br,atividade_agregada,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,icc,confianca,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,ics,confianca,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,trab_employment_southest,trabalho,8,3,TRUE,medoide,TRUE
completa_0.80,complete,0.8,FALSE,trab_employment_south,trabalho,8,3,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,trab_employment_northeast,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,trab_employment_north,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,trab_employment_central_west,trabalho,8,3,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,trab_min_wage,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,trab_pop_forca_trab,trabalho,9,2,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,trab_pop_ocupada,trabalho,9,2,TRUE,medoide,TRUE
completa_0.80,complete,0.8,FALSE,trab_tx_desemprego,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,trab_hrs_trabalhadas_industria,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,trab_menos_de_1_mes,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,trab_de_1_mes_a_menos_de_1_ano,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,trab_de_1_ano_a_menos_de_2_anos,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,trab_x2_anos_ou_mais,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,commodity_agro,commodities,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,commodity_metal,commodities,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,commodity_energia,commodities,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,asset_ibov,acoes,10,3,TRUE,prioridade,TRUE
completa_0.80,complete,0.8,FALSE,asset_idiv,acoes,10,3,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,asset_ifix,acoes,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,asset_ifnc,acoes,10,3,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,asset_imat,acoes,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,asset_imob,acoes,11,2,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,asset_smll,acoes,11,2,TRUE,medoide,TRUE
completa_0.80,complete,0.8,FALSE,embi_perc,risco_externo,12,2,FALSE,descartada,FALSE
completa_0.80,complete,0.8,FALSE,cds_5y,risco_externo,12,2,TRUE,medoide,TRUE
completa_0.80,complete,0.8,FALSE,msci,risco_externo,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,sp500_vix,risco_externo,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,fiscal_dbgg,fiscal,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,fiscal_dlsp,fiscal,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,fiscal_primary_balance,fiscal,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,expect_focus_ipca12m,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,expect_focus_selic_ny,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,expect_focus_pib_ny,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,expect_focus_cambio_ny,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,epu_brazil,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,epu_canada,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,epu_chile,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,epu_china,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,epu_germany,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,epu_india,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,epu_russia,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,epu_us,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,price_ipp,precos,NA,1,TRUE,sem_grupo,TRUE
completa_0.80,complete,0.8,FALSE,price_ipca,precos,13,3,TRUE,prioridade,TRUE
completa_0.80,complete,0.8,FALSE,price_ipca_difusao,precos,NA,1,TRUE,sem_grupo,TRUE
