var,indicador,h,n_alto,n_baixo,F_alto,F_baixo,flag_alto,flag_baixo
asset_ibov,cds_ma12,16,70,55,18.758737013561884,57.451272018079656,ok,ok
asset_ibov,cds_ma12,17,70,54,19.623181282944575,59.00158379448425,ok,ok
asset_ibov,cds_ma12,18,70,53,20.672197579075995,59.32848150994785,ok,ok
asset_ibov,cds_ma12,19,70,52,21.668558468160185,61.066535156699146,ok,ok
asset_ibov,cds_ma12,20,70,51,22.790394257588524,63.01620211904933,ok,ok
asset_ibov,cds_ma12,21,70,50,24.085137171966966,63.17193192588519,ok,ok
asset_ibov,cds_ma12,22,70,49,25.203767099328036,61.38088518600703,ok,ok
asset_ibov,cds_ma12,23,69,49,25.29948838645814,63.41750351912624,ok,ok
asset_ibov,cds_ma12,24,68,49,25.920496359321533,65.85146145533844,ok,ok
asset_imat,cds_ma12,0,70,71,13.096493335209388,22.28715499652068,ok,ok
asset_imat,cds_ma12,1,70,70,13.358143678617681,22.194798524740683,ok,ok
asset_imat,cds_ma12,2,70,69,13.193057211064568,22.03093148115921,ok,ok
asset_imat,cds_ma12,3,70,68,13.211340219076874,22.042066367403116,ok,ok
asset_imat,cds_ma12,4,70,67,13.612587828658747,21.92386753450024,ok,ok
asset_imat,cds_ma12,5,70,66,13.422616636335148,22.52413122801745,ok,ok
asset_imat,cds_ma12,6,70,65,13.38563376836283,22.23011646409383,ok,ok
asset_imat,cds_ma12,7,70,64,13.28390509585228,28.78961011678456,ok,ok
asset_imat,cds_ma12,8,70,63,13.09525487038579,29.896033913840952,ok,ok
asset_imat,cds_ma12,9,70,62,13.10482442734151,23.676201136135813,ok,ok
asset_imat,cds_ma12,10,70,61,13.628204741607812,26.693063373164104,ok,ok
asset_imat,cds_ma12,11,70,60,14.135647117262977,27.309991410184942,ok,ok
asset_imat,cds_ma12,12,70,59,14.7205081206752,31.411102458570753,ok,ok
asset_imat,cds_ma12,13,70,58,15.219196144715626,43.290024307071185,ok,ok
asset_imat,cds_ma12,14,70,57,15.529928100674976,51.40235817768927,ok,ok
asset_imat,cds_ma12,15,70,56,16.00274226224625,54.489406954471185,ok,ok
asset_imat,cds_ma12,16,70,55,16.908871730656774,56.81590975418738,ok,ok
asset_imat,cds_ma12,17,70,54,17.633992245955753,58.71958708764009,ok,ok
asset_imat,cds_ma12,18,70,53,18.42122896925795,60.95870942257764,ok,ok
asset_imat,cds_ma12,19,70,52,19.192084470856905,61.867333410198604,ok,ok
asset_imat,cds_ma12,20,70,51,20.15095685931882,64.67486874774954,ok,ok
asset_imat,cds_ma12,21,70,50,21.299128184258816,64.77742785485755,ok,ok
asset_imat,cds_ma12,22,70,49,22.43639047892625,61.83471569788973,ok,ok
asset_imat,cds_ma12,23,69,49,23.451272965764897,63.61953099378127,ok,ok
asset_imat,cds_ma12,24,68,49,24.6027726729651,65.78016584597694,ok,ok
rel_ifnc_ibov,cds_ma12,0,70,71,12.147996865431649,17.830015461157583,ok,ok
rel_ifnc_ibov,cds_ma12,1,70,70,12.563017297367853,17.999456452501274,ok,ok
