var,indicador,L,h,n,n_alto,n_baixo,b_alto,se_alto,b_baixo,se_baixo,dif,se_dif,t_dif,F_alto,F_baixo,flag_alto,flag_baixo,rf_alto,rf_se_alto,rf_baixo,rf_se_baixo
embi_perc,cds_ma12,2,22,119,70,49,-0.14490530495259918,0.08907008108003654,-0.14534972508785474,0.10156801915860685,4.444201352555577e-4,0.1649391921550454,0.0026944483566876927,28.775924094985964,48.93037384142887,ok,ok,-0.0041806160344386445,0.002461485854879995,-0.012766562522835978,0.009428560830470608
embi_perc,cds_ma12,2,23,118,69,49,-0.07092082585710159,0.08918736868996394,-0.016354376430941783,0.13710182260031187,-0.054566449426159805,0.18431832452459468,-0.2960446258770038,30.230232565115703,50.47916310101107,ok,ok,-0.0020461439539738446,0.002763167046947441,-0.0014364607095146975,0.012193481806574927
embi_perc,cds_ma12,2,24,117,68,49,0.20615320206848084,0.11335672868211587,-0.013227562653162295,0.1114030290301446,0.21938076472164314,0.13787381037973115,1.5911706807654482,33.397512376836346,52.313400404469235,ok,ok,0.005958445859114425,0.0022364004367548783,-0.0011618219816600661,0.009919768499650204
cds_5y,cds_ma12,2,0,141,70,71,12.159394123675302,10.213771797185961,16.812699644160457,6.205152628485625,-4.653305520485155,11.929925465491774,-0.39005319303504443,11.514735464308368,19.203526219215853,ok,ok,0.370781162600224,0.3314051700676368,1.2604608901352812,0.3092738696907155
cds_5y,cds_ma12,2,1,140,70,70,12.51554866082035,12.35081972570755,17.283487902577036,7.23805219712057,-4.767939241756686,14.307952180174292,-0.33323701265673406,11.73555953153312,19.311425586911078,ok,ok,0.3816415222528917,0.3489254048620153,1.2959976534882287,0.4490849348233037
cds_5y,cds_ma12,2,2,139,70,69,-1.2420873144734652,16.563966718272066,3.3758187033142897,5.654892305872866,-4.617906017787755,17.6505044808748,-0.2616302566757503,11.621406181662561,19.144832944278807,ok,ok,-0.03787545443253748,0.5006247493111244,0.25227257708770345,0.3978751673310292
cds_5y,cds_ma12,2,3,138,70,68,-9.952371421661228,18.451968456039744,11.735770295348484,10.219515058984983,-21.688141717009714,21.368950370505424,-1.0149371560591416,11.651231809397665,19.330773479336234,ok,ok,-0.30348155574799307,0.5194210959778295,0.8749146112932955,0.6890448490376091
cds_5y,cds_ma12,2,4,137,70,67,-17.442850151015445,15.349334557844347,4.857644007070921,8.279811483811732,-22.300494158086366,17.911174476548016,-1.2450604055744923,11.972464952813931,19.342524608199525,ok,ok,-0.5318916544104866,0.3848925719083823,0.3612931439671616,0.6000550026659285
cds_5y,cds_ma12,2,5,136,70,66,-5.557091438537464,17.942169969451868,1.6226228754222394,6.511403886524322,-7.179714313959703,18.94365137292527,-0.37900371858727966,11.703355861337302,19.970774546317525,ok,ok,-0.16945456350086374,0.5144492550985454,0.12077061244971077,0.47463170806768695
cds_5y,cds_ma12,2,6,135,70,65,5.733734758859501,14.121528098359548,4.534040217241272,6.5161421443432275,1.1996945416182285,15.17137162578814,0.07907620821699471,11.586230794546797,19.929124991314037,ok,ok,0.17484101744824443,0.4612356316897769,0.3360853223718969,0.4795795610677604
cds_5y,cds_ma12,2,7,134,70,64,18.388461708845572,12.106567521250886,-1.6583149424032309,7.193175430108189,20.046776651248802,14.034612840329757,1.4283811658589212,11.386298221634373,24.391696804491254,ok,ok,0.5607265576929308,0.5156001455401292,-0.12714157781810975,0.5566191350028249
cds_5y,cds_ma12,2,8,133,70,63,11.962418979089707,14.56516756304773,3.9433221687190234,9.295110119274204,8.019096810370684,17.328770954599527,0.46276200610997154,11.164778059828558,25.2266633900881,ok,ok,0.36477472244175146,0.5378240838656746,0.30234480830769783,0.7518909419545958
cds_5y,cds_ma12,2,9,132,70,62,-1.4077872659359127,14.94544950953616,-12.088064635493794,16.93628800783521,10.680277369557881,25.213315472523554,0.4235967055263642,11.200002082868274,19.82779388726744,ok,ok,-0.04292820789129337,0.44863461275759076,-0.9182108033329008,1.1192348859693901
cds_5y,cds_ma12,2,10,131,70,61,-4.922251599486917,11.743895370954135,-0.7555229095020332,9.962733627799164,-4.166728689984884,14.760270816087072,-0.282293512219546,11.73211957497008,21.79105191970143,ok,ok,-0.15009614390649517,0.32608612816624727,-0.0593257788218402,0.7804469075552825
cds_5y,cds_ma12,2,11,130,70,60,-11.373048777859658,14.785360076381977,10.258530530605931,9.780559339776717,-21.63157930846559,17.666825962912448,-1.224417977166711,12.229939815946386,22.591182292953587,ok,ok,-0.3468028262431915,0.3826452903327992,0.807804170657314,0.7988765924749329
cds_5y,cds_ma12,2,12,129,70,59,7.990217517791316,14.019489101478369,1.4557643316034228,10.026750648687694,6.534453186187893,17.06374742014874,0.38294361873125604,12.80169034167773,25.34863446538902,ok,ok,0.24364882909284802,0.42932349487531385,0.11535725655278029,0.797357711891294
cds_5y,cds_ma12,2,13,128,70,58,-15.794267435744406,18.83181828820598,-2.0605510526592843,13.098110138073295,-13.73371638308512,23.585950110126888,-0.5822837883977545,13.33444137585383,34.266457050047705,ok,ok,-0.4816207766486684,0.472191223324879,-0.16918501052454715,1.0710146433193855
cds_5y,cds_ma12,2,14,127,70,57,-0.4532038589194417,15.79361448750967,-3.6112646343535744,12.024769583452638,3.1580607754341328,21.48094608720083,0.14701683820694592,13.686000890430574,40.321677993581766,ok,ok,-0.013819722568939596,0.4808232970424517,-0.3058177715955068,0.9927152194026115
cds_5y,cds_ma12,2,15,126,70,56,33.3774378869962,7.445832291325061,-8.727984517579898,11.344591448781443,42.105422404576096,13.954245624336302,3.0173915192623486,14.190048042742854,42.25044063379191,ok,ok,1.0177912729569698,0.2804187328769354,-0.7394066208096302,0.9131103907680169
cds_5y,cds_ma12,2,16,125,70,55,4.545990540208295,9.675969316865435,-9.237412563520484,11.298553123449183,13.78340310372878,14.561306170085231,0.9465773841116962,14.970641196651206,44.69111191234743,ok,ok,0.13862266825478287,0.30524358292608766,-0.8111685492673217,0.936799853532522
cds_5y,cds_ma12,2,17,124,70,54,-8.091265609152615,9.39049375114803,-11.505305038848892,10.745053634575418,3.4140394296962775,13.966593745485088,0.24444324019948796,15.605420271296154,46.18358691230766,ok,ok,-0.24673012803265237,0.28520499006221106,-1.0119360953139491,0.8724717597106344
cds_5y,cds_ma12,2,18,123,70,53,28.16345464809798,14.084865248983759,-17.131748935205398,11.651110888525452,45.295203583303376,18.32588414803772,2.4716517477359177,16.321507389041198,46.74535147813573,ok,ok,0.8587992420008845,0.3029230893741987,-1.516369526350248,0.8745245400635548
cds_5y,cds_ma12,2,19,122,70,52,-15.810364831751214,15.741847536785697,-24.423198279547506,15.154334782482398,8.612833447796293,21.730684130715925,0.39634433025613813,17.01179553084972,47.89403073590069,ok,ok,-0.48211164084517577,0.45531828541743286,-2.155680147161064,1.0847695854474024
cds_5y,cds_ma12,2,20,121,70,51,-3.0061983289197087,8.595216152428753,-18.345812383461745,11.399446031861412,15.339614054542036,14.898717526375236,1.0295929181411942,17.816876324590307,48.23356763603332,ok,ok,-0.09166918184459405,0.2694118891271168,-1.6176753046998158,0.8971281839353888
cds_5y,cds_ma12,2,21,120,70,50,6.978702554767952,10.365375022714042,-19.54039627254475,7.717170627149447,26.519098827312703,12.84000223466505,2.0653500165067915,18.774137468362618,48.4605433781664,ok,ok,0.2128043075516075,0.28354543992944614,-1.7240844027831166,0.5822324656986859
cds_5y,cds_ma12,2,22,119,70,49,-6.2671557633671915,6.0989616377825815,-13.482427720751147,10.077229318585914,7.215271957383956,11.576570909625586,0.6232650422747089,19.715321605293404,47.76751562650987,ok,ok,-0.19110683279265572,0.20494505780339498,-1.186904887102001,0.9440560281355252
cds_5y,cds_ma12,2,23,118,69,49,6.074750389903784,11.8912850212859,-2.438408763852203,13.427524070216707,8.513159153755987,18.96963714842583,0.4487781757313392,20.53031540204058,49.39373237295315,ok,ok,0.1848161359770586,0.3389270836012976,-0.21466158309647376,1.1994970731070211
cds_5y,cds_ma12,2,24,117,68,49,25.23948641394265,11.65493685888649,-2.0683283818059137,10.546098455570721,27.307814795748563,13.713170822375783,1.9913567146112112,21.635594869474804,51.297950727014836,ok,ok,0.7670100914394027,0.23302774948549437,-0.18208212313851746,0.947546358909844
price_ipp,cds_ma12,2,0,141,70,71,0.4075603316261595,0.5648509342294501,0.3110014593117404,0.10899806851493,0.09655887231441912,0.5765387699618286,0.16748027599394932,12.783120592471425,18.258908037946085,ok,ok,0.012408161171662387,0.017798268459457135,0.022279120141452037,0.008699118708719786
price_ipp,cds_ma12,2,1,140,70,70,0.24901907564404496,0.3588232195113208,0.19709514865505184,0.10295830876724912,0.05192392698899312,0.3725642480220037,0.13936905450446357,13.069182818369844,18.63630896829675,ok,ok,0.007581377738875669,0.011743832241591888,0.014123903732555496,0.008171413244009131
price_ipp,cds_ma12,2,2,139,70,69,-0.33603337108157744,0.3891653272451419,-0.00145808911100346,0.10242792098714595,-0.33457528197057396,0.3943041275588759,-0.8485208715463333,12.883216234589426,18.720564338165165,ok,ok,-0.010230525161023477,0.010748040299332785,-1.0444567685012618e-4,0.00733815016947639
price_ipp,cds_ma12,2,3,138,70,68,-0.9118769558741207,0.5442818157320428,-0.11054069975228516,0.14847077115352478,-0.8013362561218355,0.5528558202971123,-1.4494488919211999,12.849395349662478,19.051630864236536,ok,ok,-0.0277620645559676,0.013557678442760998,-0.00791872374453062,0.00962999638806014
price_ipp,cds_ma12,2,4,137,70,67,-0.543482202718738,0.34656952899787136,-0.016831587225706244,0.22913489873315387,-0.5266506154930318,0.4110145243483063,-1.2813430774206216,13.251819147015278,19.058434344320126,ok,ok,-0.01654629815975158,0.007961291808726638,-0.0012056888328807885,0.01657317909073418
price_ipp,cds_ma12,2,5,136,70,66,0.6925332295940393,0.4081384192569805,-0.07057290304556829,0.284299673285026,0.7631061326396076,0.4539186544818767,1.681151733036069,13.004726363362101,19.429473404275328,ok,ok,0.021084151873033787,0.00842989187579008,-0.005056295111905293,0.019588030448295633
