var,grupo,tcode,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
pib,atividade,4,11,0.4566799117276865,0.08623310897215661,0.8952553568918847,-0.15142860456698445,1.2530881677605719,1,TRUE,FALSE
pib,atividade,4,12,0.4520805400283656,0.08898842913799226,0.8901894266087738,-0.14002924507018238,1.2320845432562153,1,TRUE,FALSE
pib,atividade,4,13,0.44436615123544243,0.09162467326666845,0.8941217037634843,-0.13388021270910377,1.214624368242888,1,TRUE,FALSE
pib,atividade,4,14,0.4306783818792459,0.08793493537705814,0.902482555771764,-0.11691632050675807,1.1963126882410142,1,TRUE,FALSE
pib,atividade,4,15,0.41249707026282945,0.07674378923712762,0.8816787436029171,-0.11988370268322504,1.16085148410887,1,TRUE,FALSE
pib,atividade,4,16,0.3907834558598777,0.07992435039469824,0.8442669167174295,-0.12657978399387648,1.1525640020034364,1,TRUE,FALSE
pib,atividade,4,17,0.3653291509261303,0.062338157806925296,0.8078044757147311,-0.14068209006942667,1.126943088645191,1,TRUE,FALSE
pib,atividade,4,18,0.3368131447816225,0.04648841368706686,0.755663768544743,-0.1391861781555115,1.0801946684653696,1,TRUE,FALSE
pib,atividade,4,19,0.305914219532033,0.030646885119928385,0.7180616641139308,-0.15237037767071088,1.0625886916781102,1,TRUE,FALSE
pib,atividade,4,20,0.2730390226029389,0.001008854859985127,0.6694600299874758,-0.1791945360522196,1.017612752747986,1,TRUE,FALSE
pib,atividade,4,21,0.23874151137286415,-0.020506771567919923,0.6354915000764595,-0.20130773082179146,0.9682294030653438,1,FALSE,FALSE
pib,atividade,4,22,0.20352526232085832,-0.046646210603253496,0.5993395035656555,-0.22293845179555077,0.9217577669033838,1,FALSE,FALSE
pib,atividade,4,23,0.16783745155009022,-0.06346156192520404,0.5608855726681008,-0.26006449334747667,0.8789727765987229,1,FALSE,FALSE
pib,atividade,4,24,0.13211609617262976,-0.08908111060516746,0.5209951184829223,-0.27954830324950497,0.799841906446495,1,FALSE,FALSE
pib,atividade,4,25,0.09674364516969458,-0.1095816094273979,0.4751398715315409,-0.31643935059783856,0.7708028551220902,1,FALSE,FALSE
pib,atividade,4,26,0.06206555353791554,-0.12763637502295444,0.4385136839900545,-0.36549196448740834,0.7219623712656608,1,FALSE,FALSE
pib,atividade,4,27,0.028388994823003166,-0.15672724867219856,0.4056832544739761,-0.3727353786954019,0.6518052787003451,1,FALSE,FALSE
pib,atividade,4,28,-0.004022400399839032,-0.18758894630985884,0.36325881991307163,-0.4110013951483926,0.6132879845253311,-1,FALSE,FALSE
pib,atividade,4,29,-0.03493908651427402,-0.21524312272642912,0.3392732025079442,-0.42835952133536154,0.5846321813091818,-1,FALSE,FALSE
pib,atividade,4,30,-0.06416910413797883,-0.24148752078089109,0.3012089304307982,-0.4557128149276036,0.551210433494038,-1,FALSE,FALSE
pib,atividade,4,31,-0.09155521218855434,-0.2689495165237457,0.2725562182917499,-0.49935156498091604,0.5211079912720628,-1,FALSE,FALSE
pib,atividade,4,32,-0.11696935533862529,-0.28374635120750513,0.2416586496987626,-0.5343404566161614,0.48655811793056303,-1,FALSE,FALSE
pib,atividade,4,33,-0.140314317680712,-0.30375851345162985,0.2163869397145463,-0.5660440643430037,0.4560171322438065,-1,FALSE,FALSE
pib,atividade,4,34,-0.1615208497217635,-0.32755271143939135,0.18644556554456235,-0.5909336506477043,0.42506994345252286,-1,FALSE,FALSE
pib,atividade,4,35,-0.1805439115320051,-0.34554549905543386,0.1637824998335955,-0.600351309698003,0.3830974471981822,-1,FALSE,FALSE
pib,atividade,4,36,-0.1973624134854246,-0.36048141502035996,0.14437406879057343,-0.6260736373234589,0.36152134217889087,-1,FALSE,FALSE
pib,atividade,4,37,-0.2119771519770386,-0.3663448633437172,0.1305154761736099,-0.6212940379881071,0.3473258269718571,-1,FALSE,FALSE
pib,atividade,4,38,-0.22440819165262527,-0.3862848285917352,0.11352015190278324,-0.633798292498356,0.31794857769972124,-1,FALSE,FALSE
pib,atividade,4,39,-0.23469358269563312,-0.3897865778456762,0.10233428106502013,-0.634661896601227,0.2968918701896438,-1,FALSE,FALSE
pib,atividade,4,40,-0.24288762132832487,-0.40110163540112254,0.08733113285534284,-0.6457651860058716,0.27931838508486795,-1,FALSE,FALSE
pib,atividade,4,41,-0.24905884476928986,-0.4071899660930166,0.08458074639376362,-0.6421915965220165,0.25106194122193265,-1,FALSE,FALSE
pib,atividade,4,42,-0.25328843466895234,-0.4123321201715413,0.07855828480519025,-0.635258525967189,0.24158200929139637,-1,FALSE,FALSE
pib,atividade,4,43,-0.25566857712671087,-0.41022144157510093,0.07380474120639494,-0.6492073987196885,0.23021016577220657,-1,FALSE,FALSE
pib,atividade,4,44,-0.25630076313803984,-0.4091596986365179,0.06696040777534677,-0.6505980018424112,0.21456443975250586,-1,FALSE,FALSE
pib,atividade,4,45,-0.25529421836903987,-0.40369472572692694,0.06800065518046691,-0.6497922911610826,0.20404785843125658,-1,FALSE,FALSE
pib,atividade,4,46,-0.25276438554550085,-0.3959339145037726,0.06984686686396913,-0.6622940588476278,0.19323507194337042,-1,FALSE,FALSE
pib,atividade,4,47,-0.24883144635805543,-0.386836064076019,0.07734123819184462,-0.6605525604456208,0.18814988077563524,-1,FALSE,FALSE
pib,atividade,4,48,-0.24361892390108997,-0.3882178462570779,0.06979526481148489,-0.6358066862392998,0.19320412948115023,-1,FALSE,FALSE
ibc_br,atividade,1,0,-0.4431850940094321,-0.718306301739394,-0.2161681838850827,-0.9997553300221965,-0.0651334897219868,-1,TRUE,TRUE
ibc_br,atividade,1,1,-0.07231091292210085,-0.573085748452594,0.11807102096693514,-0.8753173426041929,0.37471997975166904,-1,FALSE,FALSE
ibc_br,atividade,1,2,0.18693838640173735,-0.3793716842675259,0.35323297696669625,-0.6686752735574993,0.5822500263832923,1,FALSE,FALSE
ibc_br,atividade,1,3,0.05441075794187923,-0.4650777508840561,0.2699092018091992,-0.7449171706299529,0.515943960105487,1,FALSE,FALSE
ibc_br,atividade,1,4,0.10839321710465044,-0.298327096265336,0.396226286015001,-0.5885762650966091,0.6068176509673467,1,FALSE,FALSE
ibc_br,atividade,1,5,0.19841781849162854,-0.1646761787799847,0.5164094204191447,-0.44794644460031935,0.7062452098744122,1,FALSE,FALSE
ibc_br,atividade,1,6,0.1227536825501328,-0.17723614332594054,0.5232606079690063,-0.45520647532194397,0.7533530774993856,1,FALSE,FALSE
ibc_br,atividade,1,7,0.12788899930776113,-0.12504613617510543,0.5376140026564076,-0.37922465326957694,0.738320499489602,1,FALSE,FALSE
ibc_br,atividade,1,8,0.1370919075615928,-0.12410523665251719,0.5448704512443582,-0.3679607891203645,0.7538896060191472,1,FALSE,FALSE
ibc_br,atividade,1,9,0.09932332715625554,-0.13058038385934967,0.5167336870953227,-0.34902534788659795,0.7247336084457547,1,FALSE,FALSE
ibc_br,atividade,1,10,0.08389920814304164,-0.1174657122954845,0.4866167253678321,-0.33353772572752394,0.6873634169402355,1,FALSE,FALSE
ibc_br,atividade,1,11,0.06706737510680222,-0.13140560789331351,0.4540232177900817,-0.3618181134426309,0.6725916773962988,1,FALSE,FALSE
ibc_br,atividade,1,12,0.035914941862671856,-0.162907903578815,0.42109179256703155,-0.36082170765102317,0.6675912983996046,1,FALSE,FALSE
ibc_br,atividade,1,13,0.009258283127545666,-0.18455114268780232,0.40361887393396867,-0.3656043761527426,0.6352113317759163,1,FALSE,FALSE
ibc_br,atividade,1,14,-0.0161755193812259,-0.20469407434703232,0.39183842391495094,-0.3963409069067765,0.622332262876258,-1,FALSE,FALSE
ibc_br,atividade,1,15,-0.04467794803427795,-0.23687723720881382,0.37254373913065336,-0.4190110417906828,0.601573394711403,-1,FALSE,FALSE
ibc_br,atividade,1,16,-0.07146574748620751,-0.2545115346736072,0.3548653908245485,-0.4347375777298793,0.5866758885840122,-1,FALSE,FALSE
