var,grupo,tcode,R2_comum,R2_ols,R2_dif,gap_ols_chi
epu_germany,incerteza,1,-0.13123504507666994,0.6681118901277205,0.398882419995145,0.7993469352043905
trab_employment_south,trabalho,1,-0.1437080287806456,0.699347940854106,0.7120720415227902,0.8430559696347516
cds_5y,risco_ext,1,-0.14944437237144825,0.8566183533532068,0.6760104913320406,1.006062725724655
ics,atividade,1,-0.167493474970122,0.8359604912827646,0.5998547600206173,1.0034539662528865
commodity_metal,commodity,1,-0.17261534418646463,0.7181822660235123,0.32659593729948516,0.8907976102099769
asset_idiv,ativos,2,-0.1805019474711973,0.6421731567169146,0.8112034177681229,0.8226751041881118
trab_employment_central_west,trabalho,1,-0.22675281436045602,0.6610446809194979,0.5902152230050983,0.8877974952799539
fin_inst_reserve_req,outros,4,-0.2507846396178963,0.7269466102238812,0.24864484828625452,0.9777312498417775
asset_imat,ativos,2,-0.2846211061449384,0.37395941884595385,0.37385448024632606,0.6585805249908923
energia_outros,energia,1,-0.4296273244167652,0.4606896270839934,0.1487377155033398,0.8903169515007586
ind_bens_consumo,industria,1,-0.5856911701666909,0.8297481264643467,0.7853661237051434,1.4154392966310376
trab_min_wage,trabalho,1,-0.6005542759377835,0.677440423514805,0.09757273047840986,1.2779946994525886
epu_chile,incerteza,1,-0.6066039480682472,0.38867352463677435,0.17939067437557804,0.9952774727050215
embi_perc,risco_ext,1,-0.7885956969570993,0.8541639974371977,0.5608759286607674,1.642759694394297
asset_ifnc,ativos,2,-0.8134540521616191,0.6457503040231782,0.7904348487000782,1.4592043561847974
sp500_vix,risco_ext,1,-1.095167173614807,0.49699533168523796,0.3560667846659332,1.592162505300045
ind_bens_nao_duraveis,industria,1,-1.248966817029224,0.7355482085802008,0.6136701286657664,1.9845150256094248
epu_us,incerteza,1,-1.9100738645227993,0.6079921614609273,0.5827928305673883,2.5180660259837264
epu_canada,incerteza,1,-1.9943467493367173,0.42960471418007656,0.24118487739404126,2.423951463516794
asset_ifix,ativos,2,-2.3830360709474494,0.47911062183897457,0.4526754109699622,2.862146692786424
price_core_ipca_ex0,precos,1,-2.4342587986451822,0.7158602979768413,0.31495392776505177,3.1501190966220234
consumo_oleo_diesel,consumo,1,-3.5130530954591093,0.8318415183471327,0.36265567797344306,4.344894613806242
price_ipp,precos,1,-3.873801353770112,0.4423711353592494,0.43868999919511775,4.316172489129362
epu_russia,incerteza,1,-4.605036910469131,0.15606907534103737,0.11942885039905758,4.761105985810168
