month,z,yield_6m,embi_perc,dbgg,s_embi_ma12,I_embi_ma12,s_embi_ma6,I_embi_ma6,s_embi_ma1,I_embi_ma1,s_cds_ma12,I_cds_ma12,s_cds_ma6,I_cds_ma6,s_dbgg_lvl,I_dbgg_lvl,s_dbgg_d12,I_dbgg_d12
2019-01-01,0,0.063,2.35,75.44,2.6925,0,2.805,1,2.73,1,209.07083333333333,1,229.82500000000002,1,75.27,1,1.5499999999999972,0
2019-02-01,3.133051291464253,0.064,2.3,75.52,2.7075,1,2.7583333333333333,1,2.35,0,210.74416666666667,1,222.06666666666666,1,75.44,1,1.3999999999999915,0
2019-03-01,1.4931952027117237,0.063,2.48,76.71,2.7108333333333334,1,2.58,0,2.3,0,210.55833333333334,1,197.79666666666668,1,75.52,1,1.019999999999996,0
2019-04-01,0,0.064,2.45,77.12,2.7191666666666667,1,2.5116666666666667,0,2.48,0,211.64166666666668,1,184.36666666666667,0,76.71,1,2.1099999999999994,0
2019-05-01,0,0.062,2.67,76.55,2.7216666666666667,1,2.493333333333333,0,2.45,0,211.555,1,179.375,0,77.12,1,2.160000000000011,0
2019-06-01,0,0.06,2.32,76.67,2.695,0,2.4966666666666666,0,2.67,1,207.38,1,174.495,0,76.55,1,0.4299999999999926,0
2019-07-01,0,0.056,2.06,76.83,2.6166666666666667,0,2.4283333333333332,0,2.32,0,197.48000000000002,0,165.135,0,76.67,1,0.5400000000000063,0
2019-08-01,-5.858292941278073,0.053,2.41,77.55,2.569166666666667,0,2.38,0,2.06,0,190.4425,0,158.81833333333333,0,76.83,1,0.8799999999999955,0
2019-09-01,0,0.049,2.39,76.6,2.4891666666666667,0,2.3983333333333334,0,2.41,0,176.66833333333332,0,155.54,0,77.55,1,1.5300000000000011,0
2019-10-01,9.30722935224879,0.045,2.33,75.79,2.4475,0,2.3833333333333333,0,2.39,0,166.76166666666666,0,149.15666666666667,0,76.6,1,0.6099999999999994,0
2019-11-01,0,0.045,2.36,76.2,2.4283333333333332,0,2.3633333333333333,0,2.33,0,160.08583333333334,0,140.79666666666668,0,75.79,1,0.5,0
2019-12-01,-4.632060147583633,0.043,2.12,74.44,2.404166666666667,0,2.3116666666666665,0,2.36,0,153.1425,0,131.79,0,76.2,1,0.5100000000000051,0
2020-01-01,0,0.042,2.24,74.75,2.3533333333333335,0,2.2783333333333333,0,2.12,0,144.29,0,123.445,0,74.44,1,-0.8299999999999983,0
2020-02-01,1.152233134454416,0.041,2.51,75.15,2.3441666666666667,0,2.3083333333333336,0,2.24,0,139.32833333333335,0,119.83833333333334,0,74.75,1,-0.6899999999999977,0
2020-03-01,0,0.032,3.89,76.78,2.361666666666667,0,2.325,0,2.51,0,137.77083333333334,0,120.00166666666667,0,75.15,1,-0.36999999999999034,0
2020-04-01,0,0.028,4.2,78.03,2.4791666666666665,0,2.575,0,3.89,1,145.2975,0,141.43833333333333,0,76.78,1,0.07000000000000739,0
2020-05-01,0,0.023,3.88,79.95,2.625,0,2.8866666666666667,1,4.2,1,155.91750000000002,0,171.03833333333336,0,78.03,1,0.9099999999999966,0
2020-06-01,-5.605728638876105,0.02,3.73,82.87,2.7258333333333336,1,3.14,1,3.88,1,164.80166666666668,0,197.81333333333333,1,79.95,1,3.4000000000000057,1
2020-07-01,0,0.02,3.28,83.5,2.8433333333333333,1,3.408333333333333,1,3.73,1,173.31666666666666,0,223.18833333333333,1,82.87,1,6.200000000000003,1
2020-08-01,-10.885611237551688,0.021,3.14,85.83,2.945,1,3.5816666666666666,1,3.28,1,180.735,0,241.6316666666667,1,83.5,1,6.670000000000002,1
2020-09-01,-1.6180761798247458,0.022,3.34,87.42,3.0058333333333334,1,3.6866666666666665,1,3.14,1,187.26250000000002,0,254.52333333333334,1,85.83,1,8.280000000000001,1
2020-10-01,-6.209524120863767,0.023,3.09,87.66,3.085,1,3.5949999999999998,1,3.34,1,196.4875,0,251.5366666666667,1,87.42,1,10.820000000000007,1
2020-11-01,0,0.023,2.68,86.96,3.1483333333333334,1,3.41,1,3.09,1,204.32250000000002,1,237.60666666666668,1,87.66,1,11.86999999999999,1
2020-12-01,0,0.021,2.5,86.94,3.175,1,3.21,1,2.68,1,207.76833333333335,1,217.72333333333333,1,86.96,1,10.759999999999991,1
2021-01-01,2.406401937504502,0.025,2.7,86.91,3.2066666666666666,1,3.005,1,2.5,0,211.30916666666667,1,199.43,1,86.94,1,12.5,1
2021-02-01,0,0.03,2.75,86.87,3.245,1,2.908333333333333,1,2.7,1,216.90166666666667,1,192.17166666666668,1,86.91,1,12.159999999999997,1
2021-03-01,34.93629103167819,0.04,2.72,85.1,3.265,1,2.8433333333333333,1,2.75,1,221.83583333333334,1,189.14833333333334,0,86.87,1,11.719999999999999,1
2021-04-01,0,0.043,2.6,82.62,3.1675,1,2.74,1,2.72,1,218.22333333333333,1,184.91,0,85.1,1,8.319999999999993,1
2021-05-01,0,0.049,2.45,81.44,3.0341666666666667,1,2.658333333333333,1,2.6,1,209.11083333333335,1,180.615,0,82.62,1,4.590000000000003,1
2021-06-01,12.543700239847626,0.056,2.56,80.6,2.915,1,2.62,0,2.45,0,199.6125,1,181.50166666666667,0,81.44,1,1.4899999999999949,0
2021-07-01,0,0.065,2.8,80.25,2.8175,1,2.63,1,2.56,0,192.37166666666667,0,185.31333333333333,0,80.6,1,-2.2700000000000102,0
2021-08-01,13.166467036469736,0.072,2.82,79.64,2.7775,1,2.6466666666666665,1,2.8,1,188.99,0,185.80833333333334,0,80.25,1,-3.25,0
2021-09-01,-2.683902719031768,0.08,3.04,79.62,2.7508333333333335,1,2.658333333333333,1,2.82,1,185.87916666666666,0,182.61,0,79.64,1,-6.189999999999998,0
2021-10-01,36.9951538486364,0.105,3.38,79.52,2.7258333333333336,1,2.711666666666667,1,3.04,1,182.21833333333333,0,179.52666666666667,0,79.62,1,-7.799999999999997,0
2021-11-01,0,0.109,3.44,78.22,2.75,1,2.841666666666667,1,3.38,1,184.62166666666667,0,188.62833333333333,0,79.52,1,-8.14,0
2021-12-01,5.7916857257286445,0.113,3.06,77.31,2.8133333333333335,1,3.006666666666667,1,3.44,1,192.01916666666665,0,202.53666666666666,1,78.22,1,-8.739999999999995,0
2022-01-01,0,0.12,3.16,77,2.86,1,3.09,1,3.06,1,197.00833333333333,0,208.70333333333332,1,77.31,1,-9.629999999999995,0
2022-02-01,0,0.123,3.21,76.92,2.8983333333333334,1,3.15,1,3.16,1,201.60333333333332,1,217.39833333333334,1,77,1,-9.909999999999997,0
2022-03-01,-9.347346721534905,0.127,2.8,76.4,2.9366666666666665,1,3.215,1,3.21,1,203.62833333333333,1,224.64666666666665,1,76.92,1,-9.950000000000003,0
2022-04-01,0,0.131,2.91,76.33,2.9433333333333334,1,3.175,1,2.8,1,202.15583333333333,1,224.785,1,76.4,1,-8.699999999999989,0
2022-05-01,12.96042425473976,0.135,2.91,75.68,2.9691666666666667,1,3.0966666666666667,1,2.91,1,204.61583333333334,1,220.60333333333332,1,76.33,1,-6.290000000000006,0
2022-06-01,0,0.138,3.57,75.61,3.0075,1,3.0083333333333333,1,2.91,1,208.7575,1,214.97833333333332,1,75.68,1,-5.759999999999991,0
2022-07-01,0,0.139,3.09,75.24,3.091666666666667,1,3.0933333333333333,1,3.57,1,219.38666666666666,1,230.07,1,75.61,1,-4.989999999999995,0
2022-08-01,-5.140599619641044,0.139,2.95,74.57,3.1158333333333332,1,3.0816666666666666,1,3.09,1,227.76333333333332,1,238.12833333333333,1,75.24,1,-5.010000000000005,0
2022-09-01,-9.67685656789957,0.138,2.95,74.15,3.1266666666666665,1,3.038333333333333,1,2.95,1,234.66916666666665,1,244.69166666666666,1,74.57,1,-5.070000000000007,0
2022-10-01,-0.9294992339153004,0.138,2.69,73.7,3.1191666666666666,1,3.0633333333333335,1,2.95,1,243.29916666666668,1,261.81333333333333,1,74.15,1,-5.469999999999999,0
2022-11-01,0,0.14,2.49,72.95,3.0616666666666665,1,3.026666666666667,1,2.69,1,245.685,1,270.76666666666665,1,73.7,0,-5.819999999999993,0
2022-12-01,0,0.137,2.58,71.68,2.9825,1,2.9566666666666666,1,2.49,0,245.59916666666666,1,276.22,1,72.95,0,-5.269999999999996,0
2023-01-01,0,0.109,2.57,71.38,2.9425,1,2.791666666666667,1,2.58,1,249.665,1,269.26,1,71.68,0,-5.6299999999999955,0
2023-02-01,0,0.125,2.44,71.77,2.8933333333333335,1,2.705,1,2.57,1,249.75,1,261.37166666666667,1,71.38,0,-5.6200000000000045,0
2023-03-01,10.633220511977052,0.114,2.54,71.54,2.8291666666666666,1,2.62,0,2.44,0,250.6625,1,256.6333333333333,1,71.77,0,-5.150000000000006,0
2023-04-01,0,0.109,2.58,71.57,2.8075,1,2.5516666666666667,0,2.54,0,252.34666666666666,1,242.88,1,71.54,0,-4.859999999999999,0
2023-05-01,-4.029792752762017,0.109,2.48,72.11,2.7800000000000002,1,2.533333333333333,0,2.58,1,252.22416666666666,1,233.68166666666667,1,71.57,0,-4.760000000000005,0
2023-06-01,5.593707087799102,0.109,2.3,71.97,2.7441666666666666,1,2.5316666666666667,0,2.48,0,251.17333333333335,1,226.12666666666667,1,72.11,0,-3.5700000000000074,0
2023-07-01,0,0.109,1.97,72.48,2.638333333333333,0,2.485,0,2.3,0,241.50083333333333,1,213.74166666666667,1,71.97,0,-3.6400000000000006,0
2023-08-01,0,0.109,2.11,72.89,2.545,0,2.385,0,1.97,0,232.16416666666666,1,202.95666666666668,1,72.48,0,-2.759999999999991,0
2023-09-01,0,0.113,2.06,73.01,2.475,0,2.33,0,2.11,0,224.67416666666668,1,192.715,1,72.89,0,-1.6799999999999926,0
2023-10-01,0,0.113,2,73.32,2.4008333333333334,0,2.25,0,2.06,0,214.63583333333332,1,186.39166666666665,0,73.01,0,-1.1400000000000006,0
2023-11-01,0,0.109,1.96,73.32,2.3433333333333333,0,2.1533333333333333,0,2,0,207.09333333333333,1,180.505,0,73.32,0,-0.38000000000000966,0
2023-12-01,0,0.105,2,73.83,2.299166666666667,0,2.0666666666666664,0,1.96,0,198.1775,0,170.22833333333332,0,73.32,0,0.36999999999999034,0
2024-01-01,0,0.099,2.24,74.47,2.2508333333333335,0,2.0166666666666666,0,2,0,188.27833333333334,0,162.815,0,73.83,0,2.1499999999999915,0
2024-02-01,-2.0726419093812884,0.101,2.02,74.81,2.223333333333333,0,2.0616666666666665,0,2.24,0,180.90083333333334,0,158.845,0,74.47,1,3.0900000000000034,1
2024-03-01,0.12508870096847813,0.101,2.01,75.02,2.1883333333333335,0,2.046666666666667,0,2.02,0,172.19583333333333,0,151.67666666666668,0,74.81,1,3.0400000000000063,1
2024-04-01,0,0.102,2.02,75.15,2.1441666666666666,0,2.038333333333333,0,2.01,0,165.06083333333333,0,143.73,0,75.02,1,3.4799999999999898,1
2024-05-01,3.783048927416543,0.103,2.02,75.67,2.0975,0,2.0416666666666665,0,2.02,0,159.37,0,138.235,0,75.15,1,3.5800000000000125,1
2024-06-01,-6.4498502800473965,0.106,2.2,76.68,2.0591666666666666,0,2.0516666666666667,0,2.02,0,153.99083333333334,0,137.75333333333333,0,75.67,1,3.5600000000000023,1
2024-07-01,0,0.107,2.22,77.21,2.0508333333333333,0,2.085,0,2.2,0,153.4925,0,144.17,0,76.68,1,4.710000000000008,1
2024-08-01,-5.868100009291255,0.111,2.14,77.36,2.0716666666666668,0,2.0816666666666666,0,2.22,0,153.06666666666666,0,147.28833333333333,0,77.21,1,4.72999999999999,1
2024-09-01,11.95381744973174,0.114,2.11,77.09,2.0741666666666667,0,2.1016666666666666,0,2.14,0,151.53666666666666,0,151.39666666666665,0,77.36,1,4.469999999999999,1
2024-10-01,0,0.119,2.01,77.38,2.078333333333333,0,2.118333333333333,0,2.11,0,148.25416666666666,0,152.77833333333334,0,77.09,1,4.079999999999998,1
2024-11-01,2.280599522945073,0.13,2.18,77.5,2.0791666666666666,0,2.1166666666666667,0,2.01,0,146.00833333333333,0,153.78166666666667,0,77.38,1,4.060000000000002,1
2024-12-01,25.164266158297952,0.143,2.46,76.27,2.0975,0,2.1433333333333335,0,2.18,0,147.27666666666667,0,156.8,0,77.5,1,4.180000000000007,1
2025-01-01,-11.754046403816217,0.144,2.24,75.48,2.1358333333333333,0,2.1866666666666665,0,2.46,0,154.18,0,164.19,0,76.27,1,2.4399999999999977,1
2025-02-01,0,0.144,2.35,75.78,2.1358333333333333,0,2.19,0,2.24,0,157.215,0,167.14166666666668,0,75.48,1,1.0100000000000051,0
2025-03-01,11.522453091372451,0.144,2.31,75.55,2.1633333333333336,0,2.225,0,2.35,0,161.4675,0,171.53833333333333,0,75.78,1,0.9699999999999989,0
2025-04-01,0,0.144,2.3,75.62,2.1883333333333335,0,2.2583333333333333,0,2.31,0,165.62916666666666,0,178.48000000000002,0,75.55,1,0.5300000000000011,0
2025-05-01,0,0.145,2.2,75.75,2.211666666666667,0,2.3066666666666666,0,2.3,0,168.345,0,182.90833333333333,0,75.62,1,0.46999999999999886,0
2025-06-01,0,0.147,2.14,76.3,2.2266666666666666,0,2.31,0,2.2,0,169.76916666666668,0,182.73833333333334,0,75.75,1,0.0799999999999983,0
2025-07-01,0,0.147,2.04,77.18,2.2216666666666667,0,2.256666666666667,0,2.14,0,167.91333333333333,0,171.63666666666666,0,76.3,1,-0.38000000000000966,0
2025-08-01,0,0.145,1.93,77.31,2.2066666666666666,0,2.2233333333333336,0,2.04,0,167.05833333333334,0,166.975,0,77.18,1,-0.029999999999986926,0
2025-09-01,1.7430949038010293,0.144,1.84,77.84,2.1891666666666665,0,2.1533333333333333,0,1.93,0,165.905,0,160.27166666666668,0,77.31,1,-0.04999999999999716,0
