var,indicador,L,h,n,n_alto,n_baixo,b_alto,se_alto,b_baixo,se_baixo,dif,se_dif,t_dif,F_alto,F_baixo,flag_alto,flag_baixo,rf_alto,rf_se_alto,rf_baixo,rf_se_baixo
cambio_usd,cds_ma12,2,4,137,70,67,-0.0915869243072666,0.06540973861656435,-0.016776069513730365,0.04704904885736925,-0.07481085479353623,0.08393931198681971,-0.8912493207626381,14.479089865418109,18.125592513343815,ok,ok,-0.0030351176486868026,0.002146016874353022,-0.0012118765965059286,0.0034775161045396776
cambio_usd,cds_ma12,2,8,133,70,63,0.054431701813991824,0.038654221705753077,-0.1380253738158717,0.048611769660960216,0.19245707562986353,0.06116204297993542,3.1466750659882345,13.304204840462667,27.169568851574777,ok,ok,0.0018038231988289355,0.0013412574526912105,-0.010366492259795301,0.0035186053910141054
embi_perc,cds_ma12,2,0,141,70,71,0.11667941979787429,0.08935364083987671,0.14333121445917868,0.06005279759687144,-0.026651794661304393,0.10738059201018463,-0.24819936417166125,7.916452233295223,18.428382847281842,FRACO,ok,0.0036083036891516596,0.002631586273320066,0.01043177521709232,0.003262180608398592
embi_perc,cds_ma12,2,4,137,70,67,-0.12897438727944974,0.17459004601354727,0.014075599523448546,0.07247426009632116,-0.1430499868028983,0.19158511039291987,-0.7466654715991164,21.154377351174023,18.84401021507037,ok,ok,-0.003988524781104008,0.00482970238582416,0.0010158133464833047,0.005249085246835968
embi_perc,cds_ma12,2,8,133,70,63,0.08938475693099462,0.09218933462590209,-0.014524456018366437,0.07511460953762276,0.10390921294936106,0.10646941990130476,0.9759535934889383,22.524251149569672,25.387029429732806,ok,ok,0.002764217963667326,0.0032070299770745043,-0.00108861396446229,0.005514261127675074
asset_ifnc,cds_ma12,2,0,141,70,71,-0.7401160432265351,1.8574474884165861,-3.3361254388867643,1.8395002457005074,2.596009395660229,2.615719145229416,0.9924648830876458,9.358219238212214,16.45373794662257,FRACO,ok,-0.02814665207196554,0.06733956023271148,-0.23511191794545883,0.09985271785452911
asset_ifnc,cds_ma12,2,4,137,70,67,2.8679723372110675,3.5579079029240854,-3.9034847217706283,2.2678914599594124,6.771457058981696,4.153618863806479,1.6302547925102993,14.27773834877549,15.78403945540261,ok,ok,0.10906913891308401,0.11427408602749631,-0.2702482167500819,0.15608211914166648
asset_ifnc,cds_ma12,2,8,133,70,63,-5.175608332603006,2.652522463159988,-1.6478911572785637,2.7455438430553616,-3.527717175324442,3.7993057396774543,-0.9285162650858235,14.96296376726753,21.821449013476578,ok,ok,-0.19682865725058019,0.12625652930772507,-0.11973708873016642,0.22068598690943705
cambio_usd,cds_ma12,3,0,141,70,71,0.11422679251838418,0.07076875921747557,0.0544189660498796,0.025972205255959606,0.05980782646850458,0.07550588771523041,0.7920948720458609,14.912741779873551,18.677447146994798,ok,ok,0.0039861507446481426,0.0020263740151165955,0.003959512913253471,0.0017994225514956622
cambio_usd,cds_ma12,3,4,137,70,67,-0.06383079354407528,0.07415720869787105,-0.025600455986790394,0.04740995396873508,-0.03823033755728489,0.08801019403779274,-0.4343853342814842,15.674990432238626,20.862998518005092,ok,ok,-0.0022274911113107088,0.002549672294013018,-0.0018496130359088037,0.003407852645890522
cambio_usd,cds_ma12,3,8,133,70,63,0.06609599601266382,0.03776663695491233,-0.1323043645623045,0.05018598340992633,0.1984003605749683,0.06291063429751413,3.1536855857580814,14.091876326284908,28.826299211279284,ok,ok,0.0023065394551768925,0.0012517732721941015,-0.009886510026673623,0.0032046528591915084
embi_perc,cds_ma12,3,0,141,70,71,0.08581483649754773,0.0688351534348414,0.13974415609004154,0.05623521345624055,-0.05392931959249381,0.08879044407106855,-0.6073775185686465,10.322109151782293,21.806175272398935,ok,ok,0.0029054634813012736,0.0023110881854984033,0.010195163726969103,0.0031052786241745384
embi_perc,cds_ma12,3,4,137,70,67,-0.0785268005456237,0.14285553485760824,0.022483511489328974,0.06208274896694574,-0.10101031203495268,0.1582894103660888,-0.6381368898989385,33.911340881954004,23.17679878538351,ok,ok,-0.002658709854720387,0.004568304461575385,0.0016333447707858884,0.00451834874354786
embi_perc,cds_ma12,3,8,133,70,63,0.09944023717464234,0.07732604526854232,0.053941889769319004,0.05083073825382577,0.04549834740532334,0.08690045522497979,0.5235685738070185,43.39973853678202,29.9246672944334,ok,ok,0.0033667835249360234,0.0027965494985367416,0.0040573752709554545,0.004154832923728797
asset_ifnc,cds_ma12,3,0,141,70,71,-0.8404153818163315,1.6931818357780373,-3.357869688047606,1.8001262687847845,2.5174543062312744,2.4705347404844016,1.01899166402237,12.440214242967745,17.4423628099327,ok,ok,-0.036148996202404804,0.0698516574010503,-0.23747546052084179,0.0968200381470761
asset_ifnc,cds_ma12,3,4,137,70,67,1.4402348770823687,3.015420924473082,-3.162351227116833,1.9032290805615233,4.602586104199202,3.479624396408724,1.3227249782906088,14.391403898254499,18.750716310854838,ok,ok,0.06194918159612062,0.11796126863276067,-0.22113717255861653,0.1369004670740609
asset_ifnc,cds_ma12,3,8,133,70,63,-5.369378653546614,2.0903034425310536,-1.3733756482362425,2.7958897351049736,-3.9960030053103717,3.4527107587358006,-1.1573523774616719,14.452922234408945,25.799159618873023,ok,ok,-0.23095442177177006,0.1093081139309986,-0.10049345176383673,0.21927263142296566
