variant,sample,r,q,p,n_series,n_months,n_obs_align,xi_mp,mosw_class
add_eua,pre_covid,8,3,6,111,84,78,3.369256445309046,xi_mp_le_3.84
add_eua,pre_covid,8,4,6,111,84,78,3.341353969324279,xi_mp_le_3.84
add_eua,pre_covid,8,5,6,111,84,78,2.88280237777153,xi_mp_le_3.84
add_eua,pre_covid,8,6,6,111,84,78,2.6363224305619886,xi_mp_le_3.84
add_eua,pre_covid,8,7,6,111,84,78,10.481374272213042,xi_mp_ge_10
add_eua,pre_covid,8,8,6,111,84,78,10.901365930561896,xi_mp_ge_10
add_expectativas,full,5,3,6,110,153,147,4.202751837230296,xi_mp_3.84_10
add_expectativas,full,5,4,6,110,153,147,5.303553589461462,xi_mp_3.84_10
add_expectativas,full,5,5,6,110,153,147,6.458283522511075,xi_mp_3.84_10
add_expectativas,full,6,3,6,110,153,147,4.1346651424043985,xi_mp_3.84_10
add_expectativas,full,6,4,6,110,153,147,4.481776167814964,xi_mp_3.84_10
add_expectativas,full,6,5,6,110,153,147,5.094416296714429,xi_mp_3.84_10
add_expectativas,full,6,6,6,110,153,147,7.908181839550461,xi_mp_3.84_10
add_expectativas,full,7,3,6,110,153,147,8.640965049211198,xi_mp_3.84_10
add_expectativas,full,7,4,6,110,153,147,7.478911536758004,xi_mp_3.84_10
add_expectativas,full,7,5,6,110,153,147,8.265879599962608,xi_mp_3.84_10
add_expectativas,full,7,6,6,110,153,147,8.35689944677467,xi_mp_3.84_10
add_expectativas,full,7,7,6,110,153,147,10.29380815541331,xi_mp_ge_10
add_expectativas,full,8,3,6,110,153,147,8.6541741961684,xi_mp_3.84_10
add_expectativas,full,8,4,6,110,153,147,7.8223436764043806,xi_mp_3.84_10
add_expectativas,full,8,5,6,110,153,147,8.610553821675694,xi_mp_3.84_10
add_expectativas,full,8,6,6,110,153,147,8.962419938483173,xi_mp_3.84_10
add_expectativas,full,8,7,6,110,153,147,9.236188178093853,xi_mp_3.84_10
add_expectativas,full,8,8,6,110,153,147,10.892154216462783,xi_mp_ge_10
add_expectativas,pre_covid,5,3,6,110,84,78,4.483432662417317,xi_mp_3.84_10
add_expectativas,pre_covid,5,4,6,110,84,78,9.79417102762518,xi_mp_3.84_10
add_expectativas,pre_covid,5,5,6,110,84,78,9.49477356136374,xi_mp_3.84_10
add_expectativas,pre_covid,6,3,6,110,84,78,6.060160419071907,xi_mp_3.84_10
add_expectativas,pre_covid,6,4,6,110,84,78,12.198459024178835,xi_mp_ge_10
add_expectativas,pre_covid,6,5,6,110,84,78,11.55272233473046,xi_mp_ge_10
add_expectativas,pre_covid,6,6,6,110,84,78,11.770605230826686,xi_mp_ge_10
add_expectativas,pre_covid,7,3,6,110,84,78,4.925994964146141,xi_mp_3.84_10
add_expectativas,pre_covid,7,4,6,110,84,78,17.598029254766193,xi_mp_ge_10
add_expectativas,pre_covid,7,5,6,110,84,78,17.392013089876222,xi_mp_ge_10
add_expectativas,pre_covid,7,6,6,110,84,78,16.278276346982985,xi_mp_ge_10
add_expectativas,pre_covid,7,7,6,110,84,78,16.272335845348017,xi_mp_ge_10
add_expectativas,pre_covid,8,3,6,110,84,78,10.758153785491501,xi_mp_ge_10
add_expectativas,pre_covid,8,4,6,110,84,78,17.859854647732266,xi_mp_ge_10
add_expectativas,pre_covid,8,5,6,110,84,78,17.197773777956797,xi_mp_ge_10
add_expectativas,pre_covid,8,6,6,110,84,78,17.438741684484114,xi_mp_ge_10
add_expectativas,pre_covid,8,7,6,110,84,78,17.349179028847395,xi_mp_ge_10
add_expectativas,pre_covid,8,8,6,110,84,78,14.235183888763842,xi_mp_ge_10
add_fiscal,full,5,3,6,109,153,147,2.684820601577512,xi_mp_le_3.84
add_fiscal,full,5,4,6,109,153,147,4.017110827617962,xi_mp_3.84_10
add_fiscal,full,5,5,6,109,153,147,6.148211605020215,xi_mp_3.84_10
add_fiscal,full,6,3,6,109,153,147,1.4904894088425824,xi_mp_le_3.84
add_fiscal,full,6,4,6,109,153,147,3.1468465514767088,xi_mp_le_3.84
add_fiscal,full,6,5,6,109,153,147,3.958620957243172,xi_mp_3.84_10
add_fiscal,full,6,6,6,109,153,147,6.856560905985989,xi_mp_3.84_10
add_fiscal,full,7,3,6,109,153,147,1.2297243308338857,xi_mp_le_3.84
add_fiscal,full,7,4,6,109,153,147,4.900510200469554,xi_mp_3.84_10
add_fiscal,full,7,5,6,109,153,147,6.223021217045213,xi_mp_3.84_10
add_fiscal,full,7,6,6,109,153,147,6.388507387999098,xi_mp_3.84_10
add_fiscal,full,7,7,6,109,153,147,9.531072013583987,xi_mp_3.84_10
add_fiscal,full,8,3,6,109,153,147,5.971587070139005,xi_mp_3.84_10
add_fiscal,full,8,4,6,109,153,147,5.9954353355052135,xi_mp_3.84_10
add_fiscal,full,8,5,6,109,153,147,7.790823501260898,xi_mp_3.84_10
add_fiscal,full,8,6,6,109,153,147,7.636369875538476,xi_mp_3.84_10
add_fiscal,full,8,7,6,109,153,147,8.074819877722963,xi_mp_3.84_10
add_fiscal,full,8,8,6,109,153,147,10.960526196844173,xi_mp_ge_10
add_fiscal,pre_covid,5,3,6,109,84,78,6.432766669300167,xi_mp_3.84_10
add_fiscal,pre_covid,5,4,6,109,84,78,7.999992373651217,xi_mp_3.84_10
add_fiscal,pre_covid,5,5,6,109,84,78,8.333505238727813,xi_mp_3.84_10
add_fiscal,pre_covid,6,3,6,109,84,78,6.4466584016241075,xi_mp_3.84_10
add_fiscal,pre_covid,6,4,6,109,84,78,13.015014336018842,xi_mp_ge_10
add_fiscal,pre_covid,6,5,6,109,84,78,11.895826040622387,xi_mp_ge_10
add_fiscal,pre_covid,6,6,6,109,84,78,12.799606895291308,xi_mp_ge_10
add_fiscal,pre_covid,7,3,6,109,84,78,7.427422779941867,xi_mp_3.84_10
add_fiscal,pre_covid,7,4,6,109,84,78,13.259508033673992,xi_mp_ge_10
add_fiscal,pre_covid,7,5,6,109,84,78,13.407941249709367,xi_mp_ge_10
add_fiscal,pre_covid,7,6,6,109,84,78,13.733397040680114,xi_mp_ge_10
add_fiscal,pre_covid,7,7,6,109,84,78,13.969532532143022,xi_mp_ge_10
add_fiscal,pre_covid,8,3,6,109,84,78,3.937937988737363,xi_mp_3.84_10
