variant,sample,r,q,p,n_series,n_months,n_obs_align,xi_mp,mosw_class
drop_eua__imoveis,pre_covid,5,5,6,117,84,78,9.379272776422411,xi_mp_3.84_10
drop_eua__imoveis,pre_covid,6,3,6,117,84,78,8.408601026900827,xi_mp_3.84_10
drop_eua__imoveis,pre_covid,6,4,6,117,84,78,10.368506630258155,xi_mp_ge_10
drop_eua__imoveis,pre_covid,6,5,6,117,84,78,10.363947369198621,xi_mp_ge_10
drop_eua__imoveis,pre_covid,6,6,6,117,84,78,10.768125200034985,xi_mp_ge_10
drop_eua__imoveis,pre_covid,7,3,6,117,84,78,14.171126834490902,xi_mp_ge_10
drop_eua__imoveis,pre_covid,7,4,6,117,84,78,13.785767090427484,xi_mp_ge_10
drop_eua__imoveis,pre_covid,7,5,6,117,84,78,13.760840988955874,xi_mp_ge_10
drop_eua__imoveis,pre_covid,7,6,6,117,84,78,12.790718065101226,xi_mp_ge_10
drop_eua__imoveis,pre_covid,7,7,6,117,84,78,14.297852567079692,xi_mp_ge_10
drop_eua__imoveis,pre_covid,8,3,6,117,84,78,8.605654992735804,xi_mp_3.84_10
drop_eua__imoveis,pre_covid,8,4,6,117,84,78,16.30758806649887,xi_mp_ge_10
drop_eua__imoveis,pre_covid,8,5,6,117,84,78,14.288988404808759,xi_mp_ge_10
drop_eua__imoveis,pre_covid,8,6,6,117,84,78,12.872595552655394,xi_mp_ge_10
drop_eua__imoveis,pre_covid,8,7,6,117,84,78,12.503003425485726,xi_mp_ge_10
drop_eua__imoveis,pre_covid,8,8,6,117,84,78,10.75226993104948,xi_mp_ge_10
drop_expectativas,full,5,3,6,119,153,147,2.324665729006022,xi_mp_le_3.84
drop_expectativas,full,5,4,6,119,153,147,3.7357486458135454,xi_mp_le_3.84
drop_expectativas,full,5,5,6,119,153,147,5.040630186410691,xi_mp_3.84_10
drop_expectativas,full,6,3,6,119,153,147,2.658236598034283,xi_mp_le_3.84
drop_expectativas,full,6,4,6,119,153,147,3.7230556338808447,xi_mp_le_3.84
drop_expectativas,full,6,5,6,119,153,147,4.073687949626393,xi_mp_3.84_10
drop_expectativas,full,6,6,6,119,153,147,5.6086583443648586,xi_mp_3.84_10
drop_expectativas,full,7,3,6,119,153,147,3.3435945188411864,xi_mp_le_3.84
drop_expectativas,full,7,4,6,119,153,147,3.7949540431272393,xi_mp_le_3.84
drop_expectativas,full,7,5,6,119,153,147,4.198539156072723,xi_mp_3.84_10
drop_expectativas,full,7,6,6,119,153,147,4.450084648159911,xi_mp_3.84_10
drop_expectativas,full,7,7,6,119,153,147,6.9589975386722465,xi_mp_3.84_10
drop_expectativas,full,8,3,6,119,153,147,4.730199120359962,xi_mp_3.84_10
drop_expectativas,full,8,4,6,119,153,147,4.824095846282671,xi_mp_3.84_10
drop_expectativas,full,8,5,6,119,153,147,5.489585813531724,xi_mp_3.84_10
drop_expectativas,full,8,6,6,119,153,147,5.4567576734688075,xi_mp_3.84_10
drop_expectativas,full,8,7,6,119,153,147,5.3506281247311644,xi_mp_3.84_10
drop_expectativas,full,8,8,6,119,153,147,7.443192171826371,xi_mp_3.84_10
