variante,var,bloco,h,point,lo68,hi68,lo90,hi90,sig68,sig90
prod,asset_ibov,acoes,44,-2.394217254525075,-2.7182344338667925,0.5203461661170738,-4.483921325208588,2.210528170599634,FALSE,FALSE
prod,asset_ibov,acoes,45,-2.3675230873201767,-2.709943671726478,0.44035030395260166,-4.430661128416929,2.0843750802013203,FALSE,FALSE
prod,asset_ibov,acoes,46,-2.3293756308248543,-2.6685014331685357,0.40052568796101234,-4.352665167237917,2.003854301987611,FALSE,FALSE
prod,asset_ibov,acoes,47,-2.2805214644026632,-2.649784541328281,0.39559586023072,-4.333034879468547,1.8383505101933655,FALSE,FALSE
prod,asset_ibov,acoes,48,-2.221528491814801,-2.6153692073012085,0.3510364803513359,-4.331322907570177,1.9003827077056368,FALSE,FALSE
prod,asset_idiv,acoes,0,-2.039189774984028,-5.554537523044308,-1.0283546424073124,-7.424540368525498,0.27633239436633134,TRUE,FALSE
prod,asset_idiv,acoes,1,-1.6751953271441349,-3.844931705067645,-0.11495010070963446,-5.015219530056056,1.081500468985764,TRUE,FALSE
prod,asset_idiv,acoes,2,0.8344238451280402,-1.3814592524520664,2.698844942688845,-3.0544694985244054,4.121398322738568,FALSE,FALSE
prod,asset_idiv,acoes,3,-0.8981521612344082,-2.8078817092065522,1.4137229207698367,-4.124807812984288,2.6422647631870597,FALSE,FALSE
prod,asset_idiv,acoes,4,-0.2772545617064842,-2.1081257533363216,2.0389183071102677,-3.509900888281979,3.3937915808193675,FALSE,FALSE
prod,asset_idiv,acoes,5,0.9810161372135766,-0.8764008076830951,3.034055379178492,-2.0940466933086794,4.436689648102627,FALSE,FALSE
prod,asset_idiv,acoes,6,1.0096030601334156,-0.9011700230148656,2.9265360268376,-2.3239571340365526,4.1931729497526895,FALSE,FALSE
prod,asset_idiv,acoes,7,1.6300845742211416,-0.34789492173586467,3.3785472361631923,-1.846418749010775,4.693416322233228,FALSE,FALSE
prod,asset_idiv,acoes,8,1.915797321116217,0.00389349394179297,3.73817668229204,-1.1773350580973094,5.131524708997234,TRUE,FALSE
prod,asset_idiv,acoes,9,1.7232700359260844,-0.19333984119821884,3.397586128386062,-1.517260823681217,4.8873001329704655,FALSE,FALSE
prod,asset_idiv,acoes,10,1.9586805054714065,-0.011608864580889142,3.610709231060179,-1.2583463139588713,5.270692618310147,FALSE,FALSE
prod,asset_idiv,acoes,11,1.8198161181475867,-0.12251211118337978,3.6687807142617403,-1.3987158206923178,5.268867058188279,FALSE,FALSE
prod,asset_idiv,acoes,12,1.956649353579083,0.0303059146531219,3.850891918545792,-1.2971382456849383,5.36835542824898,TRUE,FALSE
prod,asset_idiv,acoes,13,1.7674704032356954,-0.07587333185315348,3.8310101168424175,-1.558336111164546,5.340218014792956,FALSE,FALSE
prod,asset_idiv,acoes,14,1.478366851539581,-0.22758012724592075,3.802619406240599,-1.5628008111100125,5.381688529110783,FALSE,FALSE
prod,asset_idiv,acoes,15,1.3933584778124783,-0.30207707757472396,3.743830314094676,-1.5448214644416718,5.4261166591249,FALSE,FALSE
prod,asset_idiv,acoes,16,1.122918269522607,-0.5233775880725846,3.558567023476636,-1.741350988874493,5.42791326409096,FALSE,FALSE
prod,asset_idiv,acoes,17,0.9826399788979925,-0.6478485078836242,3.5761192714397794,-1.7228501377966048,5.401803162404459,FALSE,FALSE
prod,asset_idiv,acoes,18,0.8461101882097085,-0.5701113064134414,3.6268175917941132,-1.8679582895650826,5.367922866550934,FALSE,FALSE
prod,asset_idiv,acoes,19,0.5869578314502624,-0.7963175880934319,3.497605043534345,-1.99985998104415,5.286461358092728,FALSE,FALSE
prod,asset_idiv,acoes,20,0.4079422115844392,-0.8307051297652774,3.4466211281203805,-2.1760574295274613,5.159824747838329,FALSE,FALSE
prod,asset_idiv,acoes,21,0.20334281369740037,-0.8953976474768685,3.2743846573958484,-2.290455873524436,5.118503244800478,FALSE,FALSE
prod,asset_idiv,acoes,22,-0.0022251186945013574,-0.969088645284412,3.157618871417014,-2.404508595767369,5.059083645842151,FALSE,FALSE
prod,asset_idiv,acoes,23,-0.18045919048367257,-1.0644718759391323,3.073900128394456,-2.4785150891812204,5.01420956219642,FALSE,FALSE
prod,asset_idiv,acoes,24,-0.381131861332992,-1.2500403392483759,2.9882024682793578,-2.696304335902378,4.8408569568548465,FALSE,FALSE
prod,asset_idiv,acoes,25,-0.5765587212377259,-1.4077210622897998,2.829477434163608,-2.6772426284000272,4.885296938030151,FALSE,FALSE
prod,asset_idiv,acoes,26,-0.768230294528695,-1.5997030417609188,2.751849602332624,-2.7817086999252147,4.834131131438222,FALSE,FALSE
prod,asset_idiv,acoes,27,-0.9548699402785186,-1.7829041990720835,2.6134516258015252,-2.9229106435897525,4.7423126982794646,FALSE,FALSE
prod,asset_idiv,acoes,28,-1.13175649315511,-1.8492832704671427,2.4801813434277435,-3.0637820192558562,4.6898260956553175,FALSE,FALSE
prod,asset_idiv,acoes,29,-1.3091249245686218,-1.9744101071870022,2.2716414436153727,-3.340808318488634,4.5487419382791465,FALSE,FALSE
prod,asset_idiv,acoes,30,-1.4769067296990974,-2.1367011434365515,2.09893733914289,-3.5165184754741525,4.313821373125199,FALSE,FALSE
prod,asset_idiv,acoes,31,-1.637939666693475,-2.2531509619561807,1.9929371101351883,-3.8062569809719813,4.111124411080288,FALSE,FALSE
prod,asset_idiv,acoes,32,-1.790359395568265,-2.345237920342516,1.8446390797139938,-3.8921042852222714,3.8420943542633825,FALSE,FALSE
prod,asset_idiv,acoes,33,-1.9285487798286969,-2.430097203449954,1.6978175811695628,-4.061692380803553,3.6727774107110354,FALSE,FALSE
prod,asset_idiv,acoes,34,-2.0572847979424593,-2.556593045093457,1.5432177341040334,-4.153998430339888,3.4531614852696335,FALSE,FALSE
prod,asset_idiv,acoes,35,-2.173631795042481,-2.626386768470088,1.4521327866882352,-4.299796289793651,3.266626097037765,FALSE,FALSE
prod,asset_idiv,acoes,36,-2.2762501439322644,-2.730197513283813,1.3193191606191403,-4.417051370505236,3.0820416715817722,FALSE,FALSE
prod,asset_idiv,acoes,37,-2.3660139041351282,-2.7843437910442237,1.180974559789086,-4.44421462184584,2.951666960799768,FALSE,FALSE
prod,asset_idiv,acoes,38,-2.4405613933304555,-2.860575680305485,1.0155103905568432,-4.480226144021496,2.8192593214516055,FALSE,FALSE
prod,asset_idiv,acoes,39,-2.500562098105262,-2.884511787884125,0.8855644536975631,-4.458590957695065,2.6519857942824308,FALSE,FALSE
prod,asset_idiv,acoes,40,-2.5461363424180106,-2.902217800498876,0.7782147741097929,-4.525540984774273,2.5327020314585753,FALSE,FALSE
