ref.date,dlsp_monthly_change,dlsp_nfsp,dlsp_exchange_adjustment,dlsp_debt_recognition,dlsp_privatizations,rhs,residual,rhs_including_external_other_adjustments,residual_including_external_other_adjustments
2016-02-01,65366.412236658856,52827.24408309997,19247.45020912,-420.00000001000444,0,71654.69429220996,-6288.282055551099,65366.412236739954,-8.109782356768847e-8
2016-03-01,128071.5736187296,9995.05596643,129173.11186523002,-1452.9999999999968,0,137715.16783166002,-9643.594212930417,128071.57361871001,1.9586877897381783e-8
2016-04-01,41768.12856974127,13162.862458290008,33448.56543579,-1083,0,45528.42789408001,-3760.299324338739,41768.128569390006,3.5126140573993325e-7
2016-05-01,22519.26752202958,60622.977683170044,-44521.61894781,-997,0,15104.358735360045,7414.908786669534,22519.267521640046,3.8953294279053807e-7
2016-06-01,150572.70447934046,32173.91740490003,118772.31237578,4283.683603490001,0,155229.91338417004,-4657.208904829575,150572.70447991003,-5.695619620382786e-7
2016-07-01,42171.648692900315,53403.39310717998,-9045.85406076,-2414.9999999899974,0,41942.539046429985,229.1096464703296,42171.64869237998,5.203328328207135e-7
2016-08-01,66442.78698639106,62943.27898992,-386.6793611900001,1245.9999998800067,0,63802.599628610005,2640.1873577810547,66442.78698706001,-6.689515430480242e-7
2016-09-01,61552.029904238414,67100.42142834999,-1812.0483690099995,-939.9999999900001,0,64348.373059349986,-2796.343155111572,61552.02990420999,2.8427166398614645e-8
2016-10-01,23070.19572282955,-3383.9723477399966,20070.733613100005,-684.9999999900001,0,16001.761265370009,7068.434457459542,23070.195722990007,-1.604566932655871e-7
2016-11-01,21167.229963870253,80427.50279818001,-65796.75443490999,314.48098312999997,0,14945.229346400018,6222.000617470236,21167.22996321002,6.602349458262324e-7
2016-12-01,148806.54779472016,105236.79016033001,41680.63984620001,-408.66107054000247,-881.97757507,145626.79136092003,3179.756433800125,148806.54779502004,-2.998858690261841e-7
2017-01-01,34643.17063552048,-299.38542435001,40275.98147617,-311.0000000099988,0,39665.59605181,-5022.425416289516,34643.170635589995,-6.951449904590845e-8
2017-02-01,60259.30444451887,54243.64952683998,8501.052448330001,-631.99999999,-1104.30336593,61008.39860924998,-749.094164731112,60259.304443949986,5.688852979801595e-7
2017-03-01,32798.77647941047,54348.79547582999,-21152.53483307,-1418.8167536599992,0,31777.44388909999,1021.3325903104815,32798.776479559994,-1.495209289714694e-7
2017-04-01,4414.018432880286,15422.526337530007,-9162.403634909999,-518.0000000100001,0,5742.122702610009,-1328.1042697297225,4414.018433350008,-4.697221811511554e-7
2017-05-01,50110.39033744903,66988.53869031,-13860.490114940003,161.99999998,0,53290.048575349996,-3179.6582379009633,50110.39033789,-4.409666871652007e-7
2017-06-01,37752.40732258139,51063.19442164999,-19761.399567700002,7480.16536502,0,38781.96021896999,-1029.5528963885954,37752.40732220998,3.7140853237360716e-7
2017-07-01,93181.88661174942,44619.54382644998,54703.51009122,-477.99999999999994,0,98845.05391766998,-5663.167305920564,93181.88661157998,1.6944250091910362e-7
2017-08-01,39581.80066099111,45541.078502489996,-5071.23777857,791.7617149700001,0,41261.60243889,-1679.801777898887,39581.80066086,1.3111275620758533e-7
2017-09-01,52405.96407948993,53308.53847582999,-6410.6831673,2960.642151650001,0,49858.49746017999,2547.46661930994,52405.96407932999,1.5994010027498007e-7
2017-10-01,503.55157891940325,30493.500823100003,-33340.98496549001,-250.99999999999997,0,-3098.484142390007,3602.0357213094103,503.551578889992,2.9411239665932953e-8
2017-11-01,34982.60230254941,30037.94544222999,4673.769166169999,263.99999998999994,0,34975.71460838999,6.887694159413513,34982.60230214999,3.9941369323059916e-7
2017-12-01,49394.88005028991,65640.52481774999,-14251.233568940002,92.00000000000078,0,51481.29124880998,-2086.4111985200725,49394.880050589985,-3.0007504392415285e-7
2018-01-01,23993.626775000244,-18626.106003229972,44611.99192693999,-924.00000001,0,25061.885923700018,-1068.2591486997735,23993.626775250017,-2.4977271095849574e-7
2018-02-01,24880.483395759948,45806.15252635998,-25256.830508959996,-474,0,20075.322017399987,4805.1613783599605,24880.48339572999,2.9958755476400256e-8
2018-03-01,31570.939847399946,57631.082164210005,-24063.74119724,854.9999999899993,0,34422.34096696001,-2851.4011195600615,31570.939847150006,2.4994005798362195e-7
2018-04-01,-15274.073921549134,26751.13183432,-47901.94523574,1438.03272722,0,-19712.7806742,4438.706752650865,-15274.07392206,5.108668119646609e-7
2018-05-01,-31426.362527089193,47896.23398704999,-77793.987630909993,732.57800024,0,-29165.17564362,-2261.1868834691923,-31426.362526790002,-2.9919101507402956e-7
2018-06-01,23986.733915159944,57941.16576935,-36208.31789404,-103.99999999,0,21628.84787532,2357.8860398399447,23986.73391557,-4.100547812413424e-7
2018-07-01,62844.63770308858,29162.30321886,30757.01249703,-2431.9416513799993,0,57487.37406451,5357.263638578581,62844.637703349996,-2.614178811199963e-7
2018-08-01,-44418.82367826952,76927.60764143,-116240.51405260999,-489.9999999999999,0,-39802.90641117998,-4615.917267089535,-44418.82367829998,3.0464434530586004e-8
2018-09-01,84485.52266290877,39173.03089841,40190.26725448,-51.617686399999855,0,79311.68046649,5173.842196418773,84485.52266288,2.8769136406481266e-8
