ref.date,dlsp_monthly_change,dlsp_nfsp,dlsp_primary_result,dlsp_nominal_interest,dlsp_exchange_adjustment,dlsp_debt_recognition,dlsp_privatizations
2016-09-01,61552.029904238414,67100.42142834999,26642.639826479994,40457.781601869996,-1812.0483690099995,-939.9999999900001,0
2016-10-01,23070.19572282955,-3383.9723477399966,-39588.91271758999,36204.940369849995,20070.733613100005,-684.9999999900001,0
2016-11-01,21167.229963870253,80427.50279818001,39140.82433189,41286.67846629,-65796.75443490999,314.48098312999997,0
2016-12-01,148806.54779472016,105236.79016033001,70737.36103495001,34499.42912538,41680.63984620001,-408.66107054000247,-881.97757507
2017-01-01,34643.17063552048,-299.38542435001,-36712.038302750014,36412.652878400004,40275.98147617,-311.0000000099988,0
2017-02-01,60259.30444451887,54243.64952683998,23467.750923729982,30775.89860311,8501.052448330001,-631.99999999,-1104.30336593
2017-03-01,32798.77647941047,54348.79547582999,11046.956517729992,43301.8389581,-21152.53483307,-1418.8167536599992,0
2017-04-01,4414.018432880286,15422.526337530007,-12908.191703069993,28330.7180406,-9162.403634909999,-518.0000000100001,0
2017-05-01,50110.39033744903,66988.53869031,30736.428833370006,36252.10985694,-13860.490114940003,161.99999998,0
2017-06-01,37752.40732258139,51063.19442164999,19552.381005159994,31510.813416489997,-19761.399567700002,7480.16536502,0
2017-07-01,93181.88661174942,44619.54382644998,16137.850731839988,28481.693094609993,54703.51009122,-477.99999999999994,0
2017-08-01,39581.80066099111,45541.078502489996,9529.03186251999,36012.04663997,-5071.23777857,791.7617149700001,0
2017-09-01,52405.96407948993,53308.53847582999,21259.453286549993,32049.08518928,-6410.6831673,2960.642151650001,0
2017-10-01,503.55157891940325,30493.500823100003,-4757.584404749994,35251.085227849995,-33340.98496549001,-250.99999999999997,0
2017-11-01,34982.60230254941,30037.94544222999,909.1806215399873,29128.76482069,4673.769166169999,263.99999998999994,0
2017-12-01,49394.88005028991,65640.52481774999,32321.456304609997,33319.068513139995,-14251.233568940002,92.00000000000078,0
2018-01-01,23993.626775000244,-18626.106003229972,-46940.139118009974,28314.033114780003,44611.99192693999,-924.00000001,0
2018-02-01,24880.483395759948,45806.15252635998,17413.544143059986,28392.608383299998,-25256.830508959996,-474,0
2018-03-01,31570.939847399946,57631.082164210005,25135.27834266,32495.803821550002,-24063.74119724,854.9999999899993,0
2018-04-01,-15274.073921549134,26751.13183432,-2899.9080292499993,29651.03986357,-47901.94523574,1438.03272722,0
2018-05-01,-31426.362527089193,47896.23398704999,8224.052835560002,39672.18115148999,-77793.987630909993,732.57800024,0
2018-06-01,23986.733915159944,57941.16576935,13491.198836280002,44449.96693307,-36208.31789404,-103.99999999,0
2018-07-01,62844.63770308858,29162.30321886,3400.647396690004,25761.655822169996,30757.01249703,-2431.9416513799993,0
2018-08-01,-44418.82367826952,76927.60764143,16875.553747559992,60052.05389387001,-116240.51405260999,-489.9999999999999,0
2018-09-01,84485.52266290877,39173.03089841,24621.17899939,14551.851899019997,40190.26725448,-51.617686399999855,0
2018-10-01,98914.45127203921,6106.708213529992,-7798.103707740005,13904.811921269997,87492.75197681997,1624.00908659,0
2018-11-01,1912.2920810314827,50630.86155939001,15601.929345160002,35028.93221423001,-44550.49064495,-651.0000000100003,0
2018-12-01,51425.683258090634,68041.94349713,41132.974110350006,26908.969386779994,-3499.9535051300004,-982,-1971.70465246
