ref.date,workbook_primary,sgs_4649,difference
2016-02-01,23039.95511714997,23039.96,-0.004882850029389374
2016-03-01,10643.528969960002,10643.53,-0.001030039999022847
2016-04-01,-10181.710644769992,-10181.71,-6.447699925047345e-4
2016-05-01,18125.33082106004,18125.33,8.210600390157197e-4
2016-06-01,10061.413646200022,10061.41,0.0036462000225583324
2016-07-01,12816.073042359982,12816.07,0.0030423599819187075
2016-08-01,22266.94822095,22266.95,-0.0017790500023693312
2016-09-01,26642.639826479994,26642.64,-1.7352000577375293e-4
2016-10-01,-39588.91271758999,-39588.91,-0.0027175899886060506
2016-11-01,39140.82433189,39140.82,0.004331889998866245
2016-12-01,70737.36103495001,70737.36,0.0010349500080337748
2017-01-01,-36712.038302750014,-36712.04,0.0016972499870462343
2017-02-01,23467.750923729982,23467.75,9.237299818778411e-4
2017-03-01,11046.956517729992,11046.96,-0.003482270007225452
2017-04-01,-12908.191703069993,-12908.19,-0.0017030699928000104
2017-05-01,30736.428833370006,30736.43,-0.001166629994258983
2017-06-01,19552.381005159994,19552.38,0.0010051599929283839
2017-07-01,16137.850731839988,16137.85,7.318399875657633e-4
2017-08-01,9529.03186251999,9529.03,0.0018625199900270673
2017-09-01,21259.453286549993,21259.45,0.0032865499924810138
2017-10-01,-4757.584404749994,-4757.58,-0.0044047499941370916
2017-11-01,909.1806215399873,909.18,6.21539987378128e-4
2017-12-01,32321.456304609997,32321.46,-0.003695390001666965
2018-01-01,-46940.139118009974,-46940.14,8.819900249363855e-4
2018-02-01,17413.544143059986,17413.54,0.004143059984926367
2018-03-01,25135.27834266,25135.28,-0.0016573399989283644
2018-04-01,-2899.9080292499993,-2899.91,0.0019707500005097245
2018-05-01,8224.052835560002,8224.05,0.0028355600024951855
2018-06-01,13491.198836280002,13491.2,-0.0011637199986580526
2018-07-01,3400.647396690004,3400.65,-0.002603309996175085
2018-08-01,16875.553747559992,16875.55,0.003747559992916649
2018-09-01,24621.17899939,24621.18,-0.0010006100019381847
2018-10-01,-7798.103707740005,-7798.1,-0.003707740004756488
2018-11-01,15601.929345160002,15601.93,-6.548399978782982e-4
2018-12-01,41132.974110350006,41132.97,0.004110350004339125
2019-01-01,-46897.380755819955,-46897.38,-7.55819957703352e-4
2019-02-01,14930.793936970009,14930.79,0.003936970007998752
2019-03-01,18629.23513440001,18629.24,-0.004865599992626812
2019-04-01,-6637.075536010004,-6637.08,0.004463989996111195
2019-05-01,13007.99035789,13007.99,3.5788999957730994e-4
2019-06-01,12706.221690939996,12706.22,0.0016909399964788463
2019-07-01,2762.9840662400147,2762.98,0.004066240014708455
2019-08-01,13447.649061670005,13447.65,-9.383299948240165e-4
2019-09-01,20540.692905429973,20540.69,0.002905429973907303
2019-10-01,-9444.353781760008,-9444.35,-0.003781760007768753
2019-11-01,15312.460972699999,15312.46,9.726999996928498e-4
2019-12-01,13512.649427399992,13512.65,-5.72600007217261e-4
2020-01-01,-56275.82867813999,-56275.83,0.001321860014286358
2020-02-01,20901.003684210005,20901,0.003684210005303612
2020-03-01,23655.31767938004,23655.32,-0.002320619958481984
2020-04-01,94302.55382767998,94302.55,0.003827679975074716
2020-05-01,131438.05680083,131438.06,-0.0031991699943318963
2020-06-01,188681.51343198,188681.51,0.003431980003369972
2020-07-01,81070.87524222,81070.88,-0.004757779999636114
2020-08-01,87593.65102192998,87593.65,0.0010219299874734133
2020-09-01,64558.57542940998,64558.58,-0.004570590019284282
2020-10-01,-2952.507303269977,-2952.51,0.002696730023217242
2020-11-01,18139.807014230035,18139.81,-0.0029857699664717074
2020-12-01,51837.21432163004,51837.21,0.004321630040067248
2021-01-01,-58374.61651237998,-58374.62,0.00348762002249714
2021-02-01,11769.780915769998,11769.78,9.15769996936433e-4
2021-03-01,-4981.165939290003,-4981.17,0.0040607099972476135
2021-04-01,-24255.43125622998,-24255.43,-0.001256229978025658
2021-05-01,15541.421504839993,15541.42,0.0015048399927763967
2021-06-01,65508.08580560997,65508.09,-0.004194390028715134
2021-07-01,10283.135827719996,10283.14,-0.004172280003331252
